tgrep.id,entire.sentence,Disjunct_individuation.x,Disjunct_individuation.y,Resolved
165010:22,it's probA-Bly a japanesec or a burmesef company owning and hiring people in the u s.,different,same,same
89690:14,"""whatever you ask or scream when i'm on the phone, the answer is no.""",different,same,same
159146:81,"""you know some of the health insurance is written that way. you know, that, uh, if you buy an accident and death or dismemberment policy, you know, it s-, pre specified in the policy so much""",same,different,same
19728:70,where's some reference to this goddamn state of texas and the role that they played either leading up to or in the civil war.,same,different,same
173714:78,"""uh, people are, uh, reluctant to pass, uh, school tax levies even, uh, when the money is needed or would be well spent because it's, uh, they don't have kids in the schools.""",different,same,same
95903:41,"""however, this isn't a problem that we haved either alcohol or drug,""",different,same,same
150321:38,"""um, i like to play tennis in the summer time or in the spring, fall,""",different,same,different
169391:49,"""something that you cared A-Bout happened, you'd find out from friends or other channels.""",different,same,same
135991:11,"""either the radio or the t v --s got to be on, the whole time.""",different,same,same
146661:26,and i can take plastic like milk cartons or if they have water in them,different,same,same
73474:74,"""there are those times when i think, gee, if i didn't have children i could be out playing bridge or golf.""",different,same,same
63657:95,"""i would have more problem more problem with the temperature, except that, you know, working in engineering, we do everything in centigrade, or celsius.""",different,same,same
39729:68,"""but usually if i'm, if i'm, if i take a day off or on the weekend especially, i try to cook, real, real food.""",different,same,different
153868:23,"""so, it's, no fee, or subscription either to read at my leisure""",different,same,same
128512:74,"""it's a, like it's something you either just really want to do it or you can't talk anyone into it.""",different,same,different
110659:25,"""well, i don't believe in drugs or alcohol,""",different,same,same
91063:73,"""in my, my, uh, father's family, we get together every year at a different location, either dallas or oklahoma city.""",different,same,same
119300:32,i'll probA-Bly always have a place here in richardson or dallas.,different,same,same
