Item_ID,Sentence,SpeechAct,Connective,LeftString,RightString,LeftDisjunct,RightDisjunct,GoodLeftDisjunct,GoodRightDisjunct,ConstituentType,ExplicitImplicature,ExplicitImplicatureGrammatical,CanReplaceOrWithAnd,ImplicatureArises,ImplicatureIsPoint,WorldKnowledgeImplicature,SpeakerBelievesOneDisjunctTrue,SimilarityOfDisjuncts,SentenceType,UncertainRightString,EitherPresent,ThreeDisjuncts,Notes,JudithNotes
36703:52,"other than, you know, taking your shoes off right before you walk in or something and, and sweeping it out everyday, it --n40255a's really hard to, to keep the sand and dirt out of it.",,,,,,,,,,,,,,,,,,,,,,,
36572:30,i think we've talked about six minutes or so.,,,,,,,,,,,,,,,,,,,,,,,
65988:45,"and all of a sudden we had a bad, uh, frequency --n404685 there or something.",,,,,,,,,,,,,,,,,,,,,,,
164711:79,"it gives you a whole different perspective on the news, uh, when you hear it from, say, a european point of view, or from the country of origin --n400952.",,,,,,,,,,,,,,,,,,,,,,,
167629:61,"as far as like big things like something comes up and you have --n4045d9 to buy a t v or a big item, like for the house.",,,,,,,,,,,,,,,,,,,,,,,
132082:37,haven't been doing much of that for the last year or so.,,,,,,,,,,,,,,,,,,,,,,,
130722:82,"but, uh, they have sort of like, uh, things that you c-, you're not like reimbursed for --n401b5d or paid for --n401b70.",,,,,,,,,,,,,,,,,,,,,,,
93477:34,"and then once, about once every three or four years i try --n400c4a to get over to england, because i lived there for a while, some years back.",,,,,,,,,,,,,,,,,,,,,,,
737:58,"they've got, uh, they've got a couple of kids, ten or twelve years old,",,,,,,,,,,,,,,,,,,,,,,,
105553:133,"maybe someday i'll, i'll get back to that as, after the kids are up and grown and the monies --n4047ff are there to get away for times on end, weekend or something --n404842.",,,,,,,,,,,,,,,,,,,,,,,
150405:11,but now bench or step aerobics have kind of taken over.,,,,,,,,,,,,,,,,,,,,,,,
134089:60,"and they do post, uh, uh, warnings for people who --n4005af have, uh, heart diseases or respiratory problems during that summer season.",,,,,,,,,,,,,,,,,,,,,,,
76508:96,"they seem --n4002dd to be burdening the school system more and more with problems, any problems that a child might have --n400330, whether it's actually a school related thing or not",,,,,,,,,,,,,,,,,,,,,,,
93126:89,"and i thought what are you complaining about --n402f1e, when you're only going --n402f3d to get picked --n402f50 up once a month, you know, or once a week --n402f87",,,,,,,,,,,,,,,,,,,,,,,
93546:68,"you, i mean, you can be as busy as you want --n40208a to be, or as laid back as you want --n4020bd to be.",,,,,,,,,,,,,,,,,,,,,,,
173571:116,"well i think, uh, the dr-, the laws on, uh, uh, uh, the first morphine laws were, were like ninety, or nineteen ten or nineteen five, something like that.",,,,,,,,,,,,,,,,,,,,,,,
27952:63,"if you were educated you got, you know, you might teach for a year or two before you got married --n40073e. yes",,,,,,,,,,,,,,,,,,,,,,,
105877:103,"also, i guess you can, you know, get the wrong kind of stuff and kill yourself just by --n40218f having a wrong mix of or watered down or or whatever, all kinds.",,,,,,,,,,,,,,,,,,,,,,,
148923:62,"i had a passport and was ready --n4010b2 to go or um, out of the country or join special forces,",,,,,,,,,,,,,,,,,,,,,,,
59548:36,i don't know if the t i in dallas does or not.,,,,,,,,,,,,,,,,,,,,,,,
69083:61,"they really did throw away a lot of money --n403381 to get, getting one thing or another,",,,,,,,,,,,,,,,,,,,,,,,
99148:77,"well, what i wear --n40109c sometimes depends on, on how cold i think the school might be --n4010db or what room i might be in --n4010fe since i'm a sub, and have different rooms to go to --n401141. and always carry a sweater.",,,,,,,,,,,,,,,,,,,,,,,
102617:65,"i mean it's wonderful, particularly if you have more than two people and you've got say four or something like that.",,,,,,,,,,,,,,,,,,,,,,,
127331:40,"sounds to me like they'll start --n4022ec rioting soon, or not that that would do any good,",,,,,,,,,,,,,,,,,,,,,,,
66214:51,"because we never know when we might, you know, get laid --n403a9b off or something --n403aae.",,,,,,,,,,,,,,,,,,,,,,,
160728:37,"and also, you know, then you figure out seven or eight percent for f i c a which --n401bba is taxes where you,",,,,,,,,,,,,,,,,,,,,,,,
166792:65,"often times they even have mental difficulty with senility or alzheimer's disease or those or, or physical and mental handicaps. uh, you know, where they really require twenty-four hour supervision of some kind. even though it may be minimal --n4022d1.",,,,,,,,,,,,,,,,,,,,,,,
38938:34,"and i always have --n4020af to either take it out or have my picture slightly off centered or, or something.",,,,,,,,,,,,,,,,,,,,,,,
128452:34,"within reason, you know, you can lose weight or maintain your weight and your physical being",,,,,,,,,,,,,,,,,,,,,,,
158308:59,"and this is supposed --n4003c2 to be a very well-known center here in tyler who --n4003f1 had two or three, um, centers, all over, you know, the, um, city",,,,,,,,,,,,,,,,,,,,,,,
104833:67,"so as far as at home use, uh, we'll pick up a six pack --n400a0c every once in a while or for whatever occasion of doctor pepper or something",,,,,,,,,,,,,,,,,,,,,,,
108971:127,"the one i had --n401e05 most recently was, was one that, was, ha-, she, she describes --n401e68 as jim beard's favorite, um, summer menu, or something,",,,,,,,,,,,,,,,,,,,,,,,
163113:53,"fact as far as i know, the school --n4003a4 doesn't have any kind of programs or anything out here. and, uh, or the grocery store or anything in this area,",,,,,,,,,,,,,,,,,,,,,,,
151394:47,"and i don't really want you to look at it, or or something pretty basic like that,",,,,,,,,,,,,,,,,,,,,,,,
99514:70,did you base it on what you wanted --n4019a4 to major in --n4019b7 or what you would feel comfortable with --n4019da or what you could afford --n4019f5,,,,,,,,,,,,,,,,,,,,,,,
146851:73,"do they not ever, i mean, i don't know that much. do they not ever burn trash or anything like,",,,,,,,,,,,,,,,,,,,,,,,
19435:19,"you know, some reason or other, you know, is, uh,",,,,,,,,,,,,,,,,,,,,,,,
175624:181,"but if the pers-, has, you know, their social s-, her social security number, i'd be real concerned that they, uh, that she's not, uh, blacklist --n403811 on, uh, tel-, what is it --n40383c, it's --n40384f telecredit or something.",,,,,,,,,,,,,,,,,,,,,,,
107064:47,"you know, the accid-, the accidental fee or the car repair or the things that --n401508 weren't supposed --n40151b to be every month.",,,,,,,,,,,,,,,,,,,,,,,
24979:39,"see, i don't have any good ideas or, or anything that --n4072fa would contribute.",,,,,,,,,,,,,,,,,,,,,,,
13977:40,"i think they should either do that, or, or afford some time to the military, or, or --n400326 helping elderly people.",,,,,,,,,,,,,,,,,,,,,,,
175691:93,"and i was thinking in the course of talking to him about it, how, uh, in world war two, the personalties of stalin, hitler and churchill more or less defined the war --n40153e",,,,,,,,,,,,,,,,,,,,,,,
138792:35,"and then, i don't know if he still does or what because i don't know if sam's is actually part of it,",,,,,,,,,,,,,,,,,,,,,,,
128822:176,"well, course mumblex it, it is a big factor in having an understanding of how much parents will pay --n4027c6 and how much --n4027d9 has --n4027e4 to come from other sources and your willingness, one, to, to work during the summer or, or part time. and two, uh, to, to take out loans to assume, uh, debt after college.",,,,,,,,,,,,,,,,,,,,,,,
146198:173,"well, one thing that i like --n402c70 about this fabric painting thing is i can just make a t shirt and put a little ruffle around it and then, um, cut out a little pattern --n402cf3 from the material, from some material, like flowers or something, and make, um, a design or, you know, a little arrangement or something on the shirt and, you know, fuse it on with heat and bond, or whatever and then paint around it.",,,,,,,,,,,,,,,,,,,,,,,
27956:43,"and if you really pushed it, you taught until you had kids or something you know,",,,,,,,,,,,,,,,,,,,,,,,
163392:29,"other than that they don't have random testing or anything like that,",,,,,,,,,,,,,,,,,,,,,,,
48372:46,"i don't know if that's a large percentage of, uh, crime or not",,,,,,,,,,,,,,,,,,,,,,,
24983:30,"the only reason i asked about secondary schools or, you know, advanced education --n4076bb is because down here, you know, going to the university of texas, the education i'm getting --n40771a i think --n40772d is kind of shoddy for a public school.",,,,,,,,,,,,,,,,,,,,,,,
126348:129,"i guess in some cases they just consider --n4006ba pickup your, your phone and, and, and not let you use your phone for a while whether you hang up on them or not.",,,,,,,,,,,,,,,,,,,,,,,
55123:44,"so, i don't know how these changes are going --n404696 to help or hinder the team --n4046b5,",,,,,,,,,,,,,,,,,,,,,,,
138235:84,"and i, i debate whether it --n4027f8's better to get a, uh, just a straight table saw or to get one of these, uh, rotary arm saws.",,,,,,,,,,,,,,,,,,,,,,,
65890:88,"well, see the other way i'm thinking about --n401021 is they should be self-supporting, like, uh, the prisoners make license plates or farm or small industry inside the prisons. anything to where they can be self-supporting within themselves --n4010b0.",,,,,,,,,,,,,,,,,,,,,,,
118967:8,"either that or i don't know if it happened and it wasn't as highly publicized as it is now, or what the, what the,",,,,,,,,,,,,,,,,,,,,,,,
137234:56,"this summer we went to, uh, the smokey mountain national park. and, uh, stayed about three or four days in there.",,,,,,,,,,,,,,,,,,,,,,,
31107:104,"they probably do the story of someone who --n406dad was shot --n406dbc down early in the war or something and how he survived --n406def or, or about, or about those two newsmen or whatever that --n406e36 got captured Ðn406e45.",,,,,,,,,,,,,,,,,,,,,,,
4317:123,"so, um, and i feel that way too as far as, you know, just sitting and doing, you know, to, the idea of doing fifty sit-ups or something, you know,",,,,,,,,,,,,,,,,,,,,,,,
22753:43,"and then i was fi-, fished for another half hour or forty-five minutes, caught a few white fish and so forth,",,,,,,,,,,,,,,,,,,,,,,,
118967:69,"either that or i don't know if it happened and it wasn't as highly publicized as it is now, or what the, what the,",,,,,,,,,,,,,,,,,,,,,,,
161811:102,"i mean, it seems like our, our, the prison systems, we can't seem --n400e60 to decide whether or not it's a reform system or penal system.",,,,,,,,,,,,,,,,,,,,,,,
94648:38,"and i think we've been to one in thirty-five years or something like that,",,,,,,,,,,,,,,,,,,,,,,,
103788:90,but you know i guess to some people it --n4022b7'd almost be better --n4022ce to die to them than to spend life in prison or whatever,,,,,,,,,,,,,,,,,,,,,,,
31604:204,"well, the limits, uh, uh, would, i think --n4054b3, have --n4054c2 to do with what i'd alluded to --n4054e9 before, that there needs --n405508 to be a further, um, that, that one positive on a drug test, would not constitute, uh, dismissal or grounds for whatever the company or agency might, uh, have --n4055ab set up for those who --n4055c6 genuinely have a problem.",,,,,,,,,,,,,,,,,,,,,,,
91286:57,"yet, like, say, you know, the university of small town in arkansas or something, might have some top specialists in my area.",,,,,,,,,,,,,,,,,,,,,,,
29727:27,and it usually takes long stitches over two or three openings in the cloth,,,,,,,,,,,,,,,,,,,,,,,
75059:6,lightning or something knocked it out,,,,,,,,,,,,,,,,,,,,,,,
52499:80,"i don-, i don't think our prison system isn't set --n400994 up, where we, um, rehabilitate, or, you know, restore anybody --n4009db.",,,,,,,,,,,,,,,,,,,,,,,
19641:195,"and, uh, the last, uh, i'm embarrassed --n40122a to say the last, you know, honest to gosh, cover to cover book that i read --n401285, i can not, right offhand, i tried --n4012b4 to read, uh, one of the, the michener, uh, lone star or the, the texas history book.",,,,,,,,,,,,,,,,,,,,,,,
30792:69,"and i mean, i know they, there must have used, been computers or something for animation this day,",,,,,,,,,,,,,,,,,,,,,,,
127286:71,"i know a lot of their, oh, their countries that they had overtaken --n4015b9 --n4015c0, or wanted --n4015d3 to be independent or several of them, right,",,,,,,,,,,,,,,,,,,,,,,,
68173:145,"but, uh, i, i myself am in favor of it, uh, particularly for, uh, well i think texas has a good, good law. uh, crimes, murders related with, uh, drugs or killing a policemen.",,,,,,,,,,,,,,,,,,,,,,,
68507:73,"well wh-, do you think that, uh, consumer goods, goods are generally getting better, or worse in quality.",,,,,,,,,,,,,,,,,,,,,,,
79797:76,"and he said, uh, a booster, uh, every year or two, i mean, maybe every six months or, or something like that",,,,,,,,,,,,,,,,,,,,,,,
70908:13,our first fifteen years or eighteen years of being married nothing worked.,,,,,,,,,,,,,,,,,,,,,,,
170245:105,"so there should be something --n402725 in there or some kind of clause that --n40274c will subsidize people if they did lose their job other than, you know, uh, neglect or something like that.",,,,,,,,,,,,,,,,,,,,,,,
146127:24,have you crocheted or knitted any baby clothes or baby blankets.,,,,,,,,,,,,,,,,,,,,,,,
100613:27,"and then if health or, or mental capacity deteriorates, they're able --n404074 to take the next steps without so much change",,,,,,,,,,,,,,,,,,,,,,,
139418:63,"i'm in favor of very little clean up, um, very little planning because we've got three or four couples that we get together with --n401e91 --n401e98 to play games,",,,,,,,,,,,,,,,,,,,,,,,
134196:40,"do you find that, um, or, or do you hypothesize that, that most of the, uh, smog or, or air pollution comes from vehicles",,,,,,,,,,,,,,,,,,,,,,,
158144:58,"and that is, uh, and that is the exclusion of jurors because of --n400821 or in spite of --n400838 their race. uh,",,,,,,,,,,,,,,,,,,,,,,,
151277:32,and i'm not sure if our policy covers that or not.,,,,,,,,,,,,,,,,,,,,,,,
52123:56,"now, i, i also liked, uh, oh, gone with the wind or some of the classic, like the lawrence of arabia.",,,,,,,,,,,,,,,,,,,,,,,
42792:80,"if you want, if you want --n4062ee to go --n4062fd deer hunting and your birthday's after nineteen something, fifty-five or something, then you have --n406348 to attend one of these hunter safety courses",,,,,,,,,,,,,,,,,,,,,,,
128793:82,"and, uh, you have --n4019ae to be more flexible and more willing --n4019d1 to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things.",,,,,,,,,,,,,,,,,,,,,,,
176760:183,"uh, and th-, and the problems that, that --n400fa1 has come that --n400fb8 has come from this decision that that jury came to --n400feb after all of us witnessed what we did --n401012 with the video tape beating. uh just makes you wonder i guess whether or not they,",,,,,,,,,,,,,,,,,,,,,,,
158084:70,"are they reformatories, where we're trying --n402099 to take people who --n4020b0 can't survive or, or that, that --n4020f3 aren't conforming enough to society so that, that we work well together --n402132.",,,,,,,,,,,,,,,,,,,,,,,
139019:32,"it's not as humid. as houston, say, or atlanta,",,,,,,,,,,,,,,,,,,,,,,,
1446:55,"not what color you are --n401bd9, how old you are --n401bf4, what you're male or female",,,,,,,,,,,,,,,,,,,,,,,
46957:32,they're only going --n406243 to make like three or four thousand.,,,,,,,,,,,,,,,,,,,,,,,
31405:84,"maybe adult literacy. maybe, you know, composition writing. maybe, you know, uh, volunteering, you know, on a tutor line or though the, even through the elementary schools for help with homework",,,,,,,,,,,,,,,,,,,,,,,
136987:23,it's been because of the size or some problem like that.,,,,,,,,,,,,,,,,,,,,,,,
21448:96,"and and, well, of course, another one of their mistakes, i think --n405e2d, is they have a tendency --n405e50 to change characters, or to change the characters', uh, uh, personalities well, especially after they get married --n405eb3.",,,,,,,,,,,,,,,,,,,,,,,
21511:48,"but when he gets married --n407555 --n40755c, then you don't care any more or something like that,",,,,,,,,,,,,,,,,,,,,,,,
13311:70,"if there was, if there was mandatory, you could choose the option of either a mandatory military service or voluntary,",,,,,,,,,,,,,,,,,,,,,,,
8873:32,i don't know if it's the saw dust or the mess you make --n4009d1 or the smell of the wood,,,,,,,,,,,,,,,,,,,,,,,
89978:92,"and, and, uh, my father bought this, uh, my stepfather bought this --n400bcf thinking of a time when one or the other of them might need care --n400c0e",,,,,,,,,,,,,,,,,,,,,,,
19079:83,"and so i-, it --n407ae9's a real difficult choice whether we want styrofoam cups to fill up our landfills --n407b34 or, uh, china cups to use up our water --n407b6f.",,,,,,,,,,,,,,,,,,,,,,,
128588:57,"if i do like sit ups, i'll throw a, a towel down or something. you know,",,,,,,,,,,,,,,,,,,,,,,,
170411:45,"if you have one child or fewer, you get involved --n401f45 in organized events or activities",,,,,,,,,,,,,,,,,,,,,,,
