Item_ID	Sentence	sentence_butNotBoth	sentence_and	HasPrecedingContent	HasFollowingContent	IsInDisfluency	HasMoreThanOneOr	HasHedge	containsNumber	eitherPresent	orNotPresent	sentenceHasVP	head	context
14875:209	but the guy at the very top, the one who --n404c65's, who --n404c7c's really making the millions and the millions is the one who --n404cb7 also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest or the emphasis in some other direction, other than on the drug dealing,	but the guy at the very top, the one who --n404c65's, who --n404c7c's really making the millions and the millions is the one who --n404cb7 also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest or the emphasis in some other direction, other than on the drug dealing, but not both.	but the guy at the very top, the one who --n404c65's, who --n404c7c's really making the millions and the millions is the one who --n404cb7 also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest and the emphasis in some other direction, other than on the drug dealing,	yes	yes	no	no	no	no	no	no	yes	S	###speakerb68t68.###that's right.###speakera69t68.###speakerb70t70.###that's right,###and, they,###one person doesn't know the other person down the line.###speakera71t71.###right.###speakerb72t72.
15081:24	but right now, we're just more or less at american express, you know,	but right now, we're just more or less at american express, you know, but not both.	but right now, we're just mande and less at american express, you know,	yes	yes	no	no	no	no	no	no	yes	S	###speakerb50t49.###speakera51t51.###yeah,###yeah.###speakerb52t52.###and you don't have an annual fee there,###and that helps.###speakera53t53.###oh, yes.###uh, we used --n402121 to have, you know, like several,
15207:70	well, it sounded like, i mean, this is like major long term commitment, like a year or six months,	well, it sounded like, i mean, this is like major long term commitment, like a year or six months, but not both.	well, it sounded like, i mean, this is like majand long term commitment, like a year and six months,	yes	yes	no	no	no	yes	no	no	yes	S	###oh, okay.###speakera23t23.### had a good old time.###speakerb24t24.###well, that's good.###speakera25t25.###well, back to the topic at hand.###what other types of community service would they be talking about --n40195c.###i mean, the, the recording mentioned the peace corps.###speakerb26t26.
15229:24	i couldn't possibly commit a year or two of my life --n402218 to, to go --n40222f do something.	i couldn't possibly commit a year or two of my life --n402218 to, to go --n40222f do something, but not both.	i couldn't possibly commit a year and two of my life --n402218 to, to go --n40222f do something.	yes	yes	no	no	no	yes	no	no	yes	S	###uh-huh.###speakera31t31.###or i'll go, you know, --n401fd5 do a mumblex.###speakerb32t32.###but that, that time is minuscule compared to what, what, mumblex they were referring to --n4020bf.###speakera33t33.###yeah.###speakerb34t33.###speakera35t35.###yeah,
15370:23	oh, i've done maybe four or five.	oh, i've done maybe four or five, but not both.	oh, i've done maybe four and five.	yes	yes	no	no	no	yes	no	no	yes	S	###i know.###speakerb84t84.###how many times have you talked --n405b7e.###speakera85t85.###oh, probably five or six.###speakerb86t86.###yeah.###speakera87t87.###not a whole lot.###speakerb88t88.
15459:47	i think i had some other, uh, like staying in shape or working out.	i think i had some other, uh, like staying in shape or working out, but not both.	i think i had some other, uh, like staying in shape and wandking out.	yes	yes	no	no	no	no	no	no	yes	S	###speakerb114t114.###yeah.###mumblex so we talked about the cowboys a little bit.###and, i'm out here in phoenix,###so we talked about phoe-, cardinals.###speakera115t115.###uh-huh.###speakerb116t116.### and, so, so that one was all right.###and then what else did i have --n40793c.
16299:25	you have --n40262c to cut each thing or, you know, use the melon baller and stuff	you have --n40262c to cut each thing or, you know, use the melon baller and stuff, but not both.	you have --n40262c to cut each thing and, you know, use the melon baller and stuff	yes	yes	no	no	no	no	no	no	yes	S	###and i was pretty pleased.###i never made one for myself though.###but they look easy enough to make --n402394###it's not,###speakerb38t38.###oh, i think it would, it would be a lot of work### but, um, you know, because it's, you know,###speakera39t39.###yeah.###speakerb40t40.
17349:18	they do kind of follow or, are similar.	they do kind of follow or, are similar, but not both.	they do kind of follow and, are similar.	yes	yes	no	no	no	no	no	no	yes	S	###speakera99-2t99-2.###i know it.###speakerbnant99-2.###speakera100-1t100-1.###and that seems like all of his books have kind of come from that, i mean.###speakerbnant100-1.###speakerb100-2t100-2.###yeah,###speakeranant100-2.###speakera101t101.
17650:131	that's why i like --n406cbb to watch that masterpiece theatre on channel thirteen --n406ce2, because they'll take a classic and, and, uh, televise it you know, put it into a viewing format, more or less.	that's why i like --n406cbb to watch that masterpiece theatre on channel thirteen --n406ce2, because they'll take a classic and, and, uh, televise it you know, put it into a viewing format, more or less, but not both.	that's why i like --n406cbb to watch that masterpiece theatre on channel thirteen --n406ce2, because they'll take a classic and, and, uh, televise it you know, put it into a viewing fandmat, mande and less.	yes	yes	no	no	no	no	no	no	yes	S	###speakerb190t190.###uh-huh.###speakera191t191.###that's right.###right,###speakerb192t192.###right.###speakera193t193.### sure is neat.###speakerb194t194.
17758:53	i haven't decided whether, whether i want --n400cde to play yet or not	i haven't decided whether, whether i want --n400cde to play yet or not, but not both.	i haven't decided whether, whether i want --n400cde to play yet and not	yes	yes	no	no	no	no	no	yes	yes	S	###speakera17t17.###well, i'm trying --n400a75 to get back in shape for softball this spring.###speakerb18t18.###oh, yeah.###speakera19t19.###but i,###speakerb20t20.### do you go through this, is this something that you go through --n400bcd every year.###speakera21t21.###yeah,
17818:24	i usually only go about a mile or two.	i usually only go about a mile or two, but not both.	i usually only go about a mile and two.	yes	yes	no	no	no	yes	no	no	yes	S	###i need --n401c04 to start jog something again.###i've always of that to be, uh, really one of the best forms of exercise,###but it's terribly boring,###and so i really don't ever keep a program up consistently.###speakerb36t36.###have you ever had any injuries from jogging.###speakera37t37.###no,###i never have.###well, i don't job enough i think --n401f9b to develop any injuries
17825:58	it's, it's tough on the joints if you jog on concrete, or on asphalt.	it's, it's tough on the joints if you jog on concrete, or on asphalt, but not both.	it's, it's tough on the joints if you jog on concrete, and on asphalt.	yes	yes	no	no	no	no	no	no	yes	S	###no,###i never have.###well, i don't job enough i think --n401f9b to develop any injuries###i usually only go about a mile or two.###speakerb38t38.###i guess it --n4020e4 worries me about jogging it's that i hear that it's very hard on your body and, and that, you know, you can end up --n40216f getting hurt --n40217e, worse.###speakera39t39.###yeah,###speakerb40t39.###speakera41t41.
17859:69	but then i'll get tired of --n402ecb doing that, and maybe start --n402eea jogging again and go out about three or four nights a week.	but then i'll get tired of --n402ecb doing that, and maybe start --n402eea jogging again and go out about three or four nights a week, but not both.	but then i'll get tired of --n402ecb doing that, and maybe start --n402eea jogging again and go out about three and four nights a week.	yes	yes	no	no	no	yes	no	no	yes	S	###i don't have --n4028e7 to buy jogging shoes all to often###my don't get very much use.###speakerb54t54.###well, i guess my breakdown about, they say about every six months.###speakera55t55.###uh-huh.###i usually enjoy the exercise i do --n402b0f###but, uh, like i said i'm just not very consistent about --n402bb7 maintaining a, a program.###so i'll, i'll bicycle###i get into that for, for a little while and maybe go out, uh, on a consistent basis every couple of days and ride a bike for awhile,
18011:37	i don't know if he's still on any more or not,	i don't know if he's still on any more or not, but not both.	i don't know if he's still on any mande and not,	yes	yes	no	no	no	no	no	yes	yes	S	###right.### i, ev-, every now and then i'll watch e s p n,###i get cable on t v,###speakerb120t120.###uh-huh.###speakera121t121.###and they have, uh, a couple of shows called basic training,###and, uh, what is the other one called --n4055e9 --n4055f0.###speakerb122t122.###there was one guy i use --n40567a to watch --n405689 on e s p n,
18012:53	i don-, i don't know if i get e s p n or not.	i don-, i don't know if i get e s p n or not, but not both.	i don-, i don't know if i get e s p n and not.	yes	yes	no	no	no	no	no	yes	yes	S	### i, ev-, every now and then i'll watch e s p n,###i get cable on t v,###speakerb120t120.###uh-huh.###speakera121t121.###and they have, uh, a couple of shows called basic training,###and, uh, what is the other one called --n4055e9 --n4055f0.###speakerb122t122.###there was one guy i use --n40567a to watch --n405689 on e s p n,###i don't know if he's still on any more or not,
18130:46	well, uh, pretty much spent most of my time either in the yard or at nurseries --n4000f7 buying stuff for the yard.	well, uh, pretty much spent most of my time either in the yard or at nurseries --n4000f7 buying stuff for the yard, but not both.	well, uh, pretty much spent most of my time either in the yard and at nurseries --n4000f7 buying stuff fand the yard.	yes	yes	no	no	no	no	yes	no	yes	S	###good night.###speakerb170t170.###bye.###speakera171t171.###bye.###speakerb172t171.###speakera1t1.###okay.###um, what do you do --n400044 this weekend.###speakerb2t2.
18182:39	i mean just, just scratching two or three inches was just a chore.	i mean just, just scratching two or three inches was just a chore, but not both.	i mean just, just scratching two and three inches was just a chande.	yes	yes	no	no	no	yes	no	no	yes	S	###and it about for my arms off, sockets.###speakerb16t16.###uh-huh.###speakera17t16.###speakerb18t18.###i'll bet.###speakera19t18.###speakerb20t20.###i'll bet.###speakera21t21.
18197:49	um, where you live --n40189a is there a real high, uh, alkaline --n4018c5 or ash --n4018d4 content	um, where you live --n40189a is there a real high, uh, alkaline --n4018c5 or ash --n4018d4 content, but not both.	um, where you live --n40189a is there a real high, uh, alkaline --n4018c5 and ash --n4018d4 content	yes	yes	no	no	no	no	no	no	yes	SQ	###and then when it gets wet --n4015ef, you know, you don't even want --n40161a to get out in the yard,###speakerb24t24.###right.###speakera25t25.###it's horrible.###speakerb26t26.###right.###speakera27t27.###it's a nightmare.###but, um, i don't know what, what i-,
18302:57	i think it's, i think it only has about five or six more years to go --n403f84 because it's a, it's a really old bush,	i think it's, i think it only has about five or six more years to go --n403f84 because it's a, it's a really old bush, but not both.	i think it's, i think it only has about five and six mande years to go --n403f84 because it's a, it's a really old bush,	yes	yes	no	no	no	yes	no	no	yes	S	###speakerb60t60.###yeah.###speakera61t61.###yeah,### we, we have a few, uh, of the real short stem.### they're kin-, they're kind of like the bush roses.###speakerb62t62.###okay.###speakera63t63.###but, uh, i don't know
18325:82	have you, have you, uh, done, um, done a lot of tree surgeon work on your trees or not.	have you, have you, uh, done, um, done a lot of tree surgeon work on your trees or not, but not both.	have you, have you, uh, done, um, done a lot of tree surgeon wandk on your trees and not.	yes	yes	no	no	no	no	no	yes	yes	SQ	###speakerb68t68.### we do, we've got the direct sun in front###and the backyard has two great big, uh, spruce and, and an oak tree all about forty to fifty foot tall###so the backyard is just complete dark all day long.###speakera69t69.###huh.###speakerb70t70.###and, uh, we're, we're struggling --n40485a to find something for those areas.###speakera71t71.###yeah.
18419:16	they have about two or three acres of land on lake front property, on a, on the side of a hill.	they have about two or three acres of land on lake front property, on a, on the side of a hill, but not both.	they have about two and three acres of land on lake front property, on a, on the side of a hill.	yes	yes	no	no	no	yes	no	no	yes	S	###and they just,, have some problems, big time problems###speakerb106t106.###that's it.###speakera107t107.### they just, so they just washing, uh, watching their lawn just blow away.###speakerb108t108.###yeah.###speakera109t108.###speakera111t111.###but it's, it's quite an undertaking.
18501:69	but, um, the water usage, you know, they try --n408472 to limit --n408481, even though there's three or four streams that --n4084b0 flow into it,	but, um, the water usage, you know, they try --n408472 to limit --n408481, even though there's three or four streams that --n4084b0 flow into it, but not both.	but, um, the water usage, you know, they try --n408472 to limit --n408481, even though there's three and four streams that --n4084b0 flow into it,	yes	yes	no	no	no	yes	no	no	yes	S	###it seem like it be just the opposite when you get,###speakera143t143.###yeah.###no,###no,###it's not it's,###because even though it's far out there, it's just that lake greenbelt, you know, they have --n4081e3 to, they, they try --n408212 to do it just from the, --n408239 selling the water.###speakerb144t144.###uh-huh.###speakera145t145.
18522:67	they don't, they don't even start --n408d7e growing until may, may or april, like after it's been raining for a few months.	they don't, they don't even start --n408d7e growing until may, may or april, like after it's been raining for a few months, but not both.	they don't, they don't even start --n408d7e growing until may, may and april, like after it's been raining fand a few months.	yes	yes	no	no	no	no	no	no	yes	S	###but i don't know###i just came back from there###and just the air is so dry.###i don't see how anything can survive out there, for long periods of time --n408ad0.###speakerb150t149.###speakera151t151.### should say###my father-in-law says the mesquite trees are, they're, they're pretty smart,###they're smart,###they're about the smartest tree around.
18697:70	uh, there's no way that i could begin --n402c17 to process and keep up with the kinds of information or the magnitude of information that i need --n402c66 --n402c6d to, to try --n402c84 to do my job --n402c9b without them.	uh, there's no way that i could begin --n402c17 to process and keep up with the kinds of information or the magnitude of information that i need --n402c66 --n402c6d to, to try --n402c84 to do my job --n402c9b without them, but not both.	uh, there's no way that i could begin --n402c17 to process and keep up with the kinds of infandmation and the magnitude of infandmation that i need --n402c66 --n402c6d to, to try --n402c84 to do my job --n402c9b without them.	yes	yes	no	no	no	no	no	no	yes	S	###well, it's just a huge file that --n40289a tries --n4028a5 to describe the requirements of what you're trying --n4028d0 to build --n4028df. uh, to one level down from assistant description.###speakera51t51.###oh, okay.###speakerb52t51.###speakera53t53.###oh, okay.###okay.###oh, well, it sounds like you're pretty much into computers.###speakerb54t54.###well, i sure need them.
18787:67	i don't know if it's, the, if they've done it citywide yet --n400cfe or not where they have the color coded, uh, bags and, uh, bins --n400d49.	i don't know if it's, the, if they've done it citywide yet --n400cfe or not where they have the color coded, uh, bags and, uh, bins --n400d49, but not both.	i don't know if it's, the, if they've done it citywide yet --n400cfe and not where they have the coland coded, uh, bags and, uh, bins --n400d49.	yes	yes	no	no	no	no	no	yes	yes	S	###well, that's something###but it, it seems to me that we've gotten a whole lot better, um, cooperation out here, uh, by --n4007db setting it up so that we pay just a little bit extra, uh,###actually i don't think we pay very much extra at all too,###but the, uh, garbage men, come by, uh, on your regular garbage day and pick up the recycling out at the curb.###speakerb10t10.###uh-huh.###speakera11t10.###speakerb12t12.###i think that's great.###there's a few places in houston where they're trying that out --n400c1c.
18798:25	and then you can either bundle your newspapers or put them in grocery bags.	and then you can either bundle your newspapers or put them in grocery bags, but not both.	and then you can either bundle your newspapers and put them in grocery bags.	yes	yes	no	no	no	no	yes	no	yes	S	###speakera13t13.###yeah,###we have burlap sacks,###speakerb14t14.###oh.###speakera15t15.###and they give us one for aluminum and, uh, steel, one for metals, and one for glass,###speakerb16t16.###uh-huh.###speakera17t17.
18802:68	and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty --n401275 or leave the ones if they're still in good shape.	and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty --n401275 or leave the ones if they're still in good shape, but not both.	and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty --n401275 and leave the ones if they're still in good shape.	yes	yes	no	no	no	no	no	no	yes	S	###oh.###speakera15t15.###and they give us one for aluminum and, uh, steel, one for metals, and one for glass,###speakerb16t16.###uh-huh.###speakera17t17.###and then you can either bundle your newspapers or put them in grocery bags.###so, we have, we leave three little piles, that they need --n401128 out on the curb every thursday###speakerb18t17.###speakera19t19.
19079:83	and so i-, it --n407ae9's a real difficult choice whether we want styrofoam cups to fill up our landfills --n407b34 or, uh, china cups to use up our water --n407b6f.	and so i-, it --n407ae9's a real difficult choice whether we want styrofoam cups to fill up our landfills --n407b34 or, uh, china cups to use up our water --n407b6f, but not both.	and so i-, it --n407ae9's a real difficult choice whether we want styrofoam cups to fill up our landfills --n407b34 and, uh, china cups to use up our water --n407b6f.	yes	yes	no	no	no	no	no	no	yes	S	###and so,###yeah,###i know like our cafeteria here uses a lot of styrofoam###but, uh,###speakera129t129.###now we quit that about two years ago, no, three years ago when we got china mugs for everybody --n4078c0.###speakerb130t130.###huh.###speakera131t131.### so, and the only difficulty with that is that we're in the middle of a five-year drought
19126:98	it's, it --n400838's hard to, to know anymore if it's a, a threat one way or another because, uh, it used --n4008bf to be s-, so, f-, much in the past that whatever the top said --n400916 the rest fell, you know, rank and file in behind it.	it's, it --n400838's hard to, to know anymore if it's a, a threat one way or another because, uh, it used --n4008bf to be s-, so, f-, much in the past that whatever the top said --n400916 the rest fell, you know, rank and file in behind it, but not both.	it's, it --n400838's hard to, to know anymande if it's a, a threat one way and another because, uh, it used --n4008bf to be s-, so, f-, much in the past that whatever the top said --n400916 the rest fell, you know, rank and file in behind it.	yes	yes	no	no	no	no	no	no	yes	S	###well, you know, it's, it --n4001e7's real confusing right now to know what kind of a, of, of a threat it is --n40024e, i guess --n400265,###speakera3t3.###sure.###speakerb4t4.### it, it takes awhile to, to get used to something, you know, if, if they have completely chain-, on the, place has completely turned that much around to where they're not, you know, not what they used --n40052e to be --n40053d --n400544,###speakera5t5.###right.###speakerb6t6.###uh.###speakera7t7.
19130:45	and now that with gorbachev is introducing more, i guess, freedoms or expressions of freedom, it doesn't look as though, you know, everybody's following the same pattern.	and now that with gorbachev is introducing more, i guess, freedoms or expressions of freedom, it doesn't look as though, you know, everybody's following the same pattern, but not both.	and now that with gandbachev is introducing mande, i guess, freedoms and expressions of freedom, it doesn't look as though, you know, everybody's following the same pattern.	yes	yes	no	no	no	no	no	no	yes	S	### it, it takes awhile to, to get used to something, you know, if, if they have completely chain-, on the, place has completely turned that much around to where they're not, you know, not what they used --n40052e to be --n40053d --n400544,###speakera5t5.###right.###speakerb6t6.###uh.###speakera7t7.### it's, it --n400838's hard to, to know anymore if it's a, a threat one way or another because, uh, it used --n4008bf to be s-, so, f-, much in the past that whatever the top said --n400916 the rest fell, you know, rank and file in behind it.###speakerb8t8.###uh-huh.###speakera9t9.
19248:44	uh, but, of course, the people who --n403884 have challenged that or tried --n40389f to do, on-, have cor-, have not been world powers.	uh, but, of course, the people who --n403884 have challenged that or tried --n40389f to do, on-, have cor-, have not been world powers, but not both.	uh, but, of course, the people who --n403884 have challenged that and tried --n40389f to do, on-, have cand-, have not been wandld powers.	yes	yes	no	no	no	no	no	no	yes	S	###speakera43-2t43-2.###well, it's interesting, anymore###speakerbnant43-2.###speakerb44t44.###the world's getting so small that it doesn't seem --n403625 to tolerate anymore any kind of the expansionism, philosophy that, that --n40366c was here in, you know, twenty years ago.###speakera45t44.###speakerb46t46.###uh-huh.###speakera47t47.###yeah.
19269:60	and all of a sudden it was like somebody in the, in the red square or wherever said, okay,	and all of a sudden it was like somebody in the, in the red square or wherever said, okay, but not both.	and all of a sudden it was like somebody in the, in the red square and wherever said, okay,	yes	yes	no	no	no	no	no	no	yes	S	###yeah.###speakerb52t52.###whereas, you know, if the soviet union would have, who --n403d93 knows what taking over mongolia or, or something like that, who --n403dde is really, will we have been more just rhetoric, uh, rather than --n403e29 going in there officially or, you know, physically and try --n403e60 to, to remove them.###speakera53t52.###speakerb54t54.###uh-huh.###speakera55t54.###speakerb56t56.###yeah.###well, the, the china situation, you know, the when, it looked like that thing was, was turning around --n40419b
19289:87	but i don't believe that he, in this first pass around, you know, --n404799 being the first one --n4047b4 to really turn things around or attempt --n4047d7 to is going --n4047ee to be allowed --n404801 to get away with it either.	but i don't believe that he, in this first pass around, you know, --n404799 being the first one --n4047b4 to really turn things around or attempt --n4047d7 to is going --n4047ee to be allowed --n404801 to get away with it either, but not both.	but i don't believe that he, in this first pass around, you know, --n404799 being the first one --n4047b4 to really turn things around and attempt --n4047d7 to is going --n4047ee to be allowed --n404801 to get away with it either.	yes	yes	no	no	no	no	no	no	yes	S	###and,###yeah,###uh, that,###mumblex personally i don't see as gorbachev as --n4045c6 being maybe a threat,###speakerb62t62.###and i think he's actually, honestly trying --n404690 to do some change.###speakera63t63.###uh-huh.###speakerb64t63.###speakera64-1t64-1.
19308:17	will there be a union or not.	will there be a union or not, but not both.	will there be a union and not.	yes	yes	no	no	no	no	no	yes	yes	SQ	###and, uh, you know, the, the reaction, uh,###you know, the, the economic,###speakera67t67.###well, the, uh, the social structure of the soviet union, you know, it, it's, it's coming apart at the seams.###speakerb68t67.###speakera68-1t68-1.###uh-huh.###speakerbnant68-1.###speakerb68-2t68-2.###you know, and i've heard people say, well, you know, it's just like the american civil war,
19349:75	it --n405e66's easy to believe that they were probably more --n405e95 forced --n405ea0 into a pact than, uh, a volunteer or willingness to join.	it --n405e66's easy to believe that they were probably more --n405e95 forced --n405ea0 into a pact than, uh, a volunteer or willingness to join, but not both.	it --n405e66's easy to believe that they were probably mande --n405e95 fandced --n405ea0 into a pact than, uh, a volunteer and willingness to join.	yes	yes	no	no	no	no	no	no	yes	S	###speakeranant75-1.###speakera75-2t75-2.###now i realize that the origins are, are different and that we all joined under a common direction and a common bond to begin with, and that they may have been forced --n405be8,###speakerbnant75-2.###speakerb76t76.###i'm not that familiar with their future,###speakera77t77.###uh-huh.###but i, you know, i,###speakerb78t78.
19435:19	you know, some reason or other, you know, is, uh,	you know, some reason or other, you know, is, uh, but not both.	you know, some reason and other, you know, is, uh,	yes	yes	no	no	no	no	no	no	yes	S	###speakerb104-2t104-2.###yeah,###well, uh, i, i guess, what they'd have --n40796a to do --n407979 to,###i really don't know, you know,### in, in the, in, you know,###speakeranant104-2.###speakera105t105.###i hope that what --n407bd2's happening is exactly the way it appears --n407bfd.###speakerb106t106.###uh-huh.
19604:48	i don't know if i would call it a collection of vietnam war stories or if i'd call it a collection of vietnam love stories.	i don't know if i would call it a collection of vietnam war stories or if i'd call it a collection of vietnam love stories, but not both.	i don't know if i would call it a collection of vietnam war standies and if i'd call it a collection of vietnam love standies.	yes	yes	no	no	no	no	no	no	yes	S	###speakerb10t10.###well, i just finished, just, i just finished one last night.###a great book.### it, it's very, a typical for my reading though###but a great book, one called, the things they carried --n40070b by tim o'brien.###speakera11t11.###huh.###speakerb12t12.###and it's, uh,###god
19641:195	and, uh, the last, uh, i'm embarrassed --n40122a to say the last, you know, honest to gosh, cover to cover book that i read --n401285, i can not, right offhand, i tried --n4012b4 to read, uh, one of the, the michener, uh, lone star or the, the texas history book.	and, uh, the last, uh, i'm embarrassed --n40122a to say the last, you know, honest to gosh, cover to cover book that i read --n401285, i can not, right offhand, i tried --n4012b4 to read, uh, one of the, the michener, uh, lone star or the, the texas history book, but not both.	and, uh, the last, uh, i'm embarrassed --n40122a to say the last, you know, honest to gosh, cover to cover book that i read --n401285, i can not, right offhand, i tried --n4012b4 to read, uh, one of the, the michener, uh, lone star and the, the texas histandy book.	yes	yes	no	no	no	no	no	no	yes	S	###yeah.###so, what's the latest one you've read --n400e97 --n400e9e.###speakera23t23.###well, i tell you what,###i'm a kind of, uh, a history nut.###i'm trying --n40101e to think back now,###i read an awful lot of, uh, periodicals and, uh, you know, almost what you call --n4010ea reference books.###speakerb24t24.###uh-huh.###speakera25t25.
19728:70	where's some reference to this goddamn state of texas and the role that they played --n403093 either leading up to --n4030aa or in --n4030b9 the civil war --n4030cc.	where's some reference to this goddamn state of texas and the role that they played --n403093 either leading up to --n4030aa or in --n4030b9 the civil war --n4030cc, but not both.	where's some reference to this goddamn state of texas and the role that they played --n403093 either leading up to --n4030aa and in --n4030b9 the civil war --n4030cc.	yes	yes	no	no	no	no	yes	no	yes	SBARQ	###and i have two native texan children too.###speakera57t57.###yeah.###speakerb58t58.###my husband is always, you know, talked about th-, texas being a, uh, rebel state.###speakera59t59.###uh-huh.###speakerb60t60.###and, oh, my god, all this civil war pride.###i kept --n402ffa waiting for,
19764:35	and they were cut --n404295 off at the pass --n4042ac more or less, at eagle pass.	and they were cut --n404295 off at the pass --n4042ac more or less, at eagle pass, but not both.	and they were cut --n404295 off at the pass --n4042ac mande and less, at eagle pass.	yes	yes	no	no	no	no	no	no	yes	S	###well, you know, why they actually held them off --n403e16.###none of the yankees wanted --n403eb0 to listen to their kind of luted grammar.###speakera69t69.###that could be it, could be it.###speakerb70t70.###now, you didn't hear me say that.###outside of, uh,###speakera71t71.###and then the last civil war battle was fought --n4040e3 at val verde, you know,###over there on the texas border you had a lot of, of groups heading for mexico
19844:87	well, i've gone to the point where my husband, my husband travels, i get out like, you know, two or three books --n40559a.	well, i've gone to the point where my husband, my husband travels, i get out like, you know, two or three books --n40559a, but not both.	well, i've gone to the point where my husband, my husband travels, i get out like, you know, two and three books --n40559a.	yes	yes	no	no	no	yes	no	no	yes	S	###yeah.###speakerb98t98.###but outside of those kind of things, you know, the other thing that i've really gotten into --n4051d4 reading --n4051df, and i think this is because the kids are getting to me, is science fiction.###speakera99t99.###uh-huh.###speakerb100t99.###speakera101t101.###i've always kind of enjoyed it.### i, i used --n405447 to read a lot more than i do now.###speakerb102t102.
19926:76	see, i had never really been into science fiction that much until, uh, somebody gave me mist of avalon probably about five or six years ago.	see, i had never really been into science fiction that much until, uh, somebody gave me mist of avalon probably about five or six years ago, but not both.	see, i had never really been into science fiction that much until, uh, somebody gave me mist of avalon probably about five and six years ago.	yes	yes	no	no	no	yes	no	no	yes	S	###that was pretty good.###speakerb130t130.###well,###speakera131t131.###that was part of that trilogy that, uh, bruce canton did --n406e8c.###speakerb132t132.###now that's one that, that's one###speakera133t132.###speakerb134t134.###i don't know.
19930:37	i don't know if i'd call it science fiction or fantasy.	i don't know if i'd call it science fiction or fantasy, but not both.	i don't know if i'd call it science fiction and fantasy.	yes	yes	no	no	no	no	no	no	yes	S	###that was part of that trilogy that, uh, bruce canton did --n406e8c.###speakerb132t132.###now that's one that, that's one###speakera133t132.###speakerb134t134.###i don't know.###see, i had never really been into science fiction that much until, uh, somebody gave me mist of avalon probably about five or six years ago.###speakera135t135.###yeah.###speakerb136t136.
20016:38	well, see i, i am debating whether or not i want --n4089ac to go --n4089bb see the movie after --n4089d2 having read the book.	well, see i, i am debating whether or not i want --n4089ac to go --n4089bb see the movie after --n4089d2 having read the book, but not both.	well, see i, i am debating whether and not i want --n4089ac to go --n4089bb see the movie after --n4089d2 having read the book.	yes	yes	no	no	no	no	no	yes	yes	S	###that's true.###have you read, the silence of the lambs.###speakera171t171.###no.###somebody who, --n4087a4 saw the movie here the other day told me it was the most terrifying thing they'd ever seen --n4087ff,###speakerb172t172.###oh.###speakera173t173.###they didn't sleep all night.###speakerb174t174.
20080:60	currently, i think they are a little restrictive. uh, particularly for, uh, certain ethnic groups or from certain countries.	currently, i think they are a little restrictive. uh, particularly for, uh, certain ethnic groups or from certain countries, but not both.	currently, i think they are a little restrictive. uh, particularly fand, uh, certain ethnic groups and from certain countries.	yes	yes	no	no	no	no	no	no	yes	S	###speakera197t197.###yeah.###speakerb198t198.###yeah,###all the characteristics...###speakera199t198.###speakera1t1.###well, how, how do you feel --n400032 about the immigration laws.###speakerb2t2.###at,
20118:86	you know, again, kind of having, uh, uh, within this century, come from a, uh, an immigrant family, or immigrant families on both sides.	you know, again, kind of having, uh, uh, within this century, come from a, uh, an immigrant family, or immigrant families on both sides, but not both.	you know, again, kind of having, uh, uh, within this century, come from a, uh, an immigrant family, and immigrant families on both sides.	yes	yes	no	no	no	no	no	no	yes	S	###huh.###speakerb12t12.###i do not quite go along with that,###but.###speakera13t13.###no,###that doesn't make a whole of lot sense.###speakerb14t14.###no.###and i still think,
20140:22	and i haven't taken the time or effort to learn what they are --n4021b2.	and i haven't taken the time or effort to learn what they are --n4021b2, but not both.	and i haven't taken the time and effandt to learn what they are --n4021b2.	yes	yes	no	no	no	no	no	no	yes	S	###speakerb20t20.###oh, my.###speakera21t21.###so, i don't have any, any, uh, relatives that i am, or, or, uh, several generations back, that i am familiar with --n401c95 their names and how they fit into the family --n401cc0.### they were all, they were all born --n401e89 here###speakerb22t22.###uh-huh.###speakera23t23.###so i don't have any real strong ties with any, with, with the immigration laws.### i don't, because i don't, i don't have any personal feelings about them
20160:209	i, i think if immigration was entirely unrestricted, uh, not only would, would the united states become over populated, well, more over populated awfully quickly, i think --n402d2b it, it would bring in a lot of, uh, people that --n402d76 are, run --n402d89 out of other countries or in trouble in, in other countries.	i, i think if immigration was entirely unrestricted, uh, not only would, would the united states become over populated, well, more over populated awfully quickly, i think --n402d2b it, it would bring in a lot of, uh, people that --n402d76 are, run --n402d89 out of other countries or in trouble in, in other countries, but not both.	i, i think if immigration was entirely unrestricted, uh, not only would, would the united states become over populated, well, mande over populated awfully quickly, i think --n402d2b it, it would bring in a lot of, uh, people that --n402d76 are, run --n402d89 out of other countries and in trouble in, in other countries.	yes	yes	no	no	no	no	no	no	yes	S	###speakera27t27.###uh-huh.###speakerb28t28.###so, you know,###but, uh i think unrestricted immigration, i think --n402a77, is not, uh, is not best, uh.###speakera29t29.###yeah.### i, i, well, i agree with that,###speakerb30t29.###speakera31t31.
