Item_ID	Sentence	rightDisjunct	HasPrecedingContent	HasFollowingContent	IsInDisfluency	HasMoreThanOneOr	HasHedge	containsNumber	eitherPresent	orNotPresent	sentenceHasVP	head
20133:70	so, i don't have any, any, uh, relatives that i am, or, or, uh, several generations back, that i am familiar with --n401c95 their names and how they fit into the family --n401cc0.		yes	yes	yes	no	no	no	no	no	yes	S
20140:22	and i haven't taken the time or effort to learn what they are --n4021b2.	effort	yes	yes	no	no	no	no	no	no	yes	S
20160:209	i, i think if immigration was entirely unrestricted, uh, not only would, would the united states become over populated, well, more over populated awfully quickly, i think --n402d2b it, it would bring in a lot of, uh, people that --n402d76 are, run --n402d89 out of other countries or in trouble in, in other countries.		yes	yes	no	no	no	no	no	no	yes	S
20170:82	there are, were some, uh, regulations --n403473 over, i don't know whether they're laws passed or, or whatever they're called --n4034c6 --n4034cd, uh, just recently, where, uh, people with certain diseases can not be excluded --n40351c, uh, from, uh, immigration --n403543.		yes	yes	yes	yes	no	no	no	no	yes	S
20170:89	there are, were some, uh, regulations --n403473 over, i don't know whether they're laws passed or, or whatever they're called --n4034c6 --n4034cd, uh, just recently, where, uh, people with certain diseases can not be excluded --n40351c, uh, from, uh, immigration --n403543.		yes	yes	yes	no	no	no	no	no	yes	S
20229:101	it seems --n401157 to say, i'll tax them if you can't get enough money, instead of --n4011a6 trying --n4011b1 to figure out how to cut budgets or cut spending or, or, you know, get all of the waste out of the spending --n401224.	cut spending	yes	yes	no	yes	no	no	no	no	yes	S
20229:113	it seems --n401157 to say, i'll tax them if you can't get enough money, instead of --n4011a6 trying --n4011b1 to figure out how to cut budgets or cut spending or, or, you know, get all of the waste out of the spending --n401224.		yes	yes	yes	yes	no	no	no	no	yes	S
20229:120	it seems --n401157 to say, i'll tax them if you can't get enough money, instead of --n4011a6 trying --n4011b1 to figure out how to cut budgets or cut spending or, or, you know, get all of the waste out of the spending --n401224.		yes	yes	no	no	no	no	no	no	yes	S
20324:118	so, you know, even, even in the story where they had --n402df8 to pay the taxes --n402e0f, the disciples, and, uh, jesus said the money in the fish's mouth or in the fisher, inside the fish.		yes	yes	yes	no	no	no	no	no	yes	S
20379:3	or,		no	no	no	no	no	no	no	no	no	S
20446:21	so if you pay your rent or your house payment every two weeks, instead of once a month, you'll come out --n4050ba paying a, uh, one month extra every year.	your house payment	yes	yes	no	no	no	no	no	no	yes	S
20453:61	and it will, if have you a thirty year note, it will take like seven or plus years off of your note.	plus years	yes	yes	no	no	no	no	no	no	yes	S
20456:39	my parents, uh, bought a home in san diego about four or five years ago,		yes	yes	no	no	no	yes	no	no	yes	S
20466:64	though the note is thirty years, she said it's going --n405693 be paid --n4056a2 off in twenty or twenty one years, or something like that.		yes	yes	no	yes	no	yes	no	no	yes	S
20466:74	though the note is thirty years, she said it's going --n405693 be paid --n4056a2 off in twenty or twenty one years, or something like that.	something like that	yes	yes	no	no	yes	no	no	no	yes	S
20484:3	or, usually it doesn't.		no	yes	no	no	no	no	no	no	yes	S
20498:36	that's what we're looking at --n405e05, fifteen or maybe twenty.		yes	yes	no	no	no	no	no	no	yes	S
20511:22	well, we just started two or three weeks ago.		yes	yes	no	no	no	yes	no	no	yes	S
20516:11	just two or three houses a week at the most.		yes	yes	no	no	no	yes	no	no	no	FRAG
20556:19	she was there for two or three years before we got married --n406a3e.		yes	yes	no	no	no	yes	no	no	yes	S
20716:3	or are you familiar with any of that.		no	yes	no	no	no	no	no	no	no	SQ
20789:41	i don't want --n11e77 to be running down there every week, or whatever.	whatever	yes	yes	no	no	yes	no	no	no	yes	S
21034:54	we don't have cable to the point of, of the h b o or any of that stuff.	any of that stuff	yes	yes	no	no	no	no	no	no	yes	S
21046:3	or, i used --n401f70 to be really hooked on all my children,		no	yes	no	no	no	no	no	no	yes	S
21053:31	and i watched that for like, oh, ten or fifteen straight years,		yes	yes	no	no	no	yes	no	no	yes	S
21058:31	like at work, we'd have a t v or whatever.	whatever	yes	yes	no	no	yes	no	no	no	yes	S
21110:62	and as the world turns. i think as the world turns may, still on or not.	not	yes	yes	no	no	no	no	no	yes	yes	S
21263:38	so that was part of, i guess, his character building or whatever,	whatever	yes	yes	no	no	yes	no	no	no	yes	S
21314:41	but i think we wanted --n402a01 to see dede --n402a14 there or somebody like her.	somebody like her	yes	yes	no	no	no	no	no	no	yes	S
21390:163	and that really made it a very interesting, uh, show to where you never really knew which, which one --n4044b4 was going --n4044c3 to show up. you know, whether it was going to, where they're going --n40450e to be real close --n404525 or whether they're just going --n404544 to be partners --n404557, you know		yes	yes	no	no	no	no	no	no	yes	S
21398:48	and you always wonder, why they don't, you know, get together or whatever --n404abf.	whatever	yes	yes	no	no	yes	no	no	no	yes	S
21418:62	they had get smart for, uh, ten hours a day, from seven o'clock at night, until six or until five o'clock the next morning. all the get smart episodes you could ever see --n405317.		yes	yes	yes	no	no	no	no	no	yes	S
21448:96	and and, well, of course, another one of their mistakes, i think --n405e2d, is they have a tendency --n405e50 to change characters, or to change the characters', uh, uh, personalities well, especially after they get married --n405eb3.	to change the characters', uh, uh, personalities	yes	yes	no	no	no	no	no	no	yes	S-N405E2D
21458:71	um, couple of examples would be, um, well, like i said, this one about max s-, or get well smart, the female character, barbara feldon	get well smart, the female character, barbara feldon	yes	yes	yes	no	no	no	no	no	yes	S
21511:48	but when he gets married --n407555 --n40755c, then you don't care any more or something like that,	something like that	yes	yes	no	no	yes	no	no	no	yes	S
21517:53	do you think that's why most rock stars nowadays keep their marriages secret --n40777e, or at least they keep it quiet --n4077a5.		yes	yes	no	no	no	no	no	no	yes	SQ
21541:3	or at least, that's the way i look at it --n407d0f.		no	yes	no	no	no	no	no	no	yes	S
21643:3	or do they have a standing ball or a machine, or what.		no	yes	no	yes	no	no	no	no	yes	SQ
21643:21	or do they have a standing ball or a machine, or what.	a machine	yes	yes	no	yes	no	no	no	no	yes	SQ
21643:30	or do they have a standing ball or a machine, or what.	what	yes	yes	no	no	yes	no	no	no	yes	SQ
21674:3	or do you go out.		no	yes	no	no	no	no	no	no	yes	SQ
21679:73	do you go, how about like for, uh, do you go for long vacations, like a week or something when they have school off --n40132b.	something	yes	yes	no	no	yes	no	no	no	yes	SQ
21685:12	in the summer or like in the easter time, like around now.		yes	yes	no	no	no	no	no	no	no	FRAG
21765:67	uh, a very, uh, family thing, you know, made, like go --n402de5 skiing in vermont or something.	something	yes	yes	no	no	yes	no	no	no	yes	X
21800:33	it's like yeah, we never threw a football or something	something	yes	yes	no	no	yes	no	no	no	yes	S
21893:23	and we knew time wise, or, and money wise, too		yes	yes	yes	no	no	no	no	no	yes	S
22070:3	or does it stay in the bad neighborhoods.		no	yes	no	no	no	no	no	no	yes	SQ
22074:32	there's a very large, uh, or very high percentage of car theft.		yes	yes	yes	no	no	no	no	no	yes	S
22090:133	and once you've reached the, the river walk area, which --n401df1 is the tourist area, it's usually pretty safe during the day, if you're just kind of cautious and don't go down the back streets or alleys, and, um, you know, or alone.	alleys	yes	yes	no	yes	no	no	no	no	yes	S
22090:169	and once you've reached the, the river walk area, which --n401df1 is the tourist area, it's usually pretty safe during the day, if you're just kind of cautious and don't go down the back streets or alleys, and, um, you know, or alone.		yes	yes	no	no	no	no	no	no	yes	S
22227:44	i, i don't know where you start or, with a lot of these kids --n4050d1,		yes	yes	yes	no	no	no	no	no	yes	S
22246:35	if i was going --n405804 to go out and drink or do something, i wouldn't do it in front of my child.	do something	yes	yes	no	no	no	no	no	no	yes	S
22280:3	or, you know, because it,		no	yes	no	no	no	no	no	no	yes	FRAG
22322:41	but san antonio is considered --n407091 a nice clean city, believe it or not.	not	yes	yes	no	no	no	no	no	yes	yes	S
22355:3	or,		no	no	no	no	no	no	no	no	no	S
22365:23	so you wouldn't get confronted --n408097 or anything	anything	yes	yes	no	no	yes	no	no	no	yes	S
22388:17	so are you a freshwater or,		yes	no	no	no	no	no	no	no	no	SQ
22409:25	and, uh, i have caught one or two small sharks		yes	yes	no	no	no	yes	no	no	yes	S
22444:46	and, you know, there's part, either as part of --n401157 or separate from --n40116a the, uh, bill fishing tournaments they usually have --n40119d		yes	yes	no	no	no	no	yes	no	yes	X
22482:15	it's a rhythm or something.	something	yes	yes	no	no	yes	no	no	no	yes	S
22485:34	i usually ended --n401aba snagging my, uh, fishing partners or the trees along the bank.	the trees along the bank	yes	yes	no	no	no	no	no	no	yes	S
22501:3	or do you, do you eat what you fish --n401db8.		no	yes	no	no	no	no	no	no	yes	SQ
22529:66	oh, and occasionally we'd go out on a, you know, full day trip, you know, three or four other people and do either, again, bottom fishing or or for grouper		yes	yes	no	yes	no	yes	no	no	yes	S
22529:99	oh, and occasionally we'd go out on a, you know, full day trip, you know, three or four other people and do either, again, bottom fishing or or for grouper		yes	yes	yes	yes	no	no	yes	no	yes	S
22529:104	oh, and occasionally we'd go out on a, you know, full day trip, you know, three or four other people and do either, again, bottom fishing or or for grouper		yes	yes	no	no	no	no	yes	no	yes	S
22536:3	or, i used to catch you know, i've caught a few worthwhile snappers, red snappers and gray snappers and so forth.		no	yes	no	no	no	no	no	no	yes	S
22591:3	or, you know, actually we were, uh, snapper fishing.		no	yes	no	no	no	no	no	no	yes	S
22630:93	of course what i used --n4047e5 to like --n4047f4 to do --n404803 though is go --n40481a snorkeling for scallops --n40482d in some of the bays, or uh, or oy-, for oysters.		yes	yes	yes	yes	no	no	no	no	yes	S
22630:104	of course what i used --n4047e5 to like --n4047f4 to do --n404803 though is go --n40481a snorkeling for scallops --n40482d in some of the bays, or uh, or oy-, for oysters.		yes	yes	no	no	no	no	no	no	yes	S
22715:55	i've, i've caught them from, you know, three or four inches long up to, uh,		yes	yes	no	no	no	yes	no	no	yes	S
22719:47	i guess the largest one i ever caught --n4068d0 was probably eight or ten inches long,		yes	yes	no	no	no	yes	no	no	yes	S
22745:68	and the first thing i caught --n4071ae was a sand shark, which --n4071cd was probably a foot, and a half or, uh, two feet long,		yes	yes	no	no	no	no	no	no	yes	S
22753:43	and then i was fi-, fished for another half hour or forty-five minutes, caught a few white fish and so forth,	forty-five minutes	yes	yes	no	no	no	yes	no	no	yes	S
22909:108	but then, you don't want --n12901 to go --n12910 do that when you don't have --n12933 to --n12942 because like, uh, you have --n12965 to give up your automobile or whatever.	whatever	yes	yes	no	no	yes	no	no	no	yes	S
22961:41	like, they could put it in one of their children's names or something you know.	something	yes	yes	no	no	yes	no	no	no	yes	S
23116:114	but, then i just, you know, bundle it up and put it on the front, you know, the front walk ev-, you know, every monday or every other monday, and have them pick that up,	every other monday	yes	yes	no	no	no	no	no	no	yes	S
23150:27	so every time we drink a coke or whatever --n402106 we crush the can and just drop it into the bucket.	whatever	yes	yes	no	no	yes	no	no	no	yes	S
23204:50	they won't, yeah, they won't take any lint free paper or,		yes	no	yes	no	no	no	no	no	yes	S
23317:39	i guess the schools will get into it, too, sooner or later.		yes	yes	no	no	no	no	no	no	yes	S
23449:67	and maybe instead of, of, uh, just kind of blowing it off just spend a day or a day and a half like most folks do, maybe we should commit --n400f41 to spend a week,	a day and a half	yes	yes	no	no	no	no	no	no	yes	S
23466:89	but the way our system, our court system works --n40172b, that guy is going --n401746 to have --n401755 to hang around in jail or out on bail or something like that for an extreme period of time.		yes	yes	no	yes	no	no	no	no	yes	S
23466:100	but the way our system, our court system works --n40172b, that guy is going --n401746 to have --n401755 to hang around in jail or out on bail or something like that for an extreme period of time.	something like that	yes	yes	no	no	yes	no	no	no	yes	S
23477:3	or do they need a six person jury or, you know, those kinds of things		no	yes	no	yes	no	no	no	no	yes	SQ
23477:24	or do they need a six person jury or, you know, those kinds of things		yes	yes	no	no	no	no	no	no	yes	SQ
23481:3	or do you need somebody to go off for three months and try --n4020d4 to figure out what --n4020eb really happened. you know, a jury like that.		no	yes	no	no	no	no	no	no	yes	SQ
23488:144	you know, kind of mumblex off what we've been talking about --n402389 here, uh, i believe that our, we've become almost a litigious society where we, everyone is very quick --n4023f8 to sue or to threaten --n402413 to sue and that kind of stuff --n402436,	to threaten --n402413 to sue	yes	yes	no	no	no	no	no	no	yes	S
23497:32	and if you want --n402a78 to, your lawyer or your, your opponent need --n402aab to go --n402aba face this group of twenty-five or a judge mumblex like they have on t v		yes	yes	no	yes	no	no	no	no	yes	S
23497:87	and if you want --n402a78 to, your lawyer or your, your opponent need --n402aab to go --n402aba face this group of twenty-five or a judge mumblex like they have on t v	a judge mumblex like they have on t v	yes	yes	no	no	no	no	no	no	yes	S
23504:17	and let either he or that group decide whether or not you have a real case.	that group	yes	yes	no	yes	no	no	yes	no	yes	S
23504:30	and let either he or that group decide whether or not you have a real case.		yes	yes	no	no	no	no	yes	yes	yes	S
23535:51	there's a, a real name for that like the judean law, or something like that.	something like that	yes	yes	no	no	yes	no	no	no	yes	S
23676:18	you serve that yourself, or the, for a family.		yes	yes	no	no	no	no	no	no	yes	S
23700:3	or do you have --n4013e0 to,		no	yes	no	no	no	no	no	no	yes	SQ
23901:7	sole or flounder is real good.	flounder	yes	yes	no	no	no	no	no	no	yes	S
23944:12	s i n, or s e n	s e n	yes	yes	no	no	no	no	no	no	no	NP
24015:54	i thought it was maybe like, you know, like five fifty or something.	something	yes	yes	no	no	yes	no	no	no	yes	S
24074:23	i didn't care about the program or anything else.	anything else	yes	yes	no	no	yes	no	no	no	yes	S
24108:42	i think if you're going into like, uh, law or medicine, a very particular, very specific field, even, even engineering, you can get, you can meet a lot of the requirements at a public, um, institution.		yes	yes	no	no	no	no	no	no	yes	S
24200:82	the only field i'm not familiar with --n403988 really is education, which is required, --n4039af mumblex requires about four or five different fields really.		yes	yes	no	no	no	yes	no	no	yes	S
24421:57	and it, and if it's possible even get some experience at it or at least watch some people do it.	at least watch some people do it	yes	yes	no	no	no	no	no	no	yes	S
24488:129	i mean because i know i certainly wouldn't want --n4006c8 to, to, uh, you know, be endangered --n400707 by somebody in a company that --n400726 accidentally dropped something on me or, or you know, because he was on drugs while he was there.		yes	yes	yes	yes	no	no	no	no	yes	FRAG
24488:136	i mean because i know i certainly wouldn't want --n4006c8 to, to, uh, you know, be endangered --n400707 by somebody in a company that --n400726 accidentally dropped something on me or, or you know, because he was on drugs while he was there.		yes	yes	yes	no	no	no	no	no	yes	FRAG
24504:102	i think your record should stand for itself. that, you know, if you've been tested --n400fb2 at other companies and you've always come up --n400fdd negative or whatever, then i don't see what the big deal is --n40101c that they have --n40102f to go to all the expense of --n401052 testing you over and over and over --n401075.	whatever	yes	yes	no	no	yes	no	no	no	yes	S
24557:27	. you know, as like a manager or supervisor thinks --n402853 or has suspicion --n402866 that someone is using drugs, do you think they should have the right to send them --n4028b9 to be tested --n4028cc.		yes	yes	no	yes	no	no	no	no	yes	SQ
24557:38	. you know, as like a manager or supervisor thinks --n402853 or has suspicion --n402866 that someone is using drugs, do you think they should have the right to send them --n4028b9 to be tested --n4028cc.	has suspicion --n402866	yes	yes	no	no	no	no	no	no	yes	SQ
24609:54	well, does your r-, does your job require you to drive company equipment or to ap-, operate any type of machinery that --n403e0b might endanger someone.	to ap-, operate any type of machinery that --n403e0b might endanger someone	yes	yes	no	no	no	no	no	no	yes	SQ
24633:46	so i don't know if i wasn't drug tested --n4045ef based on that or because the man who --n404616 hired me didn't request the drug test, because i know that my company does drug testing on occasion.		yes	yes	no	no	no	no	no	no	yes	S
24636:108	well, does your, the company say, for instance, does the company you worked for --n404857 bef-, before have the right --n404876 or do they have the ability --n404895 to say, hey, we've already drug tested her		yes	yes	no	no	no	no	no	no	yes	SQ
24732:44	is, is, is it doing a good job or a bad job	a bad job	yes	yes	no	no	no	no	no	no	yes	S
24733:51	and you got --n40018f to divide it two different categories whether you live in the city or whether you live in a more rural place like i do.		yes	yes	no	no	no	no	no	no	yes	S
24736:40	and are you talking about public schools being lower level, high school level or state school.	state school	yes	yes	no	no	no	no	no	no	yes	SQ
24757:57	even a bad school is a good school up here, where, if i lived in new york city or washington, d c, uh, i would seriously consider moving if i had a child.	washington, d c	yes	yes	no	no	no	no	no	no	yes	S
24790:3	or you get counseling earlier	you	no	yes	no	no	no	no	no	no	yes	S
24807:72	or if you're going --n402381 to go the science route you can go to a target school that --n4023bc specializes in science or art.		yes	yes	no	no	no	no	no	no	yes	S
24851:14	and, or maybe they're unemployed		yes	yes	no	no	no	no	no	no	yes	S
24893:119	and plus for, for the type of student that --n404a69's going to that school, it's going --n404a94 to raise the level of the school because your parents are engineers or chemists.		yes	yes	no	no	no	no	no	no	yes	S
24932:8	more taxes or better management of what they got --n405dfe.	better management of what they got --n405dfe	yes	yes	no	no	no	no	no	no	yes	NP
24941:98	even though we've, uh, enjoyed very good employment here for the past ten years, now we got eight percent, uh, unemployment when it used --n4063ef to be four or five --n40640a.		yes	yes	no	no	no	yes	no	no	yes	S
24964:43	and the only school you could go to --n406e6e was the baptist school or the catholic school	the catholic school	yes	yes	no	no	no	no	no	no	yes	S
24979:32	see, i don't have any good ideas or, or anything that --n4072fa would contribute.		yes	yes	yes	yes	no	no	no	no	yes	S
24979:39	see, i don't have any good ideas or, or anything that --n4072fa would contribute.		yes	yes	no	no	no	no	no	no	yes	S
24983:30	the only reason i asked about secondary schools or, you know, advanced education --n4076bb is because down here, you know, going to the university of texas, the education i'm getting --n40771a i think --n40772d is kind of shoddy for a public school.		yes	yes	no	no	no	no	no	no	yes	S
25105:3	or i don't know how much of the you know,	i	no	yes	no	no	no	no	no	no	yes	S
25119:14	or, or even have had the ability, you know, the chance to, to go to college or to, to to learn about,		yes	yes	no	yes	no	no	no	no	yes	S
25119:93	or, or even have had the ability, you know, the chance to, to go to college or to, to to learn about,		yes	yes	no	no	no	no	no	no	yes	S
25236:42	and we were talking about something tot-, income tax or something.	something	yes	yes	no	no	yes	no	no	no	yes	S
25294:38	i haven't heard whether it's going --n400f2f to rain or not.	not	yes	yes	no	no	no	no	no	yes	yes	S
25318:34	i don't like it when it's too cool or too warm --n4018cb.		yes	yes	no	no	no	no	no	no	yes	S
25323:87	um, one of the remarkable things about the weather in the summertime here is that quite often the average daytime high of say ninety-nine degrees is within five or six degrees of the all time record high.		yes	yes	no	no	no	yes	no	no	yes	S
25332:63	i mean, any other time of year, that's not the case, because it could be very warm or very cold.		yes	yes	no	no	no	no	no	no	yes	S
25522:55	i guess, the first time i played golf --n40213e has been probably about eight or ten years ago now, when i was in college --n402185.		yes	yes	no	no	no	yes	no	no	yes	S
25593:28	if you want --n403fa1 to play tennis, or racquetball,		yes	yes	no	no	no	no	no	no	yes	S
25614:31	and you can just mosey on out for three or four hours and have a good time.		yes	yes	no	no	no	yes	no	no	yes	S
25625:63	and never yet have i met anybody on the golf course that --n404a26 wouldn't allow me to join their twosome or threesome.		yes	yes	no	no	no	yes	no	no	yes	SINV
25635:89	they don't mind --n404cfb saying, well, you know, let me tea-, tell you how to do that --n404d4e or teach you how to do that --n404d75, or,	teach you how to do that --n404d75	yes	yes	yes	yes	no	no	no	no	yes	S
25635:118	they don't mind --n404cfb saying, well, you know, let me tea-, tell you how to do that --n404d4e or teach you how to do that --n404d75, or,		yes	no	yes	no	no	no	no	no	yes	S
25661:186	but, uh, i'd like --n40571b to, uh, eventually i'd like --n405746 to work up, if, if my wife does get interested, and maybe get involved in a league in a, in a mixed, mixed doubles league, or something like that.	something like that	yes	yes	no	no	yes	no	no	no	yes	S
25665:34	uh, it runs from like five o'clock to seven thirty or eight o'clock, you know, because it doesn't get dark until nine thirty or ten.	eight o'clock	yes	yes	no	yes	no	yes	no	no	yes	S
25665:80	uh, it runs from like five o'clock to seven thirty or eight o'clock, you know, because it doesn't get dark until nine thirty or ten.	ten	yes	yes	no	no	no	yes	no	no	yes	S
25750:101	i've, i've kind of formed the attitude that, you know, if i could just, if i could pick two or three shots out, uh, out of my game every time and put them together on one hole, then i do pretty good		yes	yes	no	no	no	yes	no	no	yes	S
25777:18	i never broke a club or anything,	anything	yes	yes	no	no	yes	no	no	no	yes	S
25988:18	and interest is like eighteen or something.	something	yes	yes	no	no	yes	no	no	no	yes	S
26057:89	well, having, having been out of the credit game for some years now, i've gotten used to --n4045f3 either paying in cash or not getting it.	not getting it	yes	yes	no	no	no	no	yes	yes	yes	S
26108:23	circuit, circuit world or something.	something	yes	yes	no	no	yes	no	no	no	no	NP
26135:3	or you probably have something similar.	you	no	yes	no	no	no	no	no	no	yes	S
26261:44	as a matter of fact, the i b m right here, or in carey, which --n407589 is a little suburb of raleigh, just, just hired one more human factors person.		yes	yes	yes	no	no	no	no	no	yes	S
26267:62	i'm, i'm, i'm going into thes-, or going into the, uh, dissertation this summer.	going into the, uh, dissertation this summer	yes	yes	yes	no	no	no	no	no	yes	S
26310:51	and i would ima-, i would imagine that if i change or if i get another car, a new car, i will go with the taurus or something similar, uh, in that regard.		yes	yes	no	yes	no	no	no	no	yes	S
26310:107	and i would ima-, i would imagine that if i change or if i get another car, a new car, i will go with the taurus or something similar, uh, in that regard.	something similar, uh, in that regard	yes	yes	no	no	yes	no	no	no	yes	S
26384:65	you're talking when you think about price --n401dbc, it's several thousand dollars lower than the comparable honda or nissan or something along those lines.		yes	yes	no	yes	no	no	no	no	yes	S
26384:70	you're talking when you think about price --n401dbc, it's several thousand dollars lower than the comparable honda or nissan or something along those lines.		yes	yes	no	no	yes	no	no	no	yes	S
26390:57	well, ford's done a real good job --n4020f3 in the last, uh, say, ten years or at least the last five to te-, six years, so, of --n40216a really turning around their, um, quality, i think --n4021a1, um.		yes	yes	no	no	no	no	no	no	yes	S
26418:129	and i would, i probably, if i had thought i, uh, wanted --n402a84 to pay the amount of money, i probably would have gone with, uh, uh, an accord or even a, a civic, or something comparable from nissan or toyota,		yes	yes	no	yes	no	no	no	no	yes	S
26418:156	and i would, i probably, if i had thought i, uh, wanted --n402a84 to pay the amount of money, i probably would have gone with, uh, uh, an accord or even a, a civic, or something comparable from nissan or toyota,	something comparable from nissan or toyota	yes	yes	no	yes	yes	no	no	no	yes	S
26418:172	and i would, i probably, if i had thought i, uh, wanted --n402a84 to pay the amount of money, i probably would have gone with, uh, uh, an accord or even a, a civic, or something comparable from nissan or toyota,	toyota	yes	yes	no	no	no	no	no	no	yes	S
26447:34	i can drive for, you know, ten hours or so and not really be tired in any way.		yes	yes	no	no	yes	no	no	no	yes	S
26452:43	and i, i probably in another six months to a year or something will probably start --n403b6a looking around again,	something	yes	yes	no	no	yes	no	no	no	yes	S
26474:25	in our parking lots, uh, two or three days ago i saw one of the new honda sports cars.		yes	yes	no	no	no	yes	no	no	yes	S
26479:17	it's the thirty-five or forty thousand dollar one, whatever it is --n40496a,		yes	yes	no	no	no	yes	no	no	yes	S
26506:162	and even, even though i, i, i do enjoy cars, i enjoy, um, --n405448 driving them, i enjoy, uh, --n40546f riding in them and everything, but, i can't see --n4054a6 buying, or paying more --n4054c1 for a car than i would for a house, you know.	paying more --n4054c1 for a car than i would for a house	yes	yes	yes	no	no	no	no	no	yes	S
26538:60	we won't, we don't, we won't get the recorder or the, uh, system to shut us off, uh, tonight.	the, uh, system	yes	yes	no	no	no	no	no	no	yes	S
26625:3	or maybe offer them, you know, some sort of an incentive to do it. uh, you know college credit, you know, something, you know,		no	yes	no	no	no	no	no	no	yes	S
26738:99	like maybe if, if there was something they could do --n4030c8 in their own, own, in their own town or city, yeah, and not have --n403123 to pull up roots and, you know, go somewhere half way around the world, or something.		yes	yes	no	yes	no	no	no	no	yes	S
26738:170	like maybe if, if there was something they could do --n4030c8 in their own, own, in their own town or city, yeah, and not have --n403123 to pull up roots and, you know, go somewhere half way around the world, or something.	something	yes	yes	no	no	yes	no	no	no	yes	S
26767:3	or would they really, you know, make a contribution of some kind.		no	yes	no	no	no	no	no	no	yes	SQ
26779:43	and i don't know who --n403ce1's even proposing it, or, or how they plan on --n403d18 implementing it --n403d27, if they do.		yes	yes	yes	yes	no	no	no	no	yes	S
26779:50	and i don't know who --n403ce1's even proposing it, or, or how they plan on --n403d18 implementing it --n403d27, if they do.		yes	yes	no	no	no	no	no	no	yes	S
26815:50	and you, you give them your speech and maybe a little slide show or something,	something	yes	yes	no	no	yes	no	no	no	yes	S
26845:102	and, i guess even back to kennedy, as a matter of fact, i guess kennedy may be the one that --n404f78 actually started the thing, or was, you know, really interested in things like that.	was, you know, really interested in things like that	yes	yes	no	no	no	no	no	no	yes	S
26907:20	did you teach in all subjects or in all grade levels		yes	yes	no	no	no	no	no	no	yes	SQ
26908:3	or,		no	no	no	no	no	no	no	no	no	S
27038:58	and if we did have a, a student come in and they were drunk or they were on something you had the option of calling the police and have them taken --n403a09 out of the schools or trying --n403a28 to teach them something while they were there.	they	yes	yes	no	yes	no	no	no	no	yes	S
27038:127	and if we did have a, a student come in and they were drunk or they were on something you had the option of calling the police and have them taken --n403a09 out of the schools or trying --n403a28 to teach them something while they were there.	trying --n403a28 to teach them something while they were there	yes	yes	no	no	no	no	no	no	yes	S
27042:33	and you don't know if you were reaching them or not	not	yes	yes	no	no	no	no	no	yes	yes	S
27059:27	i don't know if was alcohol or something else that they were on --n404455	something else that they were on --n404455	yes	yes	no	no	yes	no	no	no	yes	S
27241:140	i mean, i, i mean teachers are so afraid --n407551 now of even saying something, to students because they're going get, they're going --n4075a0 to get complaints or they're going --n4075c3 to get sued --n4075d6 or something.	they	yes	yes	no	yes	no	no	no	no	yes	S
27241:169	i mean, i, i mean teachers are so afraid --n407551 now of even saying something, to students because they're going get, they're going --n4075a0 to get complaints or they're going --n4075c3 to get sued --n4075d6 or something.	something	yes	yes	no	no	yes	no	no	no	yes	S
27268:38	we're going --n407e81 to send our kid here for seven or eight hours a day		yes	yes	no	no	no	yes	no	no	yes	S
27318:27	and maybe they were a group of mennonites or something like that.	something like that	yes	yes	no	no	yes	no	no	no	yes	S
27363:3	or,		no	no	no	no	no	no	no	no	no	S
27384:38	i need --n400ade to, uh, either paper back over it or do something.	do something	yes	yes	no	no	no	no	yes	no	yes	S
27403:11	well, more or less.		yes	yes	no	no	no	no	no	no	no	FRAG
27413:32	and, and it supposedly textured it or did something to it	did something to it	yes	yes	no	no	no	no	no	no	yes	S
27434:39	and the people quoted thirty thousand dollars --n402265 --n40226c to paint it or something.	something	yes	yes	no	no	yes	no	no	no	yes	S
27516:17	this is sherwin williams paint or something	something	yes	yes	no	no	yes	no	no	no	yes	S
27531:45	and the blue, even so many years, two years --n404446 later or so it doesn't match, you know,		yes	yes	no	no	yes	no	no	no	yes	S
27733:3	or, uh,		no	yes	no	no	no	no	no	no	no	S
27747:79	um, essentially i was one of the nerdy types in high school really which --n401138 meant that i, for one reason or another i didn't pay much attention to music,	another	yes	yes	no	no	no	no	no	no	yes	S
27754:97	i think with, in a way one could talk about simon and garfunkel that way because they do tend, uh, --n40167d to have a dramatic or story approach to their music, uh, usually tend --n4016c0 to have some good or bad moral to it.		yes	yes	no	yes	no	no	no	no	yes	S
27754:140	i think with, in a way one could talk about simon and garfunkel that way because they do tend, uh, --n40167d to have a dramatic or story approach to their music, uh, usually tend --n4016c0 to have some good or bad moral to it.		yes	yes	no	no	no	no	no	no	yes	S
27828:55	our generation was, uh, so in tuned to music of that time that we identify goodness or badness --n404659 with, uh, things now with the music that --n404688's behinds them.		yes	yes	no	no	no	no	no	no	yes	S
27846:151	uh, and my family now knows if they come into my study and, uh, i happen --n404e49 to have had a tough day at work and maybe i'm trying --n404e84 to get a project done, uh, at school, uh, and i'm humming or whistling in a sort of mad crazy way the tune to downtown they know --n404f0b to just stay away,		yes	yes	no	no	no	no	no	no	yes	S
27863:29	and i have, uh, returned about every four or five years to --n4053d4 thinking that i would like --n4053ef to do something about it.		yes	yes	no	no	no	yes	no	no	yes	S
27895:52	they went through the, uh, parent thing where you've got --n406447 to practice or you're not going out --n40646e to play --n40647d thing,	you	yes	yes	no	no	no	no	no	no	yes	S
