"tgrep.id","entire.sentence","Sentence_type","DE_operator","Numeral","And_test","Or_both_test","Actually_test","Disjunct_relation","Disjunct_individuation","MainReferent","Habituality","SIMean","PropGoodSentence","SentenceLength","eitherPresent","orNotPresent","cluster","PrototypicalSentence8","n","Cluster"
"107053:97","""and then at the end of the, of the period, pay period, if she has any left, that much is for fun or entertainment.""","declarative","not available","nonum","nochange","nochange","change","A>B","same","non-generic","static",0.248888888888889,1,116,"no","no",4,"no",98,"4--98"
"119921:34","""i don't know if they're making them better or not,""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.372222222222222,0.555555555555556,52,"no","yes",2,"no",147,"2--147"
"166963:23","""and whe-, whether or not you agree with that law, i-, you're still circumventing it.""","declarative","wh","nonum","change","not available","change","A~B","different","generic","static",0.386666666666667,0.444444444444444,86,"no","yes",2,"no",147,"2--147"
"12588:15","they could either fight or die.","declarative","not available","nonum","change","change","change","A~B","different","non-generic","static",0.552222222222222,0.777777777777778,31,"yes","no",6,"no",169,"6--169"
"75373:37","""and now everybody, uh, has v c r --s and two or three v c r --s and that kind of thing.""","declarative","not available","nonum","change","not available","nochange","A~B","same","generic","static",0.316666666666667,0.666666666666667,89,"no","no",5,"no",381,"5--381"
"39593:60","""we might try to, to, um, to grill some flounder or salmon steaks.""","declarative","not available","nonum","nochange","change","nochange","A~B","different","non-generic","static",0.535555555555556,1,67,"no","no",7,"no",90,"7--90"
"90246:38","""and, you know, it does not have a real story, or any plot,""","declarative","negation","nonum","nochange","nochange","nochange","A<B","same","non-generic","static",0.297777777777778,0.444444444444444,60,"no","no",4,"no",98,"4--98"
"96713:55","""there was something on t v the other day that said that fewer than one or two percent of the heads of, uh, chairmen of the board, chair-, chair persons, uh, if you sa-, if you will, of the board are women in this country.""","declarative","relclause","num","change","not available","nochange","A~B","same","non-generic","static",0.222222222222222,0.777777777777778,223,"no","no",5,"no",381,"5--381"
"136285:25","""been pulling them up, huh, or just loosening them until the rain came in.""","declarative","not available","nonum","change","change","nochange","A>B","different","non-generic","episodic",0.395555555555556,0.444444444444444,75,"no","no",7,"no",90,"7--90"
"172843:32","""i'm, i'm five or six mumblex years before i'm eligible to retire""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.563333333333333,0.555555555555556,66,"no","no",5,"no",381,"5--381"
"158123:56","""well, i, i don't know if that would really work that way or not.""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.54,0.555555555555556,66,"no","yes",2,"no",147,"2--147"
"43156:41","""basically, i like to mow the lawn, believe it or not,""","declarative","not available","nonum","change","not available","change","A~B","different","non-generic","static",0.49,0.111111111111111,55,"no","yes",2,"no",147,"2--147"
"54952:27","""is that the one set in the fifties, or sixties.""","interrogative","not available","num","change","not available","change","A~B","same","non-generic","static",0.841111111111111,0.555555555555556,49,"no","no",5,"no",381,"5--381"
"74620:92","""if we paid them more, it would attract more the, the higher educated people to, to either move into that field or to continue in that field.""","declarative","not available","nonum","change","change","change","A~B","different","expletive","static",0.493333333333333,0.555555555555556,142,"yes","no",6,"no",169,"6--169"
"2700:39","""but, you know, i don't know if they do or not.""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.575555555555556,0.333333333333333,48,"no","yes",2,"no",147,"2--147"
"53606:55","""apparently, i, i don't know if it was just the strong winds or some small tornadoes up this way too.""","declarative","wh","nonum","change","change","change","A<B","same","expletive","static",0.476666666666667,0.777777777777778,102,"no","no",1,"no",113,"1--113"
"70391:41","""and there's a flash flood watch and, more rain for the next three or four days.""","declarative","not available","num","change","not available","nochange","A~B","same","expletive","static",0.09,0.555555555555556,81,"no","no",5,"no",381,"5--381"
"18419:16","""they have about two or three acres of land on lake front property, on a, on the side of a hill.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.468888888888889,0.777777777777778,97,"no","no",5,"no",381,"5--381"
"139490:160","""now i've done it with, where you put, you cook the ri-, well, i guess you probably could do it same way, but cook the rice and then take a can of like cream of mushroom soup or cream of chicken soup, and put a little bit of white wine in it.""","declarative","not available","nonum","change","change","nochange","A~B","different","generic","habitual",0.805555555555556,0.888888888888889,243,"no","no",7,"no",90,"7--90"
"166599:24","i'll just buy it somewhere else or not buy it at all.","declarative","not available","nonum","change","not available","change","A~B","different","non-generic","static",0.497368421052632,1,53,"no","yes",2,"no",147,"2--147"
"22485:34","""i usually ended snagging my, uh, fishing partners or the trees along the bank.""","declarative","not available","nonum","nochange","nochange","change","A~B","different","non-generic","habitual",0.547777777777778,0.555555555555556,80,"no","no",3,"no",120,"3--120"
"30887:42","""you know they're usually not, not that great or didn't do that great anyway.""","declarative","not available","nonum","change","nochange","change","A~B","same","generic","static",0.313333333333333,0.666666666666667,78,"no","no",8,"no",126,"8--126"
"102453:33","""do you usually go out, uh, with the children or without them.""","interrogative","not available","nonum","change","not available","change","A~B","different","non-generic","habitual",0.744444444444444,0.555555555555556,63,"no","no",6,"no",169,"6--169"
"4496:104","""now do you think that's because they've realized that for whole health, that, the, you know, you have to have that combination, or that people are motivated that way so that they've incorporated that into their program.""","interrogative","not available","nonum","nochange","nochange","change","A~B","different","generic","static",0.485555555555556,0.777777777777778,221,"no","no",3,"no",120,"3--120"
"39760:67","""and we have a share alike column in the paper, where people, you know, write in and share recipes or write in and say i'm looking for this recipe,""","declarative","not available","nonum","nochange","nochange","change","A~B","different","generic","habitual",0.294444444444444,0.888888888888889,148,"no","no",3,"no",120,"3--120"
"136406:56","""well, it, uh, depending on its moisture content, it either swells up or shrinks,""","declarative","not available","nonum","change","not available","change","A~B","different","non-generic","habitual",0.892222222222222,1,82,"yes","no",6,"no",169,"6--169"
"1214:60","""i put a stop to some of them as far as the door to door, either religious groups, or people peddling products.""","declarative","not available","nonum","change","change","change","A~B","same","non-generic","episodic",0.293333333333333,1,112,"yes","no",1,"no",113,"1--113"
"18011:37","""i don't know if he's still on any more or not,""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.655555555555556,0.666666666666667,48,"no","yes",2,"no",147,"2--147"
"52336:38","""i've, we've seen that two or three times.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.486666666666667,0.111111111111111,43,"no","no",5,"no",381,"5--381"
"112139:60","""and yet, i mean, did you ever in your life when you were little know anybody or hear anything of anything like this.""","interrogative","not available","nonum","change","nochange","change","A>B","same","non-generic","static",0.202222222222222,0.444444444444444,118,"no","no",4,"no",98,"4--98"
"120725:45","""they um, ours would still back up to the dog or cat when he got mad and try to perfume them,""","declarative","not available","nonum","change","change","nochange","A~B","different","non-generic","habitual",0.211111111111111,0.666666666666667,94,"no","no",7,"no",90,"7--90"
"14012:39","""you know, kids seem like when they get ten or twelve years old they fall out of that,""","declarative","relclause","num","change","not available","nochange","A~B","same","generic","static",0.517777777777778,0.666666666666667,87,"no","no",5,"no",381,"5--381"
"48372:46","""i don't know if that's a large percentage of, uh, crime or not""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.571111111111111,0.666666666666667,64,"no","yes",2,"no",147,"2--147"
"148624:46","""i, i took one class about, i guess three or four years ago""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","episodic",0.653333333333333,0.444444444444444,60,"no","no",5,"no",381,"5--381"
"139715:64","""it was al-, almost always at least one cat, sometimes, you know, like fifteen or twenty.""","declarative","not available","num","change","not available","nochange","A~B","same","expletive","habitual",0.493684210526316,0.947368421052632,90,"no","no",5,"no",381,"5--381"
"171214:55","""the trials are helda by a panel of three, uh, three or four judges who are,""","declarative","not available","num","change","not available","nochange","A~B","same","generic","habitual",0.316666666666667,0.666666666666667,77,"no","no",5,"no",381,"5--381"
"134333:22","we don't even have any concrete or asphalt.","declarative","negation","nonum","change","nochange","nochange","A~B","same","non-generic","static",0.611111111111111,0.555555555555556,43,"no","no",4,"no",98,"4--98"
"142727:53","""but a little bit from three, you know, from thirty million dollars or thirty-five mil-, that's a lot of money.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.556666666666667,0.666666666666667,112,"no","no",5,"no",381,"5--381"
"98714:63","""and, well, uh, since now i'm in my mid-forties, when i was in grad school or when i was an undergraduate growing up in a more rural area i thought, you know, crime was, was reasonably unknown and just the situation that's developed with the, the drug aspect of, uh uh, the pushers, the dealers and the addicts, uh,""","declarative","relclause","nonum","nochange","nochange","nochange","A~B","different","non-generic","static",0.442222222222222,0.555555555555556,316,"no","no",3,"no",120,"3--120"
"28388:46","""not only do i do p c type things like, uh, using lotus or word processors,""","declarative","not available","nonum","nochange","nochange","nochange","A~B","different","non-generic","habitual",0.326666666666667,0.777777777777778,76,"no","no",3,"no",120,"3--120"
"121641:28","i don't know if you know her or not.","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.531111111111111,0.444444444444444,36,"no","yes",2,"no",147,"2--147"
"63429:67","""well, does it cost money like to use the, to exercise in the weight room or to, uh, to tak-, to go swimming.""","interrogative","not available","nonum","nochange","change","change","A~B","different","expletive","static",0.455555555555556,0.666666666666667,110,"no","no",3,"no",120,"3--120"
"85982:21","""and i don't see any winners or losers,""","declarative","negation","nonum","change","not available","change","A~B","different","non-generic","static",0.633333333333333,0.666666666666667,40,"no","no",6,"no",169,"6--169"
"132029:43","""and there is a little bitty mall that looks kind of like, or, strip kind of center.""","declarative","not available","nonum","change","not available","change","A~B","same","expletive","static",0.444444444444444,0.111111111111111,85,"no","no",1,"no",113,"1--113"
"152800:99","""and you know it's, it's more like the news shows is now is now you know an entertainment show like a sitcom or like the news, because they would always have like the wonderful investigative reports, you know, is your kid's bus driver smoking crack, on the way to school, you know.""","declarative","not available","nonum","nochange","change","nochange","A~B","different","generic","static",0.418888888888889,0.777777777777778,282,"no","no",7,"no",90,"7--90"
"170320:16","they're in college or just out of college","declarative","not available","nonum","nochange","not available","nochange","A~B","same","non-generic","static",0.887777777777778,0.777777777777778,41,"no","no",5,"no",381,"5--381"
"51527:40","""and i want to say her daughter was like six or seven, right around first, second grade.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.511111111111111,0.666666666666667,89,"no","no",5,"yes",381,"5--381"
"132615:33","""now, i don't know if that's true or not,""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.582222222222222,0,42,"no","yes",2,"no",147,"2--147"
"52499:80","""i don-, i don't think our prison system isn't set up, where we, um, rehabilitate, or, you know, restore anybody.""","declarative","relclause","nonum","nochange","nochange","nochange","A<B","same","non-generic","static",0.436315789473684,0.631578947368421,114,"no","no",4,"no",98,"4--98"
"151776:116","""that's why your diesel engines have such high compression ratios as the, as the air is heated, you know, by virtue of the compression process to like one to nineteen or nineteen to one ratio""","declarative","not available","num","change","nochange","nochange","A~B","same","generic","static",0.778888888888889,0.888888888888889,192,"no","no",5,"no",381,"5--381"
"126359:33","no nine hundred numbers can be dialed from my phone or received.","declarative","negation","nonum","change","change","change","A~B","different","non-generic","static",0.411111111111111,0.444444444444444,64,"no","no",6,"no",169,"6--169"
"164711:79","""it gives you a whole different perspective on the news, uh, when you hear it from, say, a european point of view, or from the country of origin.""","declarative","relclause","nonum","nochange","not available","change","A~B","different","generic","static",0.352222222222222,0.666666666666667,146,"no","no",3,"no",120,"3--120"
"98980:76","""and so how do you relate as to whether this particular armed robbery was a, you know, worth five years or twenty-five.""","interrogative","wh","num","change","not available","nochange","A~B","different","non-generic","static",0.757777777777778,0.777777777777778,120,"no","no",5,"no",381,"5--381"
"67780:27","""and the dog was being house sit, or dog sit, whatever, by some friends of mine down the street,""","declarative","not available","nonum","change","change","nochange","A<B","same","non-generic","static",0.392105263157895,0.421052631578947,97,"no","no",1,"no",113,"1--113"
"176653:15","it was about four or five hundred square feet.","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.725555555555556,0.666666666666667,46,"no","no",5,"no",381,"5--381"
"93772:26","we were an hour away from the mountains or an hour away from the shore.","declarative","not available","nonum","nochange","change","nochange","A~B","different","non-generic","static",0.256666666666667,0.666666666666667,71,"no","no",7,"no",90,"7--90"
"165876:47","""and the majority of the incentive in recycling bottles probably, believe it or not, is just to get the extra nickel at the, uh, the store and not, uh,""","declarative","not available","nonum","change","not available","change","A~B","different","non-generic","static",0.581111111111111,0.333333333333333,152,"no","yes",2,"no",147,"2--147"
"9028:77","""and i'm not sure when a good time to plant those is, if they should be planted early or later.""","declarative","wh","nonum","change","change","nochange","A~B","different","non-generic","static",0.554444444444444,0.444444444444444,96,"no","no",7,"no",90,"7--90"
"20498:36","""that's what we're looking at, fifteen or maybe twenty.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.528888888888889,0.777777777777778,56,"no","no",5,"no",381,"5--381"
"65937:74","""why not an apprentice out to a, a company and learn from down on the bottom as a wood worker or, you know, just a technician.""","interrogative","wh","nonum","change","change","nochange","A>B","different","non-generic","static",0.578888888888889,1,127,"no","no",7,"no",90,"7--90"
"99369:72","""i, i don't think we should be spending timeb saying somebody's wearing torn clothing or wearing sh-, too shorts, too short""","declarative","not available","nonum","nochange","nochange","change","A~B","same","generic","static",0.412222222222222,0.444444444444444,124,"no","no",3,"no",120,"3--120"
"118989:29","""that must have been at least fifty years ago or more,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.394444444444444,0.222222222222222,55,"no","no",5,"no",381,"5--381"
"113966:144","""and finally our governor at the time which who is not in office now came in and said, okay, where we draw the line is no sex offenders will be let loose. under early bail, you know or early, uh get out.""","declarative","not available","nonum","nochange","change","nochange","A~B","same","generic","static",0.451111111111111,0.666666666666667,204,"no","no",1,"no",113,"1--113"
"62382:115","""there are people now that are obsolete point and fact just, just like endangered species of animals, so there are quote tribes of people, thatf are endangered or obsolete.""","declarative","relclause","nonum","change","nochange","change","A~B","same","expletive","static",0.413333333333333,0.888888888888889,173,"no","no",1,"no",113,"1--113"
"155051:35","""well, how to you handle that, the long range or medium range planning on finances.""","interrogative","wh","nonum","nochange","nochange","nochange","A~B","different","non-generic","habitual",0.305555555555556,0.888888888888889,84,"no","no",3,"no",120,"3--120"
"19349:75","""it's easy to believe that they were probably more forced into a pact than, uh, a volunteer or willingness to join.""","declarative","not available","nonum","nochange","change","nochange","A>B","same","non-generic","episodic",0.431111111111111,0.444444444444444,116,"no","no",4,"no",98,"4--98"
"110454:26","""and they're not, um, high strung or over bred um.""","declarative","negation","nonum","nochange","nochange","change","A~B","different","non-generic","static",0.273333333333333,0.555555555555556,51,"no","no",3,"no",120,"3--120"
"138235:84","""and i, i debate whether it's better to get a, uh, just a straight table saw or to get one of these, uh, rotary arm saws.""","declarative","wh","nonum","change","change","nochange","A~B","different","expletive","static",0.59,1,122,"no","no",7,"no",90,"7--90"
"14262:12","at one time or another i've taken them all for a year.","declarative","not available","nonum","change","not available","change","A~B","different","non-generic","habitual",0.243333333333333,0.555555555555556,54,"no","no",8,"no",126,"8--126"
"60492:50","""it's not fair to a pet to have a pet here, or certainly, certainly not a dog,""","declarative","not available","nonum","nochange","not available","change","A<B","same","expletive","static",0.381111111111111,0.111111111111111,79,"no","no",1,"no",113,"1--113"
"122984:94","""well, i know if they make the advances that they have been making, that, uh, maybe age will no longer, age or even physical, uh, abilities may not be, uh, a barrier anymore.""","declarative","relclause","nonum","nochange","nochange","change","A~B","different","non-generic","static",0.45,0.333333333333333,175,"no","no",3,"no",120,"3--120"
"128793:82","""and, uh, you have to be more flexible and more willing to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things.""","declarative","not available","nonum","nochange","change","change","A>B","same","generic","static",0.0488888888888889,0.666666666666667,141,"no","no",1,"no",113,"1--113"
"39615:30","""do you, do you garden or not.""","interrogative","not available","nonum","change","not available","change","A~B","different","non-generic","habitual",0.651111111111111,0.111111111111111,31,"no","yes",2,"no",147,"2--147"
"88038:32","you can't come in afterward and really be successful or economical at it.","declarative","not available","nonum","nochange","nochange","change","A>B","same","generic","static",0.342222222222222,0.555555555555556,73,"no","no",3,"no",120,"3--120"
"68507:73","""well wh-, do you think that, uh, consumer goods, goods are generally getting better, or worse in quality.""","interrogative","relclause","nonum","change","not available","change","A~B","different","generic","static",0.425555555555556,0.888888888888889,107,"no","no",6,"no",169,"6--169"
"153702:24","i guess i am about eight or nine.","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.604444444444444,0.444444444444444,33,"no","no",5,"no",381,"5--381"
"172264:108","""i mean, obviously, i do most of my, almost all of my report writing on, on my computer, uh, whether it's term papers or even some smaller homework assignments.""","declarative","wh","nonum","change","nochange","change","A~B","same","expletive","static",0.321111111111111,0.555555555555556,161,"no","no",8,"no",126,"8--126"
"110930:97","""we go from regular kind of spring clothes regular kind of fall clothes pregnant clothes, clothes that are in between where you're not down to regular size yet or you're on your way up from regular size""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.492222222222222,0.444444444444444,203,"no","no",2,"no",147,"2--147"
"49162:40","""they were expecting an influx of something on the order of fifty thousand people or more from the navy,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.528888888888889,0.444444444444444,105,"no","no",5,"no",381,"5--381"
"87247:31","""i do not know if you listen to him or not,""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","habitual",0.623333333333333,0.555555555555556,44,"no","yes",2,"no",147,"2--147"
"145844:39","go to work when i wanted to or not","declarative","relclause","nonum","change","not available","change","A~B","different","non-generic","habitual",0.667777777777778,0.444444444444444,34,"no","yes",2,"no",147,"2--147"
"72966:36","""do you know how to use them in your life or to influence,""","interrogative","wh","nonum","nochange","nochange","nochange","A<B","same","non-generic","static",0.416666666666667,0.333333333333333,59,"no","no",4,"no",98,"4--98"
"112221:46","""do you go like home cooking, like black-eyed pea and that kind of thing or cafeteria.""","interrogative","not available","nonum","change","nochange","change","A~B","different","non-generic","static",0.348888888888889,0.777777777777778,87,"no","no",8,"no",126,"8--126"
"114907:53","""but they never say who, who they're really working for or what, you know, what what, what questions are, you know,""","declarative","negation","nonum","nochange","nochange","change","A~B","different","non-generic","habitual",0.308888888888889,0.333333333333333,116,"no","no",3,"no",120,"3--120"
"22322:41","""but san antonio is considered a nice clean city, believe it or not.""","declarative","not available","nonum","change","not available","change","A~B","different","non-generic","static",0.5,0.333333333333333,69,"no","yes",2,"no",147,"2--147"
"81410:24","i've probably seen it about fifteen or twenty times.","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.551111111111111,0.555555555555556,52,"no","no",5,"no",381,"5--381"
"41388:23","""i think there was four or five different people, that would call, you know, some of them, if they didn't have their addresses and all on them,""","declarative","not available","num","change","not available","nochange","A~B","same","expletive","static",0.378888888888889,0.555555555555556,144,"no","no",5,"no",381,"5--381"
"120054:90","""there's just too many issues that come up that, uh, our senators and our congressmen vote on simply because it's a democratic issue or it's a republican issue""","declarative","relclause","nonum","change","change","change","A~B","different","non-generic","static",0.794444444444444,1,160,"no","no",6,"no",169,"6--169"
"56809:19","and no one could make heads or tails out of some of them","declarative","not available","nonum","change","change","change","A~B","different","generic","static",0.645555555555556,0.444444444444444,56,"no","no",6,"no",169,"6--169"
"162139:49","""uh, i've had, uh, i've had one or two american cars i think,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.337777777777778,0.666666666666667,62,"no","no",5,"no",381,"5--381"
"22715:55","""i've, i've caught them from, you know, three or four inches long up to, uh,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.65,0.777777777777778,77,"no","no",5,"no",381,"5--381"
"146409:30","""but it seems like there's only about four or five different ones,""","declarative","not available","num","change","not available","nochange","A~B","same","expletive","static",0.607777777777778,0.666666666666667,67,"no","no",5,"no",381,"5--381"
"2091:43","""we've set a budget for each, you know, household expenses, or food, and clothing and entertainment and then our, our own fun money and just stuff like that""","declarative","not available","nonum","change","change","change","A<B","same","non-generic","static",0.26,0.888888888888889,157,"no","no",1,"no",113,"1--113"
"14190:71","""so, i guess we have the, the same reaction whether we came about it from the same place or not.""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","episodic",0.534444444444444,0.666666666666667,97,"no","yes",2,"no",147,"2--147"
"48855:166","""uh, you know, it, it really irks me to see so much effort put into preventing someone being put to death by the state when they so callously and usually so, you know, withoutf even thinking or without any concern, uh, you know, end somebody else's life, and in a lot of cases several people's lives.""","declarative","relclause","nonum","nochange","nochange","nochange","A>B","same","generic","static",0.541111111111111,0.555555555555556,301,"no","no",4,"no",98,"4--98"
"134989:25","""i don't know if that took or not,""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","episodic",0.513333333333333,0.444444444444444,35,"no","yes",2,"no",147,"2--147"
"139294:19","""i was just probably three or four years,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.548888888888889,0.666666666666667,42,"no","no",5,"no",381,"5--381"
"31180:140","""and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about that was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what's happening up there, you know, type thing.""","declarative","relclause","nonum","nochange","nochange","nochange","A~B","same","non-generic","static",0.451111111111111,0.666666666666667,281,"no","no",3,"no",120,"3--120"
"44249:62","""i'm, i'm really wondering whether that's going it settle down or not,""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.531111111111111,0.555555555555556,71,"no","yes",2,"no",147,"2--147"
"103268:112","""but, uh, during the week they often have, a, a limited menu choice but, uh, very reasonable complete dinners for six ninety-nine that included the soup an-, or salad entrees and accompaniments and dessert""","declarative","negpredicate","nonum","change","change","nochange","A~B","different","non-generic","static",0.896666666666667,1,206,"no","no",7,"no",90,"7--90"
"105500:23","i guess i was seven or eight years old","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.597777777777778,0.222222222222222,38,"no","no",5,"no",381,"5--381"
"63575:56","""because all you end up doingf is if you're in business or you're in any kind of international,""","declarative","antecedent","nonum","change","nochange","nochange","A~B","same","generic","static",0.331111111111111,0.444444444444444,96,"no","no",4,"no",98,"4--98"
"92173:38","""have you, have you done this repetitively, or just once.""","interrogative","wh","num","change","not available","change","A~B","different","non-generic","static",0.713333333333333,0.444444444444444,58,"no","no",2,"no",147,"2--147"
"93477:34","""and then once, about once every three or four years i trya to get over to england, because i lived there for a while, some years back.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","habitual",0.48,0.444444444444444,136,"no","no",5,"no",381,"5--381"
"159867:30","""we have one of those use it or lose it plans, too, where, uh, they'll basically pay for, uh, you know, child care type, uh, expenses.""","declarative","not available","nonum","change","change","change","A~B","different","non-generic","static",0.276666666666667,0.555555555555556,135,"no","no",6,"no",169,"6--169"
"107022:8","""my budget or philosophy, i guess, is spend as little as possible.""","declarative","not available","nonum","nochange","nochange","nochange","A~B","same","non-generic","static",0.127777777777778,0.333333333333333,67,"no","no",3,"no",120,"3--120"
"31488:53","""because, um, there are, there must be people like you, or in other circumstances, that could come up with, with, uh, false positives for certain kind of drugs.""","declarative","not available","nonum","change","change","nochange","A~B","different","expletive","static",0.407777777777778,0.666666666666667,161,"no","no",7,"no",90,"7--90"
"886:75","""uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way to just hang up on it.""","declarative","relclause","num","change","not available","nochange","A~B","same","non-generic","habitual",0.594444444444444,0.666666666666667,199,"no","no",5,"no",381,"5--381"
"33161:98","""but, um, if it was more formal like if i was, you know, working environment then i would probably, um, sh-, shell'em or at least disconnect them from the head.""","declarative","not available","nonum","change","change","nochange","A>B","different","non-generic","static",0.552222222222222,0.666666666666667,161,"no","no",7,"no",90,"7--90"
"134876:74","""well, i took a lot of time in choosing this site because the, the house has no heating or air conditioning.""","declarative","not available","nonum","nochange","nochange","change","A~B","different","non-generic","static",0.408888888888889,0.555555555555556,109,"no","no",3,"no",120,"3--120"
"55769:54","""but usually, when i go into the hot tub before i go swimming, or when i come out, i'm totally relaxed when i go home.""","declarative","relclause","nonum","nochange","nochange","change","A~B","different","non-generic","habitual",0.304444444444444,0.444444444444444,119,"no","no",3,"no",120,"3--120"
"78284:18","i can watch washington news or baltimore news","declarative","not available","nonum","nochange","nochange","change","A~B","different","non-generic","static",0.427777777777778,1,45,"no","no",3,"no",120,"3--120"
"165157:25","they issued a recall because of improper shielding or possibly other problems with floppy drive.","declarative","not available","nonum","nochange","change","change","A>B","same","non-generic","episodic",0.374444444444444,0.777777777777778,96,"no","no",1,"no",113,"1--113"
"6353:63","""she said, now, do you all want him to go to a, a state college or a private college.""","declarative","not available","nonum","change","change","change","A~B","different","non-generic","static",0.744736842105263,0.736842105263158,86,"no","no",6,"no",169,"6--169"
"39859:31","""so, they made it to the sweet sixteen, once or twice, in their history,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","episodic",0.335555555555556,0.666666666666667,73,"no","no",5,"no",381,"5--381"
"137870:64","so the only thing i had to decide on was whether i wanted a c d or not in the stereo system","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.525263157894737,0.894736842105263,91,"no","yes",2,"no",147,"2--147"
"106806:20","""we would go down two or three hours on the weekends,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","habitual",0.56,0.666666666666667,54,"no","no",5,"no",381,"5--381"
"97501:39","""and i think every woman ought to deal with it or, ought to at least be exposed to it,""","declarative","not available","nonum","change","change","nochange","A>B","same","generic","static",0.293333333333333,0.777777777777778,87,"no","no",4,"no",98,"4--98"
"52509:46","""like the alcoholic that charges up all the bills on the credit card, or the shopaholic, you know you get your life right with god""","declarative","not available","nonum","change","nochange","change","A~B","different","generic","static",0.322222222222222,0.666666666666667,131,"no","no",8,"no",126,"8--126"
"13356:76","""and, and a lot of the buildings in downtown areas that, that either need demolishing, or need fixing up,""","declarative","relclause","nonum","change","change","change","A~B","same","non-generic","N/A",0.694444444444444,0.888888888888889,106,"yes","no",1,"no",113,"1--113"
"123608:48","i think they are supposed to put two in by either next year or the year after.","declarative","not available","nonum","change","not available","nochange","A~B","same","non-generic","static",0.782222222222222,1,78,"yes","no",5,"no",381,"5--381"
"165043:58","""the, the days of don't buy a car made on a monday or a friday are pretty much going away""","declarative","not available","nonum","change","change","change","A~B","same","non-generic","static",0.442222222222222,0.666666666666667,90,"no","no",1,"yes",113,"1--113"
"45615:59","""when, when we had our family dog growing up i was eleven or twelve, i think, when we first got him,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.604444444444444,0.444444444444444,101,"no","no",5,"no",381,"5--381"
"169514:73","""the, uh, governor, you know, has been trying to decide whether he's going to commute it or not.""","declarative","not available","nonum","change","not available","change","A~B","different","non-generic","static",0.77,0.777777777777778,97,"no","yes",2,"no",147,"2--147"
"8967:44","""if we have a problem with our connection and get disconnected some time or other, don't worry about it.""","declarative","antecedent","nonum","change","not available","change","A~B","same","non-generic","episodic",0.544444444444445,0.444444444444444,105,"no","no",1,"no",113,"1--113"
"77821:28","you don't have grandparents near by or aunts and uncles.","declarative","negation","nonum","change","nochange","change","A~B","different","non-generic","static",0.285555555555556,0.333333333333333,56,"no","no",8,"no",126,"8--126"
"139625:23","""put in garlic and onion powder or chopped onions if you want to do that, you know. what ever, however much effort you feel like putting into it.""","declarative","not available","nonum","change","change","nochange","A~B","same","generic","static",0.275555555555556,1,146,"no","no",1,"no",113,"1--113"
"118743:60","""and you know, we'll just have to wait and see whether that's approved or not.""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.568125,0.5,79,"no","yes",2,"no",147,"2--147"
"127555:91","""and no matter what the weather is they can walk at a pretty good clip and, and not have to worry about the weather summer or winter.""","declarative","not available","nonum","nochange","nochange","change","A~B","different","generic","static",0.488888888888889,0.666666666666667,134,"no","no",3,"no",120,"3--120"
