"comments","enjoyment","age","gender","education","language","fairprice","workerid","asses","speaker_cond"
"",2,35,"Female",3,"United States",1,366,"Yes","exp15"
"Thank you!",2,22,"Male",2,"english ",1,367,"Yes","exp15"
"any",2,26,"Male",3,"english",1,358,"Yes","exp15"
"",2,29,"Female",2,"english",1,368,"Yes","exp15"
"",1,32,"Female",3,"english",1,369,"Yes","exp15"
"Not really sure about several of the answers",2,56,"Male",4,"English",1,370,"Yes","exp15"
"good",1,36,"Female",1,"urdu",1,371,"Yes","exp15"
"NICE",2,31,"Male",3,"ENGLISH",1,372,"Yes","exp15"
"",1,35,"Male",3,"English",1,373,"No","exp15"
"",2,26,"Female",3,"english",1,374,"Yes","exp16"
"I wasn't sure on some of my answers. The statements weren't things I would categorize as true or false.",1,25,"Male",2,"English",1,375,"Yes","exp16"
"None",2,34,"Male",3,"English",1,376,"Yes","exp16"
"",1,35,"Female",3,"English",1,377,"Yes","exp16"
"",2,39,"Female",4,"english",1,378,"Yes","exp16"
"",2,45,"Male",2,"English",1,379,"Yes","exp16"
"",1,36,"Male",3,"english",0,380,"Yes","exp16"
"",2,30,"Male",4,"English",1,381,"Yes","exp16"
"good",2,28,"Female",3,"english",1,382,"Yes","exp16"
"good",0,50,"Female",1,"english",0,383,"No","exp16"
"That was definitely confusing due to the consistencies between red/blue",0,56,"Female",2,"English",1,384,"Confused","exp16"
"good",1,25,"Male",3,"English",1,385,"Yes","exp16"
"",1,24,"Male",2,"English",1,386,"Yes","exp16"
"None",1,30,"Female",3,"English",0,387,"Yes","exp16"
"",2,30,"Male",2,"English",1,388,"Yes","exp16"
"n/a",1,41,"Male",3,"English",1,389,"Yes","exp16"
"",1,29,"Male",3,"English",1,390,"Yes","exp16"
"",2,50,"Female",3,"english",1,391,"Yes","exp16"
"Great hit. Kind of repetitive with words like ""some"" and ""all"" so it makes it sort of hard to decide but not too major.",2,24,"Male",3,"English",1,392,"Yes","exp16"
"None",2,25,"Male",3,"English",0,393,"Yes","exp16"
"",1,50,"Female",0,"english",1,394,"Yes","exp16"
"",1,25,"Female",2,"English",0,395,"Yes","exp16"
"",1,23,"Male",3,"English",1,396,"No","exp16"
"Cool",2,24,"Female",2,"English",1,397,"Yes","exp16"
"",1,46,"Female",4,"English",1,398,"Yes","exp16"
"",1,29,"Female",4,"english",0,399,"Yes","exp17"
"Challenging, I hope I did it half way right.",2,57,"Female",3,"English",1,400,"Confused","exp17"
"Thank you. This was an enjoyable task.",2,36,"Female",2,"English",1,401,"Yes","exp17"
"Everything worked as expected. I enjoyed myself. Thanks!",2,27,"Male",3,"English",1,402,"Yes","exp17"
"A bit confusing due to weird conversations and wording but worthwhile for the payment. Thank you.",2,25,"Male",3,"English",1,403,"Yes","exp17"
"",2,37,"Female",3,"English",1,404,"Yes","exp17"
"",1,66,"Male",3,"english",1,405,"Yes","exp17"
"",2,35,"Female",3,"United States",1,406,"Yes","exp17"
"",2,31,"Female",3,"english",1,407,"Yes","exp17"
"",2,35,"Female",3,"United States",1,406,"Yes","exp17"
"",1,41,"Male",2,"English",1,408,"Yes","exp17"
"Great hit! I feel like I understood after a while. ",2,19,"Male",2,"English  ",1,409,"Yes","exp17"
"n/a",1,24,"Female",2,"hmong",1,410,"Yes","exp17"
"This was very difficult.  I found the example questions much easier because we got to say ""true/false."" In isolation, the ""does the speaker know"" is tough.  For instance, there was one that was clearly false, and I believe the speaker knew the blue sentence was clearly false.  So I made the slider to ""definitely mnows."" Was that right?  It felt uncomfortable because I knew the statement itself was false
",2,38,"Male",4,"English",1,411,"Confused","exp17"
"No clue if I did it right, sorry. I tried though. Too low timer.",0,29,"Male",2,"English",0,412,"Confused","exp17"
"",1,44,"Male",3,"english",1,413,"Yes","exp17"
"",1,34,"Female",3,"English",0,414,"Yes","exp17"
"none",2,25,"Male",3,"English",1,415,"Yes","exp17"
"",1,25,"Male",3,"english",0,416,"Yes","exp17"
"The wording in the conversations was a bit confusing/garbled but I was able to ascertain what they were talking about. ",1,37,"Female",4,"English",1,417,"Yes","exp17"
"On the last page there literally was no blue statement. Not sure what I was supposed to do there. ",1,41,"Male",1,"English",0,418,"Yes","exp17"
"",1,25,"Male",3,"English",1,419,"Yes","exp17"
"",1,25,"Male",2,"English",0,420,"Yes","exp17"
"",1,35,"Female",3,"english",1,421,"Yes","exp17"
"directions were confusing",1,39,"Female",2,"english",1,422,"Confused","exp17"
"",2,35,"Male",3,"English",1,423,"Yes","exp18"
"Different type survey,I enjoyed doing it",2,64,"Male",2,"English ",1,424,"No","exp18"
"",1,55,"Male",3,"English",1,425,"Yes","exp18"
"",2,23,"Female",3,"English",1,426,"Yes","exp18"
"",1,40,"Male",3,"English",1,427,"Yes","exp18"
"",1,35,"Male",3,"English",0,428,"Yes","exp18"
"",1,49,"Female",4,"Hindi",1,429,"Yes","exp18"
"This was much better than a lot of the tasks on here, thank you!",2,27,"Male",2,"english",1,430,"Yes","exp18"
"Thank you",1,45,"Male",2,"english",1,431,"Yes","exp18"
"In the conversations, they were a little confusing bc some sentences didnt even make any sense. You might need to take out the ahs, and uh, and mmm, and the weird lettering s- or a- to make it a little clearer. besides that it was fairly easy
",2,35,"Female",1,"english",1,432,"Yes","exp18"
"",2,28,"Female",2,"english",1,433,"Yes","exp18"
"",2,40,"Female",3,"english",1,434,"Yes","exp18"
"",1,36,"Female",3,"MALAYALAM",1,435,"Yes","exp18"
"It was interesting. Thank you",1,30,"Female",3,"English",1,436,"Yes","exp18"
"None",2,36,"Male",2,"English ",1,437,"Yes","exp18"
"",1,25,"Female",3,"english",1,438,"Yes","exp18"
"",2,35,"Female",3,"United States",1,439,"Yes","exp18"
"",1,36,"Female",3,"English",1,440,"Yes","exp18"
"NO COMMENT
",0,35,"Male",3,"Estados Unidos",0,441,"Yes","exp18"
"It was tough to decide on a lot of the sentences because while they didn't necessarily sound weird if someone were to say them out loud, they were odd to consider as literal statements.",1,36,"Male",3,"English",1,442,"Yes","exp18"
"Sometimes confusing and subjective, thanks!",1,55,"Male",2,"English",1,443,"Yes","exp18"
"",2,50,"Male",3,"English",0,444,"Yes","exp18"
"excellent",2,26,"Male",3,"english",1,445,"Yes","exp18"
"",1,30,"Female",3,"English",1,446,"Yes","exp18"
"Gimme more i tried my best and really enjoyed it.",1,21,"Male",1,"english",1,447,"Yes","exp18"
"",2,35,"Female",3,"United States",1,448,"Yes","exp19"
"",2,27,"Male",3,"English",1,449,"Yes","exp19"
"good",2,NA,"",3,"English ",1,450,"","exp19"
"",2,42,"Female",2,"English",1,451,"Yes","exp19"
"It wasn't always straight forward as to what could be known, for example in one of the examples, the statement was made to the effect that someone hadn't been to class all week.  The blue statement was that the person hadn't been to school that day.  In my mind, you can miss a class but still be in school that day, but the tutorial said the blue statement was true (I disagree for the class vs. school reason).  There was ambiguity in other situations - made this a hard HIT to take",0,63,"Male",3,"English",1,452,"Yes","exp19"
"",2,37,"Female",2,"English",1,453,"Yes","exp19"
"",2,23,"Female",2,"English",1,454,"Yes","exp19"
"good",2,28,"Male",3,"Texas",0,455,"","exp19"
"",1,35,"Male",3,"english",1,456,"Yes","exp19"
"",1,39,"Female",3,"english",1,457,"Confused","exp19"
"None",2,37,"Male",3,"English",1,458,"","exp19"
"",1,37,"Female",2,"English",1,459,"Yes","exp19"
"",2,28,"Female",3,"English",1,460,"No","exp19"
"",1,26,"Male",3,"English",1,461,"Yes","exp19"
"",1,32,"Male",2,"English",0,462,"Yes","exp19"
"It was amazing survey and useful. ",1,21,"Male",2,"English ",1,463,"","exp19"
"It takes a minute to read each statement, and you have to answer which makes the hit well over 30 minutes, not 15 and thus it's underpaid.  The example and practice round was completely different than the actual study, so I forgot about the ALL or SOME for the first  two questsions, the differences in the sentences was also not bolded or underlined, finally one sentence was missing a blue sentence.  I look forward to trying the next one. Thanks.  Hope this was helpful. ",2,35,"Female",4,"english",0,464,"Yes","exp19"
"",1,61,"Female",2,"English",1,465,"Confused","exp19"
"The last one was missing a blue sentence",1,40,"Male",3,"English",1,466,"Yes","exp19"
"",2,29,"Female",2,"English",1,467,"Yes","exp19"
"One of the blue sentences didn't show up for me so I just put the slider in the middle",1,25,"Female",4,"Englsih",1,468,"Yes","exp19"
"conversation is good",2,28,"Male",2,"English",1,469,"Yes","exp19"
"The grammar on the second part was so horrible it was almost impossible to participate in this survey. One example didn't even have a blue sentence. ",1,21,"Female",2,"English",1,470,"Yes","exp19"
"",1,31,"Female",3,"english",1,471,"Yes","exp19"
"",1,36,"Male",3,"english",1,472,"Yes","exp19"
"great study",1,254,"Male",1,"english",1,473,"Yes","exp20"
"good",2,28,"Male",3,"English",1,474,"Yes","exp20"
"",2,31,"Female",1,"english",1,475,"Yes","exp20"
"",2,28,"Male",3,"England",1,476,"Yes","exp20"
"Thank you!",1,43,"Male",4,"English",1,477,"Yes","exp20"
"good",2,28,"Male",3,"English",1,478,"Yes","exp20"
"",1,46,"Female",2,"english",1,479,"Yes","exp20"
"Good Work",2,25,"Male",3,"English",1,480,"Yes","exp20"
"No comments.",1,29,"Male",3,"United States",1,481,"Yes","exp20"
"",2,40,"Female",3,"English",0,482,"Yes","exp20"
"I tried my best.",0,31,"Male",3,"English",1,483,"Yes","exp20"
"",1,24,"Male",2,"",1,484,"Yes","exp20"
"This was an interesting study",2,46,"Female",3,"Turkish",1,485,"Yes","exp20"
"",1,26,"Female",3,"English",1,486,"Yes","exp20"
NA,2,35,"Female",2,"English",1,487,"Yes","exp20"
"I believe that I did the hit correctly, but some sentences were confusing.",2,38,"Female",2,"English",1,488,"Yes","exp20"
"",1,33,"Male",3,"English",1,489,"Yes","exp20"
"",2,28,"Female",3,"English",1,490,"Yes","exp20"
"",2,50,"Female",4,"English",1,491,"Yes","exp20"
"",1,39,"Female",3,"English",1,492,"Yes","exp20"
"",1,42,"Male",3,"English",0,493,"Yes","exp20"
"",1,23,"Male",2,"english",0,494,"Yes","exp20"
"",1,59,"Male",3,"English",1,495,"Confused","exp20"
"I think the directions weren't super clear up front -- I had to reread them a few times and I did what I believed the HIT was asking me to do given the wording.",1,31,"Male",3,"English",1,496,"Yes","exp20"
"",1,24,"Male",2,"English",1,497,"Yes","exp20"
"",2,30,"Male",4,"English",1,498,"Yes","exp21"
"some of the sentences were hard to decipher ",1,29,"Female",3,"english",1,499,"Yes","exp21"
"The sentences were a little weird, but it was really no problem to complete.",1,28,"Male",2,"English",1,500,"Yes","exp21"
"Some of the questions or sentences were confusing to me, but what was most confusing was determining if a speaker new or did not know if something was correct when barely any of the whole conversations were hard to understand. ",2,41,"Male",3,"English",1,501,"Confused","exp21"
"Everything worked fine. Some of these transcripts were a little difficult to understand.",2,40,"Male",2,"English",1,502,"Yes","exp21"
"",1,44,"Male",2,"American English",1,503,"Yes","exp21"
"",2,35,"Male",4,"English",0,504,"Yes","exp21"
"some of the conversations didn'y make much sense to me",2,66,"Female",4,"English",0,505,"Yes","exp21"
"",1,31,"Female",3,"English",1,506,"Yes","exp21"
"",2,35,"Male",2,"English",1,507,"Yes","exp21"
"good",1,31,"Male",3,"English",0,508,"Yes","exp21"
"It was hard to read the sentences because of all the ums and uhs and all that.",0,50,"Female",1,"English",1,509,"Yes","exp21"
"",2,43,"Male",2,"English",0,510,"Yes","exp21"
"Thanks for a fair paying hit.",1,32,"Male",3,"english",1,511,"Yes","exp21"
"A lot of the conversations don't make sense.",1,71,"Female",1,"English",1,512,"Confused","exp21"
"Thank you",1,26,"Female",2,"enhlish",1,513,"Yes","exp21"
"I was confused in the beginning, if the speaker knows something was false, then he knows if it is true. I'm not sure I did the first few correct, from the middle on I think I was doing them right. ",1,43,"Male",3,"English",0,514,"Confused","exp21"
"Good ",2,28,"Male",3,"English",1,515,"Yes","exp21"
"",1,24,"Female",2,"English",1,516,"Yes","exp21"
"",2,29,"Female",2,"English",1,517,"Yes","exp21"
"",1,24,"Male",3,"English",1,518,"Yes","exp21"
"i did the best I could to pick up the written cues in the dialogue as transcribed. It's a little trickier without hearing inflections or seeing facial mannerisms.",2,46,"Male",3,"English",1,519,"Yes","exp21"
"It was hard to comprehend some of the conversations due to the spelling errors and language.  I had to take my time and read it slowly.  ",1,54,"Female",3,"English",1,520,"Yes","exp21"
"",1,33,"Female",2,"englsi",0,521,"Yes","exp21"
"Good work",2,25,"Male",3,"English",1,522,"Yes","exp21"
"N/A",1,35,"Female",4,"ENGLISH",1,523,"Yes","exp22"
"",1,34,"Female",3,"English",1,524,"Yes","exp22"
"",1,37,"Female",2,"English",1,525,"Yes","exp22"
"I think the instructions and practice could have both been better. I felt like in the beginning of the actual task, I was still learning what to do. ",0,38,"Female",2,"English",0,526,"Yes","exp22"
"I was confused on most of the sentences because it was hard to fully understand it.  I completed the HIT to the best of my ability, but to be honest I was certainly confused.",2,23,"Male",3,"English",1,527,"Confused","exp22"
"I did try, but am really unsure if I completed it correctly",0,49,"Female",1,"United States",1,528,"Confused","exp22"
"to be honest, reading some of the lines of text hurt my head in a sense of ""do people really talk like this"". But it was an enjoyable hit nonetheless...",2,34,"Male",2,"English",1,529,"Yes","exp22"
"I enjoyed completing this hit.",2,33,"Male",3,"English",1,530,"Yes","exp22"
"",1,29,"Female",3,"English",1,531,"Yes","exp22"
"fun survey",2,25,"Female",3,"English",1,532,"Yes","exp22"
"",1,24,"Male",3,"English",1,533,"Yes","exp22"
"The written English was terrible. ",1,57,"Male",3,"English",1,534,"Confused","exp22"
"hope to see a bonus with this! loved it.",1,23,"Other",2,"English",0,535,"Yes","exp22"
"Some of these are kind of mind-bending. I'm one of those weirdos who likes thinking hard about puzzling things!",2,65,"Female",3,"English",1,536,"Yes","exp22"
"",1,25,"Female",2,"English",1,537,"Yes","exp22"
"I'm sorry, I had trouble following some of these conversations. The spelling errors and weird text type format was hard to follow sometimes. I tried though! ",1,30,"Female",2,"English",1,538,"Confused","exp22"
"",1,43,"Female",4,"english",1,539,"Yes","exp22"
"any",2,26,"Male",3,"english",1,540,"Yes","exp22"
"nil",1,34,"Female",3,"English",1,541,"Yes","exp22"
"",1,22,"Female",2,"English",0,542,"Yes","exp22"
NA,1,43,"Female",2,"English",1,543,"Yes","exp22"
"",1,34,"Female",3,"English",1,544,"Yes","exp22"
"Some of the sentences got a little strange since it was transcribed from conversation.",1,35,"Male",3,"English",1,545,"Yes","exp22"
"I was a little confused, but based on the directions and the examples, I am pretty sure that I did the hit correctly",1,35,"Female",3,"english",1,546,"Confused","exp22"
"",1,32,"Male",1,"English",0,547,"Yes","exp22"
"thanks",2,28,"Female",2,"englishj",1,548,"Yes","exp23"
"",1,41,"Female",3,"Tagalog",1,549,"Yes","exp23"
"There were a couple conversations that were missing the blue sentence.  I rated those 2 in the middle because I had to  go on to the next one.",2,61,"Female",3,"English",1,550,"Yes","exp23"
"One of the good survey I have ever done.",2,26,"Female",3,"English",1,551,"Yes","exp23"
"",1,26,"Female",3,"English",1,552,"Yes","exp23"
"I'm not good at the ums and uhs cause I was taught very harshly not to talk like that ad some of the blue text were missing ",1,35,"Female",2,"United States",1,553,"Confused","exp23"
"",1,26,"Female",2,"English",1,554,"Yes","exp23"
"Some blue sentences were missing",1,22,"Male",2,"English",1,555,"Yes","exp23"
"",1,43,"Female",3,"English",1,556,"Yes","exp23"
"good",1,25,"Male",3,"ENGLISH",0,557,"Yes","exp23"
"",0,39,"Female",4,"english",0,558,"Yes","exp23"
"Some of the questions did not have blue text. Overall, it was very confusing to understand some aspects of what I was doing. ",2,23,"Female",3,"English",1,559,"Confused","exp23"
"I read the directions thoroughly but I think the nature of the task was just inherently confusing.  ",1,23,"Female",3,"English",1,560,"Confused","exp23"
"",2,36,"Male",3,"english",1,561,"No","exp23"
"",1,30,"Female",3,"English",1,562,"Yes","exp23"
"",1,57,"Female",2,"English",1,563,"Yes","exp23"
"very interesting",2,28,"Male",3,"english",0,564,"Yes","exp23"
"I had a hard time figuring out what they experimenters were seeking. ",1,28,"Male",3,"Polish",1,565,"Confused","exp23"
"",1,32,"Female",2,"Canada",1,566,"Yes","exp23"
"",0,29,"Male",3,"English",0,567,"Confused","exp23"
"",1,36,"Male",3,"English ",1,568,"Yes","exp23"
"2 of the conversations did not have a blue sentence to refer to, this is the first HIT where I encountered this.",2,24,"Male",3,"English",1,569,"Yes","exp23"
"I had a hard time with this one because so hard to know and the two acid rain questions didn't have a blue sentence so I wasn't sure if I did those right.",1,55,"Female",4,"English",1,570,"Confused","exp23"
"This survey is very interesting.",1,38,"Male",3,"English",0,571,"No","exp23"
"One question did not provide a blue sentence. I clicked it sounded strange and put the slider as close to the middle as possible. Hope you see it.",1,29,"Male",4,"English",1,572,"Yes","exp23"
"",2,51,"Male",3,"English",1,573,"Yes","exp24"
"",2,40,"Female",3,"ENGLISH",1,574,"Yes","exp24"
"very nice task",-1,28,"Male",3,"English",1,575,"Yes","exp24"
"I am not sure I understood how the question was worded.",1,25,"Male",2,"English",1,576,"Confused","exp24"
"",2,38,"Female",3,"Korean",0,577,"Yes","exp24"
"Thank you for the work. I would probably increase the pay by 50%. This HIT took 15 minutes, and at $1.80, that's $7.20/hour. My state minimum wage is $10.75/hour. Thank you for reading. ",1,50,"Female",3,"English",0,578,"Yes","exp24"
"Halfway through, one of the blue sentences was only a "".""(period). Also, itmight be clearer if the question was wether the blue sentence is true or false(veracity).",2,48,"Male",2,"English",1,579,"Yes","exp24"
"",1,27,"Male",3,"english",1,580,"Yes","exp24"
"It was too tedious for the pay.",1,22,"Male",2,"English",0,581,"Yes","exp24"
"nice",2,34,"Male",2,"englsh",0,582,"Yes","exp24"
"good",1,23,"Male",2,"english",0,583,"Yes","exp24"
"Thank you for the opportunity! ",1,43,"Female",3,"English",1,584,"Yes","exp24"
"Thank you for inviting me to participate.",1,40,"Male",1,"English",1,585,"Yes","exp24"
"",1,36,"Female",1,"english",1,586,"Yes","exp24"
"This was very interesting.",2,35,"Male",2,"United States",1,587,"Yes","exp24"
"I was a bit confused; I hope I did it right.",2,41,"Male",2,"English",0,588,"Yes","exp24"
"This study is good for learning",2,25,"Male",3,"English",1,589,"Yes","exp24"
"",0,22,"Male",2,"English",1,590,"Yes","exp24"
"NICE",1,36,"Male",3,"ENGLISH",0,591,"Yes","exp24"
"",1,27,"Female",2,"English",1,592,"Yes","exp24"
"",2,26,"Female",3,"English",1,593,"Yes","exp24"
"The ""umms"" ""uhhs"" in the text made it difficult to follow at times.  One of the questions didn't have a blue sentence.",1,35,"Female",4,"english",1,594,"Yes","exp24"
"",2,39,"Male",3,"english",1,595,"Yes","exp24"
"",2,58,"Male",3,"english",1,596,"Yes","exp24"
"good survey",2,28,"Male",3,"",1,597,"Yes","exp24"
"",2,26,"Male",1,"English",1,598,"Yes","exp25"
"I enjoyed this hit. Most of it seemed pretty straight-forward",2,33,"Female",1,"English",1,599,"Yes","exp25"
"I liked it, some of the conversations didn't make much sense though.",2,20,"Male",1,"English",1,600,"Yes","exp25"
"some of the grammar was difficult to understand with a lot of ""um"" in there. ",1,39,"Male",4,"English",1,601,"Yes","exp25"
"fun!",2,31,"Female",1,"english",1,602,"Yes","exp25"
"NONE",2,40,"Female",3,"ENGLISH ",1,603,"Yes","exp25"
"",2,39,"Female",3,"english",0,604,"Yes","exp25"
"none.",2,34,"Male",3,"english",1,605,"Yes","exp25"
"",2,35,"Female",3,"United States",1,606,"Yes","exp25"
"good",1,35,"Male",2,"ENGLISH",0,607,"","exp25"
"n/a",1,55,"Female",1,"English",1,608,"Yes","exp25"
"I hope my answers help your study!
A little confusing, but I think I got them answered.",1,61,"Male",1,"English",1,609,"Yes","exp25"
"",2,36,"Male",2,"English",1,610,"Yes","exp25"
"I did get a little confused on a switch between speaker 1 and speaker 2 and if speaker 2 was always supposed to be the right one.",1,44,"Female",2,"English",1,611,"Confused","exp25"
"N/A",2,38,"Male",2,"english",1,612,"","exp25"
"The wording on all of the questions was really weird. They also seemed like it produced the same answers because all of the red was a ""some"" sentence,and all of the blue was a ""all"" sentence.",1,28,"Female",3,"english",1,613,"Yes","exp25"
"fun",2,43,"Female",3,"english",1,614,"Yes","exp25"
"",1,25,"Male",3,"English",1,615,"Yes","exp25"
"good",1,23,"Male",2,"english",0,616,"","exp25"
"",1,28,"Male",3,"english",0,617,"Yes","exp25"
"",0,33,"Female",2,"english",0,618,"Yes","exp25"
"I felt somewhat confused because of my ADHD. Sorry.",1,31,"Male",0,"english",1,619,"Yes","exp25"
"",1,74,"Female",2,"United States",1,620,"Confused","exp25"
"any",2,26,"Male",3,"english",1,621,"Yes","exp25"
"Nothing further.",2,47,"Female",3,"English",1,622,"Yes","exp25"
"",-1,58,"Female",1,"English",1,623,"Yes","exp26"
"",1,32,"Male",3,"English",1,624,"Yes","exp26"
"",2,52,"Male",2,"English",1,625,"Yes","exp26"
"Well, I thought I understood everythign when I did the practice part, but the actual stories were much more difficult and harder to understand. The wording really threw me off a lot of the time. I am hesitant to submit in fear of rejection, however, I think I did it mostly right so I will submit. If there is something I could do better to avoid a rejection please email me and let me know. I would be happy to take the HIT again. I am always very careful and want to do HITS correctly. I want to assure you I did my best and you can use my information/data for your study. I hope it helps. Thank you. ",0,33,"Female",3,"english",1,626,"Confused","exp26"
"",1,29,"Female",1,"English",1,627,"Yes","exp26"
"Have a nice day!",1,27,"Male",2,"English",1,628,"Yes","exp26"
"",1,29,"Female",3,"English",1,629,"Yes","exp26"
"good study",2,26,"Female",3,"english",1,630,"Yes","exp26"
"It was hard to understand the conversations with the uh uh uhs  Thank you for allowing me to participate",1,49,"Female",1,"English",1,631,"Yes","exp26"
"",1,31,"Female",2,"English",1,632,"Yes","exp26"
"I enjoyed it and feel i performed correctly ",2,36,"Male",2,"English",1,633,"Yes","exp26"
"hard to keep my thinking in line with the way the questions are worded and all the strange language.",2,38,"Male",2,"English",1,634,"Yes","exp26"
"Conversations were all over the place. Made the HIT confusing.",0,36,"Male",3,"English",0,635,"Confused","exp26"
"",2,36,"Male",1,"english",1,636,"Yes","exp26"
"",2,37,"Female",3,"Telugu,English",1,637,"Yes","exp26"
"im not sure i got it right",1,44,"Male",1,"English",1,638,"Confused","exp26"
"",1,43,"Female",3,"English",1,639,"Confused","exp26"
"",1,22,"Female",2,"english",1,640,"Yes","exp26"
"",1,21,"Female",2,"English",1,641,"Yes","exp26"
"",2,45,"Male",4,"English",1,642,"Yes","exp26"
"very good",0,25,"Female",3,"",0,643,"No","exp26"
"nonr",1,38,"Male",4,"English",1,644,"Yes","exp26"
"",1,38,"Female",3,"English",1,645,"Yes","exp26"
"",-1,NA,"",-1,"",-1,646,"","exp26"
"",1,20,"Male",2,"English",1,647,"No","exp26"
"Nice Task and thanks for the Opportunity",2,28,"Female",4,"English",1,648,"Yes","exp27"
"",1,29,"Female",4,"English",1,649,"Yes","exp27"
"I would not mind doing more of these",2,30,"Male",3,"English",1,650,"Yes","exp27"
"very interesting experiment ",2,39,"Female",3,"English ",1,651,"Yes","exp27"
"Please, give me a chance if I ever messed up some of the queries, this is my first time doing this HIT, thank you for the fair pay.",2,35,"Male",3,"English",1,652,"Yes","exp27"
"",1,25,"Male",3,"English",1,653,"Yes","exp27"
"",1,26,"Male",3,"English",1,654,"Yes","exp27"
"Good work",-1,NA,"Male",3,"",1,655,"Yes","exp27"
"NO",2,35,"Male",4,"english",1,656,"","exp27"
"no",2,34,"Female",1,"english",1,657,"","exp27"
"",1,48,"Female",1,"United States",1,658,"Yes","exp27"
"I was a little confused for the first few questions of the real hit, but I think I figured it out and did it correctly. ",1,26,"Female",3,"English",1,659,"Yes","exp27"
"NICE",1,27,"Male",0,"ENGLISH",0,660,"Yes","exp27"
"Most of these transcript lines were painful to read. Little to no grammar and punctuation. And many of the sentences were barely coherent.",2,33,"Male",3,"English",1,661,"Yes","exp27"
"",1,42,"Male",3,"english",1,662,"Yes","exp27"
"Great experiment!",1,30,"Male",2,"English",1,663,"Yes","exp27"
"Good intelligent work",2,25,"Male",3,"English",1,655,"Yes","exp27"
"",1,35,"Male",3,"English",1,664,"Yes","exp27"
"It's very good i learned so many goods.",2,27,"Female",4,"English",1,665,"","exp27"
"no comments",1,33,"Male",3,"English",1,666,"Yes","exp27"
"very nice good and very much in the study and good experiment",2,28,"Male",3,"English",1,667,"Yes","exp27"
"",1,31,"Male",1,"English",1,668,"Confused","exp27"
"The sentences should be in better English.",1,32,"Female",3,"English",1,669,"Yes","exp27"
"",0,70,"Female",2,"English",0,670,"Confused","exp27"
"Good",2,28,"Female",3,"English",1,671,"Yes","exp27"
"Good luck with your study.",2,49,"Male",3,"English",1,672,"Yes","exp27"
"",1,22,"Male",3,"english",1,673,"Yes","exp27"
"no",2,27,"Male",1,"english",1,674,"Yes","exp27"
"",1,26,"Male",2,"English",1,675,"Yes","exp27"
"",1,37,"Male",3,"english",1,676,"Yes","exp27"
"I thought this was an interesting challenge but some of the questions really got to me in terms of what constituted ""truth"". It was an enjoyable challenge, though, and the pay is amazing, so thank you very much!!",2,30,"Male",3,"English",1,677,"Yes","exp27"
"none",2,33,"Male",2,"English",1,678,"Yes","exp27"
"Thanks.",0,35,"Male",1,"English",0,679,"Yes","exp27"
"Thanks for the opportunity.",1,45,"Female",4,"English",1,680,"Yes","exp27"
"Many of the statements were hard to understand. Proper punctuation and editing out the stutters and stammers would really have helped a lot",0,55,"Male",0,"English",1,681,"Yes","exp27"
"",1,36,"Female",3,"english",0,682,"Yes","exp27"
"excellent estudy",2,26,"Male",3,"26",1,683,"Yes","exp27"
"nice",2,37,"Male",3,"english",0,684,"Yes","exp27"
"very good ",1,31,"Male",3,"English",1,685,"Yes","exp27"
"",0,31,"Female",2,"english",1,686,"Yes","exp27"
"",2,24,"Female",3,"english",1,687,"Yes","exp27"
"Good work",2,25,"Male",3,"English",1,655,"Yes","exp27"
"",2,49,"Female",1,"English",1,688,"Yes","exp27"
"interesting",2,27,"Male",2,"English",1,689,"Yes","exp28"
"any",2,26,"Female",3,"english",1,690,"Yes","exp28"
"I had some trouble figuring out what the people were saying in these conversations.  ",2,47,"Male",4,"English",1,691,"Yes","exp28"
"I think it would be helpful to have examples with answers and explanations provided with the examples.",1,24,"Female",2,"English",1,692,"Confused","exp28"
"",2,28,"Male",3,"English",1,693,"Yes","exp28"
"",1,27,"Male",2,"English",1,694,"Yes","exp28"
"I tried the example questions but was still pretty confused during the task. I did my absolute best though.",1,28,"Male",0,"English",1,695,"Confused","exp28"
"",2,34,"Female",2,"english",1,696,"Yes","exp28"
"none",2,29,"Male",4,"English",1,697,"Yes","exp28"
"fun survey",2,25,"Female",3,"English",1,698,"Yes","exp28"
"I am not sure if this was the point, but a lot of the sentences were weird sounding, and a but confusing. ",1,27,"Male",3,"English",1,699,"Yes","exp28"
"",2,38,"Male",4,"United States",1,700,"Yes","exp28"
"",1,47,"Male",2,"English",1,701,"Yes","exp28"
"none",2,28,"Male",3,"English",1,702,"Yes","exp28"
"I think the question of do you think the speaker knows its true is extremely vague and leads to some answers that are hard to determine",1,39,"Male",3,"English",1,703,"Confused","exp28"
"",2,26,"Male",3,"english",0,704,"Yes","exp28"
"excellent estudy",2,26,"Male",3,"english",1,690,"Yes","exp28"
"Good survey",2,27,"Male",3,"English",1,705,"Yes","exp28"
"",0,22,"Female",3,"English",1,706,"Confused","exp28"
"n/a",2,35,"Female",0,"English",1,707,"Yes","exp28"
"I believe I did it correctly but it was slightly confusing maybe ",1,35,"Male",3,"English",1,708,"Yes","exp28"
"",1,39,"Female",3,"english",1,709,"Confused","exp28"
"good study thanks",1,69,"Male",2,"english",1,710,"Confused","exp28"
"excellent estudy",2,26,"Male",3,"english",1,690,"Yes","exp28"
"Thank you! I enjoyed reading the conversations and determining whether or not the speaker knew for certain whether the statement was true or not.",2,40,"Male",2,"English",1,711,"Yes","exp28"
