tgrep.id,entire.sentence,,Most difficult when comparing clauses or things that didn't fit the same type. Also determining if certain adjective noun pairs were units sometimes made it difficult to know if nouns or adjectives were being compared. ,,Use,Notes,,,"for closest verb that wraps ///OR/// then categorize past, present, future"
170320:16,they're in college ///OR/// just out of college,AP,,,,,,,
51527:40,"and i want to say her daughter was like six ///OR/// seven, right around first, second grade.",Num,,,,,,,
132615:33,"now, i don't know if that's true ///OR/// not,",OrNot,,,,,,,
52499:80,"i don-, i don't think our prison system isn't set up, where we, um, rehabilitate, or, you know, restore anybody.",VP,,,,,,,
151776:116,"that's why your diesel engines have such high compression ratios as the, as the air is heated, you know, by virtue of the compression process to like one to nineteen ///OR/// nineteen to one ratio",Num,,,,,,,
126359:33,no nine hundred numbers can be dialed from my phone ///OR/// received.,VP,,,,,,,
164711:79,"it gives you a whole different perspective on the news, uh, when you hear it from, say, a european point of view, ///OR/// from the country of origin.",NP,,,,,,,
98980:76,"and so how do you relate as to whether this particular armed robbery was a, you know, worth five years ///OR/// twenty-five.",Num,,,,,,,
67780:27,"and the dog was being house sit, ///OR/// dog sit, whatever, by some friends of mine down the street,",VP,,,,,,,
176653:15,it was about four ///OR/// five hundred square feet.,Num,,,,,,,
93772:26,we were an hour away from the mountains ///OR/// an hour away from the shore.,NP,,,,,,,
165876:47,"and the majority of the incentive in recycling bottles probably, believe it ///OR/// not, is just to get the extra nickel at the, uh, the store and not, uh,",OrNot,,,,,,,
9028:77,"and i'm not sure when a good time to plant those is, if they should be planted early ///OR/// later.",Adv,,,,,,,
20498:36,"that's what we're looking at, fifteen ///OR/// maybe twenty.",Num,,,,,,,
65937:74,"why not an apprentice out to a, a company and learn from down on the bottom as a wood worker or, you know, just a technician.",NP,,,,,,,
99369:72,"i, i don't think we should be spending timeb saying somebody's wearing torn clothing ///OR/// wearing sh-, too shorts, too short",NP,,,,,,,
118989:29,"that must have been at least fifty years ago ///OR/// more,",Num,,,,,,,
113966:144,"and finally our governor at the time which who is not in office now came in and said, okay, where we draw the line is no sex offenders will be let loose. under early bail, you know ///OR/// early, uh get out.",NP,,,,,,,
62382:115,"there are people now that are obsolete point and fact just, just like endangered species of animals, so there are quote tribes of people, thatf are endangered ///OR/// obsolete.",AP,,,,,,,
155051:35,"well, how to you handle that, the long range ///OR/// medium range planning on finances.",AP,,,,,,,
19349:75,"it's easy to believe that they were probably more forced into a pact than, uh, a volunteer ///OR/// willingness to join.",NP,,,,,,,
110454:26,"and they're not, um, high strung ///OR/// over bred um.",AP,,,,,,,
138235:84,"and i, i debate whether it's better to get a, uh, just a straight table saw ///OR/// to get one of these, uh, rotary arm saws.",NP,,,,,,,
14262:12,at one time ///OR/// another i've taken them all for a year.,NP,,,,,,,
60492:50,"it's not fair to a pet to have a pet here, ///OR/// certainly, certainly not a dog,",N,,,,,,,
122984:94,"well, i know if they make the advances that they have been making, that, uh, maybe age will no longer, age ///OR/// even physical, uh, abilities may not be, uh, a barrier anymore.",NP,,,,,,,
128793:82,"and, uh, you have to be more flexible and more willing to, uh, uh, adjust to other people's mannerisms and customs ///OR/// ways of doing things.",NP,,,,,,,
39615:30,"do you, do you garden ///OR/// not.",OrNot,,,,,,,
88038:32,you can't come in afterward and really be successful ///OR/// economical at it.,AP,,,,,,,
68507:73,"well wh-, do you think that, uh, consumer goods, goods are generally getting better, ///OR/// worse in quality.",Adv,,,,,,,
153702:24,i guess i am about eight ///OR/// nine.,Num,,,,,,,
172264:108,"i mean, obviously, i do most of my, almost all of my report writing on, on my computer, uh, whether it's term papers ///OR/// even some smaller homework assignments.",NP,,,,,,,
110930:97,"we go from regular kind of spring clothes regular kind of fall clothes pregnant clothes, clothes that are in between where you're not down to regular size yet ///OR/// you're on your way up from regular size",VP,,,,,,,
49162:40,"they were expecting an influx of something on the order of fifty thousand people ///OR/// more from the navy,",Num,,,,,,,
87247:31,"i do not know if you listen to him ///OR/// not,",OrNot,,,,,,,
145844:39,go to work when i wanted to ///OR/// not,OrNot,,,,,,,
72966:36,"do you know how to use them in your life ///OR/// to influence,",VP,,,,,,,
112221:46,"do you go like home cooking, like black-eyed pea and that kind of thing ///OR/// cafeteria.",N,,,,,,,
114907:53,"but they never say who, who they're really working for ///OR/// what, you know, what what, what questions are, you know,",NP,,,,,,,
22322:41,"but san antonio is considered a nice clean city, believe it ///OR/// not.",OrNot,,,,,,,
81410:24,i've probably seen it about fifteen ///OR/// twenty times.,Num,,,,,,,
41388:23,"i think there was four ///OR/// five different people, that would call, you know, some of them, if they didn't have their addresses and all on them,",Num,,,,,,,
120054:90,"there's just too many issues that come up that, uh, our senators and our congressmen vote on simply because it's a democratic issue ///OR/// it's a republican issue",AP,,,,,,,
56809:19,and no one could make heads ///OR/// tails out of some of them,N,,,,,,,
162139:49,"uh, i've had, uh, i've had one ///OR/// two american cars i think,",Num,,,,,,,
22715:55,"i've, i've caught them from, you know, three ///OR/// four inches long up to, uh,",Num,,,,,,,
146409:30,"but it seems like there's only about four ///OR/// five different ones,",Num,,,,,,,
2091:43,"we've set a budget for each, you know, household expenses, ///OR/// food, and clothing and entertainment and then our, our own fun money and just stuff like that",NP,,,,,,,
14190:71,"so, i guess we have the, the same reaction whether we came about it from the same place ///OR/// not.",OrNot,,,,,,,
48855:166,"uh, you know, it, it really irks me to see so much effort put into preventing someone being put to death by the state when they so callously and usually so, you know, withoutf even thinking ///OR/// without any concern, uh, you know, end somebody else's life, and in a lot of cases several people's lives.",Mismatch,,,,,,,
134989:25,"i don't know if that took ///OR/// not,",OrNot,,,,,,,
139294:19,"i was just probably three ///OR/// four years,",Num,,,,,,,
31180:140,"and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about that was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what's happening up there, you know, type thing.",VP,,,,,,,
44249:62,"i'm, i'm really wondering whether that's going it settle down ///OR/// not,",OrNot,,,,,,,
103268:112,"but, uh, during the week they often have, a, a limited menu choice but, uh, very reasonable complete dinners for six ninety-nine that included the soup an-, ///OR/// salad entrees and accompaniments and dessert",AP,,,,,,,
105500:23,i guess i was seven ///OR/// eight years old,Num,,,,,,,
63575:56,"because all you end up doingf is if you're in business ///OR/// you're in any kind of international,",NP,,,,,,,
92173:38,"have you, have you done this repetitively, ///OR/// just once.",Num,,,,,,,
93477:34,"and then once, about once every three ///OR/// four years i trya to get over to england, because i lived there for a while, some years back.",Num,,,,,,,
159867:30,"we have one of those use it ///OR/// lose it plans, too, where, uh, they'll basically pay for, uh, you know, child care type, uh, expenses.",VP,,,,,,,
107022:8,"my budget ///OR/// philosophy, i guess, is spend as little as possible.",N,,,,,,,
31488:53,"because, um, there are, there must be people like you, ///OR/// in other circumstances, that could come up with, with, uh, false positives for certain kind of drugs.",Mismatch,,,,,,,
886:75,"uh, and at the same time i think that i receive on, on the order of, uh, probably, seven ///OR/// eight a week calls of the nature where one wishes that there were a convenient way to just hang up on it.",Num,,,,,,,
33161:98,"but, um, if it was more formal like if i was, you know, working environment then i would probably, um, sh-, shell'em ///OR/// at least disconnect them from the head.",VP,,,,,,,
134876:74,"well, i took a lot of time in choosing this site because the, the house has no heating ///OR/// air conditioning.",NP,,,,,,,
55769:54,"but usually, when i go into the hot tub before i go swimming, ///OR/// when i come out, i'm totally relaxed when i go home.",VP,,,,,,,
78284:18,i can watch washington news ///OR/// baltimore news,AP,,,,,,,
165157:25,they issued a recall because of improper shielding ///OR/// possibly other problems with floppy drive.,NP,,,,,,,
6353:63,"she said, now, do you all want him to go to a, a state college ///OR/// a private college.",AP,,,,,,,
39859:31,"so, they made it to the sweet sixteen, once ///OR/// twice, in their history,",Num,,,,,,,
137870:64,so the only thing i had to decide on was whether i wanted a c d ///OR/// not in the stereo system,OrNot,,,,,,,
106806:20,"we would go down two ///OR/// three hours on the weekends,",Num,,,,,,,
97501:39,"and i think every woman ought to deal with it or, ought to at least be exposed to it,",VP,,,,,,,
52509:46,"like the alcoholic that charges up all the bills on the credit card, ///OR/// the shopaholic, you know you get your life right with god",N,,,,,,,
13356:76,"and, and a lot of the buildings in downtown areas that, that either need demolishing, ///OR/// need fixing up,",VP,,,,,,,
123608:48,i think they are supposed to put two in by either next year ///OR/// the year after.,NP,,,,,,,
165043:58,"the, the days of don't buy a car made on a monday ///OR/// a friday are pretty much going away",N,,,,,,,
45615:59,"when, when we had our family dog growing up i was eleven ///OR/// twelve, i think, when we first got him,",Num,,,,,,,
169514:73,"the, uh, governor, you know, has been trying to decide whether he's going to commute it ///OR/// not.",OrNot,,,,,,,
8967:44,"if we have a problem with our connection and get disconnected some time ///OR/// other, don't worry about it.",AP,,,,,,,
77821:28,you don't have grandparents near by ///OR/// aunts and uncles.,NP,,,,,,,
139625:23,"put in garlic and onion powder ///OR/// chopped onions if you want to do that, you know. what ever, however much effort you feel like putting into it.",NP,,,,,,,
118743:60,"and you know, we'll just have to wait and see whether that's approved ///OR/// not.",OrNot,,,,,,,
127555:91,"and no matter what the weather is they can walk at a pretty good clip and, and not have to worry about the weather summer ///OR/// winter.",N,,,,,,,
104118:18,"his middle name is chris, ///OR/// christopher for for her daddy,",N,,,,,,,
24733:51,and you got to divide it two different categories whether you live in the city ///OR/// whether you live in a more rural place like i do.,NP,,,,,,,
56045:26,should these people be allowed to ///OR/// not.,OrNot,,,,,,,
49242:55,"like most areas that are built, um, there were probably, like two ///OR/// three styles you could choose from.",Num,,,,,,,
104287:70,"and, um, i don't, i don't know if he's really serious about it yet ///OR/// not, you know,",OrNot,,,,,,,
70072:47,and i think we got the same thing in the forecast for the next two ///OR/// three days.,Num,,,,,,,
55955:33,"it might not be the same neighborhood, but the same city ///OR/// county, because then you're, you're coming in contact with it.",N,,,,,,,
77801:170,"and you want to be avail-, at least i've wanted to be available, when they, for some reason, they had, they were bouncing something off of me. because it was something that was bothering them ///OR/// they were concerned about,",Sentence,,,,,,,
68546:11,so either you ///OR/// your husband can be warm,NP,,,,,,,
89756:75,"i don't remember if he said it was sixty dollars a square foot, off the creek and eighty on the creek, or, if it was eighty and a hundred.",Num,,,,,,,
78681:73,"and he, uh, would like to just get a fifth wheel and just travel across the country and spend a month here ///OR/// a couple of weeks there, and just, you know, not, be settled anywhere,",Adv,,,,,,,
36524:73,"and they said that they had ex-, that the one they had exercised with was three ///OR/// four times easier.",Num,,,,,,,
25614:31,and you can just mosey on out for three ///OR/// four hours and have a good time.,Num,,,,,,,
124597:121,"and it's just incredible to think that there's, uh, there are players who are the sons of ball players that used to play against nolan ///OR/// with nolan, you know,",PP,,,,,,,
103194:59,"my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, ///OR/// tuesday night",Adv,,,,,,,
153770:93,"you know, it's like what can you do with that, that you can't do in a self protection situation with like a seven ///OR/// a twenty shot twelve.",Num,,,,,,,
151896:22,"so we go backpacking fifteen ///OR/// twenty miles,",Num,,,,,,,
8525:52,"so, uh, what happens is you pay six hundred dollars at the beginning ///OR/// even before school starts.",Adv,,,,,,,
64760:20,whenever they say it two ///OR/// three times.,Num,,,,,,,
46424:21,"like you take asian countries, or, uh, the eastern countries where women are like in the foreground, uh, in the background and the men are in the foregrounde,",AP,,,,,,,
94497:68,"and this has been going on at least, uh, i would say, at least twenty-five years ///OR/// thirty, something like that.",Num,,,,,,,
55117:40,"uh, i'm figuring either one either the eagles ///OR/// possibly san francisco",NP,,,,,,,
80682:39,and i'm thinking about maybe sponge painting them. either that ///OR/// maybe rag rolling. to give it kind of a country look.,VP,,,,,,,
63983:38,"but the cost is, is like, double ///OR/// sometimes triple, what the regular things you, fertilizers and things you buyf.",Num,,,,,,,
157597:36,"and we do sit down at the beginning of every month ///OR/// the end of every month and write down how much we know we're going to spend and set that money aside,",N,,,,,,,
96977:21,but i probably talked to seven ///OR/// eight people.,Num,,,,,,,
6291:93,"i, i, fr-, you know, i, i debate about whether it's really good ///OR/// not, you know.",OrNot,,,,,,,
92707:24,so i like things like golden girls ///OR/// cheers,NP,,,,,,,
57817:48,"so i guess i've done probably, uh, i'd say seven ///OR/// eight of them.",Num,,,,,,,
41788:38,"so i was always fighting against the idea of looking tailored ///OR/// manish,",AP,,,,,,,
126314:48,"well, i either, teeing off i either slice it ///OR/// i hook it ever single time",VP,,,,,,,
125651:119,"um, some of the qualifications that i look for was that, uh, you know, the cost, and, um, exactly what they did, if it was structured ///OR/// nonstructured, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were, and if the place was clean and um, the hours",AP,,,,,,,
18012:53,"i don-, i don't know if i get e s p n ///OR/// not.",OrNot,,,,,,,
48874:116,"and, you know, i could go along with that, if, if i could be assured that it would be their natural life in jail and not parole after ten, ///OR/// twelve years.",Num,,,,,,,
1036:63,"and i guess that turns out to be the basic problem with any invasion of privacy is whether ///OR/// not you're feeling, threatened as a result of, of it",OrNot,,,,,,,
75697:37,"and since that time everybody's got some sort of burglar system or, you know, uh, burglar alarms uh, and including the out, uh, the outer perimeter type, uh, devices, sensors and things like that.",NP,,,,,,,
152813:245,"also, also i have the observation of, uh, with the press is that, like any any stories that i had any first hand knowledge of that i see in the press, you know, which only happened like ten times in my life you know first thing you know for anything of you know ///OR/// anything that actually had, had more than just a blurb about it. that the press has managed to just mess up some aspect of the story",NP,,,,,,,
27966:70,"there was not, there's not supposed to be any reason to use this education ///OR/// this brain that you might have for anything other than your house and your children and how clean can the bathroom floors be on any given day.",N,,,,,,,
37097:119,"but i, i just don't think they have the resources, if you were to compare, uh, the americans to the soviets as far as home computers are concerned ///OR/// fact machines, fax machines and cellular phones, and state of the art equipment that we are so used to.",NP,,,,,,,
164864:140,"and the, the problem with that is then, then, then people will either, the rich people will either pull their kids out of the public school and put them in private schools ///OR/// they'll move farther away to get better schools.",VP,,,,,,,
137234:56,"this summer we went to, uh, the smokey mountain national park. and, uh, stayed about three ///OR/// four days in there.",Num,,,,,,,
73050:45,"especially, you know, if you catch yourself short on cash ///OR/// if you're on vacation, it's just easier to put everything on a card.",VP,,,,,,,
30197:23,it would average out to thirty-five ///OR/// forty dollars a night whichb is a reasonable rate.,Num,,,,,,,
137591:36,"they've won, like, i think six ///OR/// seven in a row now,",Num,,,,,,,
6625:69,"i, i, i guess, in my own, having had the whole three ///OR/// four minutes to, you know, give it a great deal of thought, you know, um, i, i think i agree with you one hundred percent about it being some sort of voluntary,",Num,,,,,,,
46988:18,"i got off my pace ///OR/// my cordless phone,",NP,,,,,,,
97004:55,"because, uh, i, i guess i placed all but one ///OR/// two of my calls. and, uh, only because i going to make some money,",Num,,,,,,,
6194:35,"so. i don't know if you participate in that ///OR/// not,",OrNot,,,,,,,
150670:77,"well, i remember back during the, uh, during the war, everyone here at work always had the radio ///OR/// the t v on, because that, they were going constantly with that stuff.",N,,,,,,,
29159:97,"and, uh, i talked to a thirteen year old last night who's, uh, goes to, uh, one of the plano high schools ///OR/// junior highs, i guess,",NP,,,,,,,
56988:61,"perhaps that would be a solution if they were required to vote at least for their first three ///OR/// four years after they become of voting age. required to register and vote for four years,",Num,,,,,,,
10846:33,i wonder how truthful all of that was ///OR/// whether there was fiction.,Sentence,,,,,,,
176508:24,i think it takes about three ///OR/// four times before it gets easy.,Num,,,,,,,
86950:15,"but, the legal person ///OR/// lawful person should not be penalized because there is the criminal element.",AP,,,,,,,
102464:49,sometimes i think we pay the baby-sitter as much as paying for their dinner ///OR/// lunches,N,,,,,,,
150048:18,i've had two ///OR/// three of those go out.,Num,,,,,,,
72175:60,"i'm, i guess i probably put on about ten, nine ///OR/// ten pounds, since i stoppedb playing, whiche was about four years ago.",Num,,,,,,,
143964:138,"i think if it's, uh, if it's a con-, if it's a convicted, uh, felon on parole uh, and he goes out and, and commits another crime ///OR/// kills somebody, i, you know, i, i feel the same way,",VP,,,,,,,
25323:87,"um, one of the remarkable things about the weather in the summertime here is that quite often the average daytime high of say ninety-nine degrees is within five ///OR/// six degrees of the all time record high.",Num,,,,,,,
105461:58,"it wasn't like the newer ones that have nice chambers that keep it afloat ///OR/// keep it, uh, upright again.",AP,,,,,,,
46782:51,"i mean it looks, i guess, kind of like, uh, the chevy aerostar ///OR/// arrow,",N,,,,,,,
54761:52,"it was on one of the networks, i think last weekend. uh, ///OR/// two weeks ago.",Adv,,,,,,,
4682:83,"but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things.",NP,,,,,,,
13665:45,i couldn't remember in tigon had purchased g t e --s phone mail services ///OR/// if g t e had purchased tigon.,VP,,,,,,,
120770:23,and he had it for about three ///OR/// four years where we just about had to lift him and carry him every place he went.,Num,,,,,,,
29361:19,they will have maybe two ///OR/// three main stories and just spend a very large amount of time.,Num,,,,,,,
54841:46,"do you go by the adsf when you look at thema, ///OR/// the reviews.",N,,,,,,,
149373:37,"you know, i saw something on c n n ///OR/// on cable here a while ago that showed some people that had rabbits in apartments and in houses,",NP,,,,,,,
157431:41,i'm not going to work any harder and make any more ///OR/// create any more jobs.,VP,,,,,,,
162444:31,"uh, d c around here stands for drug capital ///OR/// death capital.",AP,,,,,,,
150122:69,"uh, i would say the medical, uh, group insurance area as far as, uh, covering medical costs for yourself ///OR/// family members.",NP,,,,,,,
145001:59,"but there's still a, an, an inequality in the work forces ///OR/// jobs.",NP,,,,,,,
72563:57,"for some reason it seems to interest me, like people that make a big comeback or, you know, orel hershiser, things like that.",NP,,,,,,,
19308:17,will there be a union ///OR/// not.,OrNot,,,,,,,
165055:25,but then again you look at a ford ///OR/// especially a chevy,NP,,,,,,,
133415:190,"um, i'm not really, uh, sure that i even understand why the administration is proposing, for instance, tax reductions, because it seems to me that if, if, if they're talking about reducing, uh, the tax that needse to be paid, ///OR/// the tax that's currently being paid, then that can't, it seems to me it can't possibly, you know, help with the, the deficit picture.",VP,,,,,,,
150405:11,but now bench ///OR/// step aerobics have kind of taken over.,NP,,,,,,,
24757:57,"even a bad school is a good school up here, where, if i lived in new york city ///OR/// washington, d c, uh, i would seriously consider moving if i had a child.",NP,,,,,,,
166635:51,"but, uh, i don't know if that's been challengedb in the courts ///OR/// not.",OrNot,,,,,,,
129837:27,"and just depending on whether you say yes ///OR/// no, uh, you, you can give him capital punishment",Adv,,,,,,,
97709:59,"and i will probably be going back to work around january, whereas she will be about, eight ///OR/// nine months old.",Num,,,,,,,
105245:83,"but, the other thing that i thought of on this is, i wonder if there isn't enough money, uh, in our economy ///OR/// in our system.",N,,,,,,,
97699:27,"and she's just started that like yesterday ///OR/// the day before,",NP,,,,,,,
47298:37,"and then the nights are reasonably warm, you know, sixties ///OR/// seventies.",Num,,,,,,,
30178:66,"and whe-, when i finally got over there, it had fallen, uh, two ///OR/// three francs to the dollar.",Num,,,,,,,
129876:44,"i mean, i don't know whether i'd stay in prison ///OR/// not",OrNot,,,,,,,
169940:25,"there's nothing, maybe a picture ///OR/// two that belongs to that person",Num,,,,,,,
153470:46,"so, we are on a schedule where i try every, uh, three ///OR/// four years to, to buy a new one.",Num,,,,,,,
145555:164,"if you've got a pretty good rating, uh, credit rating you can call your in-, you know, your, your card, wherever you got your card from and tell them, hey, either drop my rates ///OR/// drop my, you know, uh annual fees",NP,,,,,,,
80247:17,"was it for health, or, to look good.",PP,,,,,,,
56013:64,"there definitely would have to be a major p r campaign in each community, each county, uh, parish ///OR/// however the state was divided up.",NP,,,,,,,
137750:18,there is only about five ///OR/// six options.,Num,,,,,,,
83258:73,"when i have heard about england's elections, they are allowed to run for what, a total of six ///OR/// eight weeks. even for the higher offices in the, in the land.",Num,,,,,,,
26907:20,did you teach in all subjects ///OR/// in all grade levels,NP,,,,,,,
170713:59,"do you know anyone that, uh, is, is in a nursing home ///OR/// has ever been in one.",VP,,,,,,,
72352:13,"believe it ///OR/// not though the, all the women that stay home are real busy when they are home.",OrNot,,,,,,,
76508:96,"they seem to be burdening the school system more and more with problems, any problems that a child might have, whether it's actually a school related thing ///OR/// not",OrNot,,,,,,,
150350:31,"do you do, uh, any anaerobic type, weight lifting ///OR/// weight training type exercise.",VP,,,,,,,
140027:33,"i guess we didn't have it high enough ///OR/// he didn't get hit in just the right spot,",Sentence,,,,,,,
121188:35,it's what they've done in the spring ///OR/// the fall.,N,,,,,,,
14253:43,"i wondered if it would help you sometimes fill in the gaps ///OR/// recognize discrepancies that other people, people like myself might not pick up on.",VP,,,,,,,
162718:32,"it was always my impression that the justice himself, ///OR/// herself, had the final say.",N,,,,,,,
86874:94,"but, you know, any kind of handgun at all, if it will fit in a handgun and a rifle you would still have to buy it, ///OR/// sign up for it,",VP,,,,,,,
62367:43,"but say, i think bangladesh would have been a good example ///OR/// some, some really desperate situation",NP,,,,,,,
76731:61,"and, so, i mean, you have to find out whether there's a legitimate reason, ///OR/// whether this is a warning signal.",NP,,,,,,,
66023:36,"it was like only, it was either sixty percent ///OR/// forty percent, go to college.",Num,,,,,,,
91263:36,but i think you can get a good education at public ///OR/// private,AP,,,,,,,
74049:29,"he used to go back twice ///OR/// three times a year, you know, because he missed it.",Num,,,,,,,
145063:39,and hers was the only income we had for three ///OR/// four months,Num,,,,,,,
131692:34,"they'd leave work and go to a golf course, ///OR/// a little country club they belonged to back in richmond, virginia and just, uh, play nine holes of golf.",NP,,,,,,,
27828:55,"our generation was, uh, so in tuned to music of that time that we identify goodness ///OR/// badness with, uh, things now with the music that's behinds them.",N,,,,,,,
124658:85,"it's hard to put the finger on, uh, what's worse, you know, the acid rain situation ///OR/// the ozone depletion, um, with, uh, your hydrocarbons, uh causing the damage in which,",NP,,,,,,,
152640:26,"and when you send it to washington ///OR/// send it to your state capitol, uh, a lot of it stays there",NP,,,,,,,
45877:58,"because e-, everything, i mean anything that tom landry wanted ///OR/// had, he was going to change it.",VP,,,,,,,
35519:24,"oh, i'm thinking around twenty ///OR/// twenty-five dollars.",Num,,,,,,,
152622:62,"uh, my, my opinion of taxes is that we just send money to washington ///OR/// to the state and they say they are going to send some back,",NP,,,,,,,
161207:19,"because somebody has a child or, uh, likes children doesn't really mean that they're qualified to give the child the kind of supervision and training that that, uh,",VP,,,,,,,
92652:59,"it looks like, it looks like it might be one of these seven ///OR/// eight year run things. where you kind of can spend your whole career on one show.",Num,,,,,,,
128817:104,"i, i'd also advise them that, uh, if mom and dad paid for their college, that, uh, if they decided to drop a course ///OR/// decided that they need another year, then they'd have to get a loan to continue.",VP,,,,,,,
70908:13,our first fifteen years ///OR/// eighteen years of being married nothing worked.,Num,,,,,,,
46142:88,"it was right close to when we was going to find out if we was going to get to be in the playoffs, ///OR/// not.",OrNot,,,,,,,
68972:52,"i, you know, go to cleveland to see them play, the indians ///OR/// the red sox,",NP,,,,,,,
138388:14,"she was four, ///OR/// three,",Num,,,,,,,
95915:62,"and you sometimes wonder when these people protest so much whether they're really concerned about their rights, ///OR/// whether they're really concerned about something else.",NP,,,,,,,
7017:103,"well the, the other thing some people are not aware of, is they will use their a, their credit card like their visa ///OR/// their mastercard for cash",NP,,,,,,,
170776:46,"if, if you can take care of yourself at all ///OR/// have someone that can take care of you, then you stay where you aref.",VP,,,,,,,
46012:28,"i can't remember whether we played three ///OR/// four quarterbacks,",Num,,,,,,,
76530:72,"uh, and you can't expect in a classroom for a particular course an hour a day to counteract, uh, sixteen ///OR/// seventeen years of influence at home.",Num,,,,,,,
34104:22,you can make it either tight ///OR/// as loose as loose can get.,AP,,,,,,,
142117:49,"and i even had, uh, i guess it wasf last year ///OR/// the year before, i had some out",AP,,,,,,,
62411:39,and i don't think you could have done it fifty ///OR/// a hundred years ago either.,Num,,,,,,,
75196:18,"she woke up about three ///OR/// four o'clock in the morning, water dripping from hers.",Num,,,,,,,
95254:54,"and i couldn't just, you know, wait for eight, three ///OR/// four months and then bring them back to her",Num,,,,,,,
42766:91,"because i started shooting, my dad started letting me shoot like a little air b b gun, when i was probably five ///OR/// six years old.",Num,,,,,,,
55759:30,i think i have gone home maybe once ///OR/// twice slightly sore.,Num,,,,,,,
129330:26,"but, unemployment now in dallas, ///OR/// in texas is up around six point,",N,,,,,,,
20453:61,"and it will, if have you a thirty year note, it will take like seven ///OR/// plus years off of your note.",Num,,,,,,,
123090:99,"i think, uh, it's in everyone's nature to some degree to want to get out and explore something they haven't, ///OR/// experience something, you know, indifferent.",VP,,,,,,,
362:41,"that's just a matter of defining priorities, i guess ///OR/// some priorities anyway.",NP,,,,,,,
8347:26,and they're good for about five years ///OR/// four years,Num,,,,,,,
175450:86,"and, and, but of course most time, most of the time management has a hard time distributing ///OR/// getting the word out to the people who must know.",VP,,,,,,,
52656:78,"and, and go ahead and get the punishment phase out of the way, because it doesn't do the criminal ///OR/// the victim's family, r-, r-, any of us, the taxpayer any good to have him sitting around for months and years.",NP,,,,,,,
14292:63,"um, and it's one of those that i can ei-, read either an article ///OR/// a couple of pages of those brief excerpts in the time frame that i'm going to spend in there.",NP,,,,,,,
164667:49,"and it's just sort of a, you know, four ///OR/// five pages that covers what's going on in plano.",Num,,,,,,,
132821:30,"but, uh, it'll go up to fifty ///OR/// sixty almost.",Num,,,,,,,
122735:37,and the other schools were built back in maybe the fifties ///OR/// early sixties,,,,,,,,
123672:38,"somebody said, you know, you're either a stranger ///OR/// a fool to try to predict texas weather,",,,,,,,,
4799:38,and they're still let out on the street after one ///OR/// two years.,,,,,,,,
71717:36,i don't know if you have had that problem there ///OR/// not.,,,,,,,,
24807:72,or if you're going to go the science route you can go to a target school that specializes in science ///OR/// art.,,,,,,,,
34018:36,"uh, my gun hasn't been shotf in a year ///OR/// two.",,,,,,,,
9412:60,"it's, it's not, not that it's just hot ///OR/// dry,",,,,,,,,
139019:32,"it's not as humid. as houston, say, ///OR/// atlanta,",,,,,,,,
154689:23,i only do it probably two ///OR/// three times a week.,,,,,,,,
17758:53,"i haven't decided whether, whether i want to play yet ///OR/// not",,,,,,,,
86671:25,"actually i paid about either a thousand dollars ///OR/// a little bit,",,,,,,,,
50680:36,"what do you think about the, uh, peace corps ///OR/// public service commitment.",,,,,,,,
173549:65,"of course, if he's fallen in love with drugs and there isn't anything but getting stoned ///OR/// high is, is the only thing in life that seems to be meaningful, then maybe there is no hope.",,,,,,,,
152368:30,"you probably have a better team, uh, cooperation, ///OR/// team playing, atmosphere.",,,,,,,,
102220:49,"that sounds like not as recent social changes, too, like back to the sixties ///OR/// fifties, i guess.",,,,,,,,
84467:25,and is sold as purple buddy ///OR/// sometimes sold as straw flower.,,,,,,,,
79690:66,"but now i think there are tests that can be conducted, uh, to tell whether ///OR/// not the puppies have the, have it.",,,,,,,,
143084:47,"like, would you go over and spend a lot of time in one place, ///OR/// travel to whole bunch of different places in one week.",,,,,,,,
1147:55,have you ever gotten one of those calls that is either generated by a computer ///OR/// somebody going down a list,,,,,,,,
1200:36,"but if they're going to offer these services, ///OR/// these recorded message, everything, they ought to be stuck working with the phone book like everybody else instead of using a computer to go through and just go down every sequence of numbers for this certain area code and call them.",,,,,,,,
39230:62,"but with little ones, i'd be kind of scared, to get anything that has teeth ///OR/// claws.",,,,,,,,
102655:14,"uh, a waitress ///OR/// waiter that waits the table, it's nice that they're attentive",,,,,,,,
57886:97,"i-, it frustrates him because of the support that they have and the support that the vietnam vets did not have, from the people ///OR/// the administration, either one.",,,,,,,,
93263:156,"i, i wonder how, how you instill in people the necessity for doing just a little bit extra to, to make this whole thing work. i mean, the extra like washing out bottles and jars, ///OR/// the extra of actually, uh, making sure that, uh, you take stuff over to, you know,",,,,,,,,
31292:58,"and i keep thinking, you know, gifted is, is einstein or, you know, uh, musical prodigies.",,,,,,,,
99475:12,i visited once ///OR/// twice.,,,,,,,,
57956:30,"uh, you know whether it was justified ///OR/// not, i know, that they probably felt like we were going in for a good cause.",,,,,,,,
170074:84,"and it, that i, i don't know if i ever went as far as three months ///OR/// not i-, i-, in keeping that kind of data.",,,,,,,,
