tgrep.id,entire.sentence,Mood,Tense,Voice,Negation,Notes,Question,,Disjuncts,
110454:26,"and they're not, um, high strung or over bred um.",,,,,,,,ADJ,
138235:84,"and i, i debate whether it's better to get a, uh, just a straight table saw or to get one of these, uh, rotary arm saws.",,,,,,,,ADJ,
14262:12,at one time or another i've taken them all for a year.,,,,,,,,N,?
60492:50,"it's not fair to a pet to have a pet here, or certainly, certainly not a dog,",,,,,,,,N,?
122984:94,"well, i know if they make the advances that they have been making, that, uh, maybe age will no longer, age or even physical, uh, abilities may not be, uh, a barrier anymore.",,,,,,,,NP,
128793:82,"and, uh, you have to be more flexible and more willing to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things.",,,,,,,,NP,
39615:30,"do you, do you garden or not.",,,,,,,,OrNot,
88038:32,you can't come in afterward and really be successful or economical at it.,,,,,,,,ADJ,
68507:73,"well wh-, do you think that, uh, consumer goods, goods are generally getting better, or worse in quality.",,,,,,,,ADV,
153702:24,i guess i am about eight or nine.,,,,,,,,NUM,
172264:108,"i mean, obviously, i do most of my, almost all of my report writing on, on my computer, uh, whether it's term papers or even some smaller homework assignments.",,,,,,,,NP,
110930:97,"we go from regular kind of spring clothes regular kind of fall clothes pregnant clothes, clothes that are in between where you're not down to regular size yet or you're on your way up from regular size",,,,,,,,VP,
49162:40,"they were expecting an influx of something on the order of fifty thousand people or more from the navy,",,,,,,,,NUM,
87247:31,"i do not know if you listen to him or not,",,,,,,,,OrNot,
145844:39,go to work when i wanted to or not,,,,,,,,OrNot,
72966:36,"do you know how to use them in your life or to influence,",,,,,,,,VP,
112221:46,"do you go like home cooking, like black-eyed pea and that kind of thing or cafeteria.",,,,,,,,ADJ,
114907:53,"but they never say who, who they're really working for or what, you know, what what, what questions are, you know,",,,,,,,,NP,
22322:41,"but san antonio is considered a nice clean city, believe it or not.",,,,,,,,OrNot,
81410:24,i've probably seen it about fifteen or twenty times.,,,,,,,,NUM,
41388:23,"i think there was four or five different people, that would call, you know, some of them, if they didn't have their addresses and all on them,",,,,,,,,NUM,
120054:90,"there's just too many issues that come up that, uh, our senators and our congressmen vote on simply because it's a democratic issue or it's a republican issue",,,,,,,,ADJ,
56809:19,and no one could make heads or tails out of some of them,,,,,,,,NP,
162139:49,"uh, i've had, uh, i've had one or two american cars i think,",,,,,,,,NUM,
22715:55,"i've, i've caught them from, you know, three or four inches long up to, uh,",,,,,,,,NUM,
146409:30,"but it seems like there's only about four or five different ones,",,,,,,,,NUM,
2091:43,"we've set a budget for each, you know, household expenses, or food, and clothing and entertainment and then our, our own fun money and just stuff like that",,,,,,,,NP,
14190:71,"so, i guess we have the, the same reaction whether we came about it from the same place or not.",,,,,,,,OrNot,
48855:166,"uh, you know, it, it really irks me to see so much effort put into preventing someone being put to death by the state when they so callously and usually so, you know, withoutf even thinking or without any concern, uh, you know, end somebody else's life, and in a lot of cases several people's lives.",,,,,,,,NP,?
134989:25,"i don't know if that took or not,",,,,,,,,OrNot,
139294:19,"i was just probably three or four years,",,,,,,,,NUM,
31180:140,"and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about that was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what's happening up there, you know, type thing.",,,,,,,,VP,
44249:62,"i'm, i'm really wondering whether that's going it settle down or not,",,,,,,,,OrNot,
103268:112,"but, uh, during the week they often have, a, a limited menu choice but, uh, very reasonable complete dinners for six ninety-nine that included the soup an-, or salad entrees and accompaniments and dessert",,,,,,,,NP,
105500:23,i guess i was seven or eight years old,,,,,,,,NUM,
63575:56,"because all you end up doingf is if you're in business or you're in any kind of international,",,,,,,,,NP,?
92173:38,"have you, have you done this repetitively, or just once.",,,,,,,,ADV,
93477:34,"and then once, about once every three or four years i trya to get over to england, because i lived there for a while, some years back.",,,,,,,,NUM,
159867:30,"we have one of those use it or lose it plans, too, where, uh, they'll basically pay for, uh, you know, child care type, uh, expenses.",,,,,,,,VP,
107022:8,"my budget or philosophy, i guess, is spend as little as possible.",,,,,,,,NP,
31488:53,"because, um, there are, there must be people like you, or in other circumstances, that could come up with, with, uh, false positives for certain kind of drugs.",,,,,,,,ADJ,?
886:75,"uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way to just hang up on it.",,,,,,,,NUM,
33161:98,"but, um, if it was more formal like if i was, you know, working environment then i would probably, um, sh-, shell'em or at least disconnect them from the head.",,,,,,,,VP,
134876:74,"well, i took a lot of time in choosing this site because the, the house has no heating or air conditioning.",,,,,,,,NP,
55769:54,"but usually, when i go into the hot tub before i go swimming, or when i come out, i'm totally relaxed when i go home.",,,,,,,,,?
78284:18,i can watch washington news or baltimore news,,,,,,,,ADJ,
165157:25,they issued a recall because of improper shielding or possibly other problems with floppy drive.,,,,,,,,NP,
6353:63,"she said, now, do you all want him to go to a, a state college or a private college.",,,,,,,,ADJ,
39859:31,"so, they made it to the sweet sixteen, once or twice, in their history,",,,,,,,,NUM,
137870:64,so the only thing i had to decide on was whether i wanted a c d or not in the stereo system,,,,,,,,OrNot,
106806:20,"we would go down two or three hours on the weekends,",,,,,,,,NUM,
97501:39,"and i think every woman ought to deal with it or, ought to at least be exposed to it,",,,,,,,,VP,
52509:46,"like the alcoholic that charges up all the bills on the credit card, or the shopaholic, you know you get your life right with god",,,,,,,,NP,
13356:76,"and, and a lot of the buildings in downtown areas that, that either need demolishing, or need fixing up,",,,,,,,,VP,
123608:48,i think they are supposed to put two in by either next year or the year after.,,,,,,,,NP,
165043:58,"the, the days of don't buy a car made on a monday or a friday are pretty much going away",,,,,,,,NP,
45615:59,"when, when we had our family dog growing up i was eleven or twelve, i think, when we first got him,",,,,,,,,NUM,ADJ
169514:73,"the, uh, governor, you know, has been trying to decide whether he's going to commute it or not.",,,,,,,,OrNot,
8967:44,"if we have a problem with our connection and get disconnected some time or other, don't worry about it.",,,,,,,,ADJ,?
77821:28,you don't have grandparents near by or aunts and uncles.,,,,,,,,NP,
139625:23,"put in garlic and onion powder or chopped onions if you want to do that, you know. what ever, however much effort you feel like putting into it.",,,,,,,,NP,
118743:60,"and you know, we'll just have to wait and see whether that's approved or not.",,,,,,,,OrNot,
127555:91,"and no matter what the weather is they can walk at a pretty good clip and, and not have to worry about the weather summer or winter.",,,,,,,,NP,
104118:18,"his middle name is chris, or christopher for for her daddy,",,,,,,,,NP,
24733:51,and you got to divide it two different categories whether you live in the city or whether you live in a more rural place like i do.,,,,,,,,NP,
56045:26,should these people be allowed to or not.,,,,,,,,OrNot,
49242:55,"like most areas that are built, um, there were probably, like two or three styles you could choose from.",,,,,,,,NUM,
104287:70,"and, um, i don't, i don't know if he's really serious about it yet or not, you know,",,,,,,,,OrNot,
70072:47,and i think we got the same thing in the forecast for the next two or three days.,,,,,,,,NUM,
55955:33,"it might not be the same neighborhood, but the same city or county, because then you're, you're coming in contact with it.",,,,,,,,NP,
77801:170,"and you want to be avail-, at least i've wanted to be available, when they, for some reason, they had, they were bouncing something off of me. because it was something that was bothering them or they were concerned about,",,,,,,,,VP,
68546:11,so either you or your husband can be warm,,,,,,,,NP,
89756:75,"i don't remember if he said it was sixty dollars a square foot, off the creek and eighty on the creek, or, if it was eighty and a hundred.",,,,,,,,NUM,
78681:73,"and he, uh, would like to just get a fifth wheel and just travel across the country and spend a month here or a couple of weeks there, and just, you know, not, be settled anywhere,",,,,,,,,NUM,
36524:73,"and they said that they had ex-, that the one they had exercised with was three or four times easier.",,,,,,,,NUM,
25614:31,and you can just mosey on out for three or four hours and have a good time.,,,,,,,,NUM,
124597:121,"and it's just incredible to think that there's, uh, there are players who are the sons of ball players that used to play against nolan or with nolan, you know,",,,,,,,,ADV,
103194:59,"my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night",,,,,,,,NP,
153770:93,"you know, it's like what can you do with that, that you can't do in a self protection situation with like a seven or a twenty shot twelve.",,,,,,,,NUM,
151896:22,"so we go backpacking fifteen or twenty miles,",,,,,,,,NUM,
8525:52,"so, uh, what happens is you pay six hundred dollars at the beginning or even before school starts.",,,,,,,,PP,
64760:20,whenever they say it two or three times.,,,,,,,,NUM,
46424:21,"like you take asian countries, or, uh, the eastern countries where women are like in the foreground, uh, in the background and the men are in the foregrounde,",,,,,,,,ADJ,
94497:68,"and this has been going on at least, uh, i would say, at least twenty-five years or thirty, something like that.",,,,,,,,NUM,
55117:40,"uh, i'm figuring either one either the eagles or possibly san francisco",,,,,,,,NP,
80682:39,and i'm thinking about maybe sponge painting them. either that or maybe rag rolling. to give it kind of a country look.,,,,,,,,VP,
63983:38,"but the cost is, is like, double or sometimes triple, what the regular things you, fertilizers and things you buyf.",,,,,,,,NUM,
157597:36,"and we do sit down at the beginning of every month or the end of every month and write down how much we know we're going to spend and set that money aside,",,,,,,,,ADJ,
96977:21,but i probably talked to seven or eight people.,,,,,,,,NUM,
6291:93,"i, i, fr-, you know, i, i debate about whether it's really good or not, you know.",,,,,,,,OrNot,
92707:24,so i like things like golden girls or cheers,,,,,,,,NP,
57817:48,"so i guess i've done probably, uh, i'd say seven or eight of them.",,,,,,,,NUM,
41788:38,"so i was always fighting against the idea of looking tailored or manish,",,,,,,,,ADJ,
126314:48,"well, i either, teeing off i either slice it or i hook it ever single time",,,,,,,,VP,
125651:119,"um, some of the qualifications that i look for was that, uh, you know, the cost, and, um, exactly what they did, if it was structured or nonstructured, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were, and if the place was clean and um, the hours",,,,,,,,ADJ,
18012:53,"i don-, i don't know if i get e s p n or not.",,,,,,,,OrNot,
48874:116,"and, you know, i could go along with that, if, if i could be assured that it would be their natural life in jail and not parole after ten, or twelve years.",,,,,,,,NUM,
1036:63,"and i guess that turns out to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it",,,,,,,,OrNot,
75697:37,"and since that time everybody's got some sort of burglar system or, you know, uh, burglar alarms uh, and including the out, uh, the outer perimeter type, uh, devices, sensors and things like that.",,,,,,,,NP,
152813:245,"also, also i have the observation of, uh, with the press is that, like any any stories that i had any first hand knowledge of that i see in the press, you know, which only happened like ten times in my life you know first thing you know for anything of you know or anything that actually had, had more than just a blurb about it. that the press has managed to just mess up some aspect of the story",,,,,,,,,?
27966:70,"there was not, there's not supposed to be any reason to use this education or this brain that you might have for anything other than your house and your children and how clean can the bathroom floors be on any given day.",,,,,,,,NP,
37097:119,"but i, i just don't think they have the resources, if you were to compare, uh, the americans to the soviets as far as home computers are concerned or fact machines, fax machines and cellular phones, and state of the art equipment that we are so used to.",,,,,,,,NP,
164864:140,"and the, the problem with that is then, then, then people will either, the rich people will either pull their kids out of the public school and put them in private schools or they'll move farther away to get better schools.",,,,,,,,VP,
137234:56,"this summer we went to, uh, the smokey mountain national park. and, uh, stayed about three or four days in there.",,,,,,,,NUM,
73050:45,"especially, you know, if you catch yourself short on cash or if you're on vacation, it's just easier to put everything on a card.",,,,,,,,VP,
30197:23,it would average out to thirty-five or forty dollars a night whichb is a reasonable rate.,,,,,,,,NUM,
137591:36,"they've won, like, i think six or seven in a row now,",,,,,,,,NUM,
6625:69,"i, i, i guess, in my own, having had the whole three or four minutes to, you know, give it a great deal of thought, you know, um, i, i think i agree with you one hundred percent about it being some sort of voluntary,",,,,,,,,NUM,
46988:18,"i got off my pace or my cordless phone,",,,,,,,,NP,
97004:55,"because, uh, i, i guess i placed all but one or two of my calls. and, uh, only because i going to make some money,",,,,,,,,NUM,
6194:35,"so. i don't know if you participate in that or not,",,,,,,,,OrNot,
150670:77,"well, i remember back during the, uh, during the war, everyone here at work always had the radio or the t v on, because that, they were going constantly with that stuff.",,,,,,,,NP,
29159:97,"and, uh, i talked to a thirteen year old last night who's, uh, goes to, uh, one of the plano high schools or junior highs, i guess,",,,,,,,,ADJ,
56988:61,"perhaps that would be a solution if they were required to vote at least for their first three or four years after they become of voting age. required to register and vote for four years,",,,,,,,,NUM,
10846:33,i wonder how truthful all of that was or whether there was fiction.,,,,,,,,,?
176508:24,i think it takes about three or four times before it gets easy.,,,,,,,,NUM,
86950:15,"but, the legal person or lawful person should not be penalized because there is the criminal element.",,,,,,,,ADJ,
102464:49,sometimes i think we pay the baby-sitter as much as paying for their dinner or lunches,,,,,,,,NP,
150048:18,i've had two or three of those go out.,,,,,,,,NUM,
72175:60,"i'm, i guess i probably put on about ten, nine or ten pounds, since i stoppedb playing, whiche was about four years ago.",,,,,,,,NUM,
143964:138,"i think if it's, uh, if it's a con-, if it's a convicted, uh, felon on parole uh, and he goes out and, and commits another crime or kills somebody, i, you know, i, i feel the same way,",,,,,,,,VP,
25323:87,"um, one of the remarkable things about the weather in the summertime here is that quite often the average daytime high of say ninety-nine degrees is within five or six degrees of the all time record high.",,,,,,,,NUM,
105461:58,"it wasn't like the newer ones that have nice chambers that keep it afloat or keep it, uh, upright again.",,,,,,,,ADV,
46782:51,"i mean it looks, i guess, kind of like, uh, the chevy aerostar or arrow,",,,,,,,,NP,
54761:52,"it was on one of the networks, i think last weekend. uh, or two weeks ago.",,,,,,,,NUM,
4682:83,"but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things.",,,,,,,,NP,
13665:45,i couldn't remember in tigon had purchased g t e --s phone mail services or if g t e had purchased tigon.,,,,,,,,,?
120770:23,and he had it for about three or four years where we just about had to lift him and carry him every place he went.,,,,,,,,NUM,
29361:19,they will have maybe two or three main stories and just spend a very large amount of time.,,,,,,,,NUM,
54841:46,"do you go by the adsf when you look at thema, or the reviews.",,,,,,,,NP,
149373:37,"you know, i saw something on c n n or on cable here a while ago that showed some people that had rabbits in apartments and in houses,",,,,,,,,NP,
157431:41,i'm not going to work any harder and make any more or create any more jobs.,,,,,,,,VP,
162444:31,"uh, d c around here stands for drug capital or death capital.",,,,,,,,ADJ,
150122:69,"uh, i would say the medical, uh, group insurance area as far as, uh, covering medical costs for yourself or family members.",,,,,,,,NP,
145001:59,"but there's still a, an, an inequality in the work forces or jobs.",,,,,,,,NP,
72563:57,"for some reason it seems to interest me, like people that make a big comeback or, you know, orel hershiser, things like that.",,,,,,,,,?
19308:17,will there be a union or not.,,,,,,,,OrNot,
165055:25,but then again you look at a ford or especially a chevy,,,,,,,,NP,
133415:190,"um, i'm not really, uh, sure that i even understand why the administration is proposing, for instance, tax reductions, because it seems to me that if, if, if they're talking about reducing, uh, the tax that needse to be paid, or the tax that's currently being paid, then that can't, it seems to me it can't possibly, you know, help with the, the deficit picture.",,,,,,,,VP,PP?
150405:11,but now bench or step aerobics have kind of taken over.,,,,,,,,ADJ,
24757:57,"even a bad school is a good school up here, where, if i lived in new york city or washington, d c, uh, i would seriously consider moving if i had a child.",,,,,,,,NP,
166635:51,"but, uh, i don't know if that's been challengedb in the courts or not.",,,,,,,,OrNot,
129837:27,"and just depending on whether you say yes or no, uh, you, you can give him capital punishment",,,,,,,,NP,
97709:59,"and i will probably be going back to work around january, whereas she will be about, eight or nine months old.",,,,,,,,NUM,
105245:83,"but, the other thing that i thought of on this is, i wonder if there isn't enough money, uh, in our economy or in our system.",,,,,,,,NP,
97699:27,"and she's just started that like yesterday or the day before,",,,,,,,,NP,
47298:37,"and then the nights are reasonably warm, you know, sixties or seventies.",,,,,,,,NUM,
30178:66,"and whe-, when i finally got over there, it had fallen, uh, two or three francs to the dollar.",,,,,,,,NUM,
129876:44,"i mean, i don't know whether i'd stay in prison or not",,,,,,,,OrNot,
169940:25,"there's nothing, maybe a picture or two that belongs to that person",,,,,,,,NUM,
153470:46,"so, we are on a schedule where i try every, uh, three or four years to, to buy a new one.",,,,,,,,NUM,
145555:164,"if you've got a pretty good rating, uh, credit rating you can call your in-, you know, your, your card, wherever you got your card from and tell them, hey, either drop my rates or drop my, you know, uh annual fees",,,,,,,,NP,
80247:17,"was it for health, or, to look good.",,,,,,,,NP,?
56013:64,"there definitely would have to be a major p r campaign in each community, each county, uh, parish or however the state was divided up.",,,,,,,,NP,
137750:18,there is only about five or six options.,,,,,,,,NUM,
83258:73,"when i have heard about england's elections, they are allowed to run for what, a total of six or eight weeks. even for the higher offices in the, in the land.",,,,,,,,NUM,
26907:20,did you teach in all subjects or in all grade levels,,,,,,,,NP,
170713:59,"do you know anyone that, uh, is, is in a nursing home or has ever been in one.",,,,,,,,VP,
72352:13,"believe it or not though the, all the women that stay home are real busy when they are home.",,,,,,,,OrNot,
76508:96,"they seem to be burdening the school system more and more with problems, any problems that a child might have, whether it's actually a school related thing or not",,,,,,,,OrNot,
150350:31,"do you do, uh, any anaerobic type, weight lifting or weight training type exercise.",,,,,,,,NP,
140027:33,"i guess we didn't have it high enough or he didn't get hit in just the right spot,",,,,,,,,VP,
121188:35,it's what they've done in the spring or the fall.,,,,,,,,NP,
14253:43,"i wondered if it would help you sometimes fill in the gaps or recognize discrepancies that other people, people like myself might not pick up on.",,,,,,,,VP,
162718:32,"it was always my impression that the justice himself, or herself, had the final say.",,,,,,,,NP,
86874:94,"but, you know, any kind of handgun at all, if it will fit in a handgun and a rifle you would still have to buy it, or sign up for it,",,,,,,,,VP,
62367:43,"but say, i think bangladesh would have been a good example or some, some really desperate situation",,,,,,,,NP,
76731:61,"and, so, i mean, you have to find out whether there's a legitimate reason, or whether this is a warning signal.",,,,,,,,NP,
66023:36,"it was like only, it was either sixty percent or forty percent, go to college.",,,,,,,,NUM,
91263:36,but i think you can get a good education at public or private,,,,,,,,ADJ,
74049:29,"he used to go back twice or three times a year, you know, because he missed it.",,,,,,,,NUM,
145063:39,and hers was the only income we had for three or four months,,,,,,,,NUM,
131692:34,"they'd leave work and go to a golf course, or a little country club they belonged to back in richmond, virginia and just, uh, play nine holes of golf.",,,,,,,,NP,
27828:55,"our generation was, uh, so in tuned to music of that time that we identify goodness or badness with, uh, things now with the music that's behinds them.",,,,,,,,NP,
124658:85,"it's hard to put the finger on, uh, what's worse, you know, the acid rain situation or the ozone depletion, um, with, uh, your hydrocarbons, uh causing the damage in which,",,,,,,,,NP,
152640:26,"and when you send it to washington or send it to your state capitol, uh, a lot of it stays there",,,,,,,,NP,
45877:58,"because e-, everything, i mean anything that tom landry wanted or had, he was going to change it.",,,,,,,,VP,
35519:24,"oh, i'm thinking around twenty or twenty-five dollars.",,,,,,,,NUM,
152622:62,"uh, my, my opinion of taxes is that we just send money to washington or to the state and they say they are going to send some back,",,,,,,,,NP,
161207:19,"because somebody has a child or, uh, likes children doesn't really mean that they're qualified to give the child the kind of supervision and training that that, uh,",,,,,,,,VP,
92652:59,"it looks like, it looks like it might be one of these seven or eight year run things. where you kind of can spend your whole career on one show.",,,,,,,,NUM,
128817:104,"i, i'd also advise them that, uh, if mom and dad paid for their college, that, uh, if they decided to drop a course or decided that they need another year, then they'd have to get a loan to continue.",,,,,,,,,?
70908:13,our first fifteen years or eighteen years of being married nothing worked.,,,,,,,,NUM,
46142:88,"it was right close to when we was going to find out if we was going to get to be in the playoffs, or not.",,,,,,,,OrNot,
68972:52,"i, you know, go to cleveland to see them play, the indians or the red sox,",,,,,,,,NP,
138388:14,"she was four, or three,",,,,,,,,NUM,
95915:62,"and you sometimes wonder when these people protest so much whether they're really concerned about their rights, or whether they're really concerned about something else.",,,,,,,,NP,
7017:103,"well the, the other thing some people are not aware of, is they will use their a, their credit card like their visa or their mastercard for cash",,,,,,,,NP,
170776:46,"if, if you can take care of yourself at all or have someone that can take care of you, then you stay where you aref.",,,,,,,,,?
46012:28,"i can't remember whether we played three or four quarterbacks,",,,,,,,,NUM,
76530:72,"uh, and you can't expect in a classroom for a particular course an hour a day to counteract, uh, sixteen or seventeen years of influence at home.",,,,,,,,NUM,
34104:22,you can make it either tight or as loose as loose can get.,,,,,,,,ADJ,
142117:49,"and i even had, uh, i guess it wasf last year or the year before, i had some out",,,,,,,,NP,
62411:39,and i don't think you could have done it fifty or a hundred years ago either.,,,,,,,,NUM,
75196:18,"she woke up about three or four o'clock in the morning, water dripping from hers.",,,,,,,,NUM,
95254:54,"and i couldn't just, you know, wait for eight, three or four months and then bring them back to her",,,,,,,,NUM,
42766:91,"because i started shooting, my dad started letting me shoot like a little air b b gun, when i was probably five or six years old.",,,,,,,,NUM,
55759:30,i think i have gone home maybe once or twice slightly sore.,,,,,,,,NUM,
129330:26,"but, unemployment now in dallas, or in texas is up around six point,",,,,,,,,NP,
20453:61,"and it will, if have you a thirty year note, it will take like seven or plus years off of your note.",,,,,,,,NUM,?
123090:99,"i think, uh, it's in everyone's nature to some degree to want to get out and explore something they haven't, or experience something, you know, indifferent.",,,,,,,,VP,
362:41,"that's just a matter of defining priorities, i guess or some priorities anyway.",,,,,,,,ADJ,?
8347:26,and they're good for about five years or four years,,,,,,,,NUM,
175450:86,"and, and, but of course most time, most of the time management has a hard time distributing or getting the word out to the people who must know.",,,,,,,,VP,
52656:78,"and, and go ahead and get the punishment phase out of the way, because it doesn't do the criminal or the victim's family, r-, r-, any of us, the taxpayer any good to have him sitting around for months and years.",,,,,,,,NP,
14292:63,"um, and it's one of those that i can ei-, read either an article or a couple of pages of those brief excerpts in the time frame that i'm going to spend in there.",,,,,,,,NP,
164667:49,"and it's just sort of a, you know, four or five pages that covers what's going on in plano.",,,,,,,,NUM,
132821:30,"but, uh, it'll go up to fifty or sixty almost.",,,,,,,,NUM,
122735:37,and the other schools were built back in maybe the fifties or early sixties,,,,,,,,NUM,
123672:38,"somebody said, you know, you're either a stranger or a fool to try to predict texas weather,",,,,,,,,NP,
4799:38,and they're still let out on the street after one or two years.,,,,,,,,NUM,
71717:36,i don't know if you have had that problem there or not.,,,,,,,,OrNot,
24807:72,or if you're going to go the science route you can go to a target school that specializes in science or art.,,,,,,,,NP,
34018:36,"uh, my gun hasn't been shotf in a year or two.",,,,,,,,NUM,
9412:60,"it's, it's not, not that it's just hot or dry,",,,,,,,,ADJ,
139019:32,"it's not as humid. as houston, say, or atlanta,",,,,,,,,NP,
154689:23,i only do it probably two or three times a week.,,,,,,,,NUM,
17758:53,"i haven't decided whether, whether i want to play yet or not",,,,,,,,OrNot,
86671:25,"actually i paid about either a thousand dollars or a little bit,",,,,,,,,NUM,?
50680:36,"what do you think about the, uh, peace corps or public service commitment.",,,,,,,,ADJ,
173549:65,"of course, if he's fallen in love with drugs and there isn't anything but getting stoned or high is, is the only thing in life that seems to be meaningful, then maybe there is no hope.",,,,,,,,ADJ,
152368:30,"you probably have a better team, uh, cooperation, or team playing, atmosphere.",,,,,,,,ADJ,
102220:49,"that sounds like not as recent social changes, too, like back to the sixties or fifties, i guess.",,,,,,,,NUM,
84467:25,and is sold as purple buddy or sometimes sold as straw flower.,,,,,,,,ADV,?
79690:66,"but now i think there are tests that can be conducted, uh, to tell whether or not the puppies have the, have it.",,,,,,,,OrNot,
143084:47,"like, would you go over and spend a lot of time in one place, or travel to whole bunch of different places in one week.",,,,,,,,ADJ,
1147:55,have you ever gotten one of those calls that is either generated by a computer or somebody going down a list,,,,,,,,NP,
1200:36,"but if they're going to offer these services, or these recorded message, everything, they ought to be stuck working with the phone book like everybody else instead of using a computer to go through and just go down every sequence of numbers for this certain area code and call them.",,,,,,,,NP,
39230:62,"but with little ones, i'd be kind of scared, to get anything that has teeth or claws.",,,,,,,,NP,
102655:14,"uh, a waitress or waiter that waits the table, it's nice that they're attentive",,,,,,,,NP,
57886:97,"i-, it frustrates him because of the support that they have and the support that the vietnam vets did not have, from the people or the administration, either one.",,,,,,,,NP,
93263:156,"i, i wonder how, how you instill in people the necessity for doing just a little bit extra to, to make this whole thing work. i mean, the extra like washing out bottles and jars, or the extra of actually, uh, making sure that, uh, you take stuff over to, you know,",,,,,,,,PP,?
31292:58,"and i keep thinking, you know, gifted is, is einstein or, you know, uh, musical prodigies.",,,,,,,,NP,
99475:12,i visited once or twice.,,,,,,,,NUM,
57956:30,"uh, you know whether it was justified or not, i know, that they probably felt like we were going in for a good cause.",,,,,,,,OrNot,
170074:84,"and it, that i, i don't know if i ever went as far as three months or not i-, i-, in keeping that kind of data.",,,,,,,,OrNot,
130040:62,"well, i found out after washing out many a peanut butter jar that they're not a recycling number one or two.",,,,,,,,NUM,
54645:43,"you see it for, uh, you know a couple of hours or an hour",,,,,,,,NUM,
106579:87,so. it became dangerous for us to keep transporting her back and forth in the car because she was so wobbly and needed a walker or a wheel chair,,,,,,,,NP,
173411:18,and then they have naps or rest period.,,,,,,,,NP,
94302:19,"well, get a towel or go change.",,,,,,,,VP,
59616:52,and it doesn't matter what restrictions you put on that type of weapon or a class three firearm.,,,,,,,,NP,
174625:55,"if i, if i elicit good behavior i'm out in maybe five or ten.",,,,,,,,NUM,
134089:60,"and they do post, uh, uh, warnings for people who have, uh, heart diseases or respiratory problems during that summer season.",,,,,,,,NP,
168438:37,"i've never had a, a punishment or a, a crime like a murder touch my immediate family",,,,,,,,NP,
35654:67,"but, you know, that's a sign that i'm going to have to do something sooner or later.",,,,,,,,ADV,
133392:61,"um, short term, i don't think anything's going to be done about it or probably should be done about it.",,,,,,,,VP,
93867:26,"but if it's like a social activity or a recreational activity, i don't mind",,,,,,,,ADJ,
37770:39,"but i wouldn't want to go teach high school or junior high,",,,,,,,,ADJ,
63853:64,"i don't know how, how soon they're going to do it, or how organized it's going to be,",,,,,,,,ADJ,?
31580:134,"i mean, he, he puts himself in the hospital fairly regularly thinking that, you know, he, he's not sure if he's going try to commit suicide or not.",,,,,,,,OrNot,
106103:34,and he left it up to me if i worked or not.,,,,,,,,OrNot,
33778:41,do you like to exercise because you want to or because you have to.,,,,,,,,VP,
134049:25,"i think i've bought one or two new cars in my life,",,,,,,,,NUM,
171916:24,"you go, you know three or four hours before the game.",,,,,,,,NUM,
109764:99,"oh, when we first were, were here, it was like we'd take maybe a, oh, a grocery sack full or maybe two grocery sacks full,",,,,,,,,NUM,
30997:16,"i read about one or two thick novels like that a year. you know,",,,,,,,,NUM,
70078:22,"have y'all been having any heat waves or like the ninety degree,",,,,,,,,NP,
54571:48,a lot of things we try to catch like at the dollar theater or matinees,,,,,,,,N,
145702:45,"and, and they always have, you know, two or three new onesf to adde to the list, you know,",,,,,,,,NUM,
58315:64,"but human nature being such as it is, i would think it would take, probably, two or three years before people co-, could completely cut the cord.",,,,,,,,NUM,
75880:7,you or the insurance companies never see any of that money.,,,,,,,,N,
170249:63,"you know. because it's not a person's fault that, you know, people not buying or businesses are, are not on the up and up all the time, you know.",,,,,,,,VP,complete clauses?
173510:113,"well, it seems like, well it, it seems as if in the past typically there have been a lot of cases of people being wrongly tried or wrongly punishedb,",,,,,,,,ADJ,
162665:33,i don't know if i'm making any sense or not.,,,,,,,,OrNot,
91264:39,"but i think you can also get a bad education at public or private, you know,",,,,,,,,ADJ,
83455:205,"uh, i think that the judges should be leftd to do most of the sentencing, simply because, uh, there is always, uh, there is, there is always a jury that might be swayedb, uh, by the moment, uh, to either to be too lenient or too vengeful, i guesse.",,,,,,,,ADJ,
110657:88,"i just, i just don't think there's a place in our environment, you know in the work force for drugs, or alcohol either.",,,,,,,,N,
18182:39,"i mean just, just scratching two or three inches was just a chore.",,,,,,,,NUM,
66676:23,"now whether they finally got it or not, i don't know.",,,,,,,,OrNot,
90762:42,"um, i, i was talking to somebody recently or read somewhere where they, where they said that, you know, these children, they, they had to be the best,",,,,,,,,VP,
85973:53,"i mean that was one thing, that came out of it, good or bad,",,,,,,,,ADJ,
106753:24,"did you have, uh, one coat or two.",,,,,,,,NUM,
11797:36,"and, uh, i don't know whether that's bad or good,",,,,,,,,ADJ,
95445:55,"we use it more for just writing programs when we need to or, um, doing research, looking at the speech signal and then doing writing, and also as a just as a terminal,",,,,,,,,VP,
111321:31,but a lot of their classes there were only eight or ten children in their classes,,,,,,,,NUM,
