TGrepID	EntireSentence	BestResponse
99369:72	i, i don't think we should be spending timeb saying somebody's wearing torn clothing or wearing sh-, too shorts, too short	i, i don't think we should be spending time  saying somebody's wearing torn clothing or wearing sh-, too shorts, too short but not both.
118989:29	that must have been at least fifty years ago or more,	that must have been at least fifty years ago or more but not both,
113966:144	and finally our governor at the time which who is not in office now came in and said, okay, where we draw the line is no sex offenders will be let loose. under early bail, you know or early, uh get out.	and finally our governor at the time which who  is not in office now came in and said, okay, where we draw the line  is no sex offenders will be let  loose. under early bail, you know or early, uh get out but not both.
62382:115	there are people now that are obsolete point and fact just, just like endangered species of animals, so there are quote tribes of people, thatf are endangered or obsolete.	there are people  now that  are obsolete point and fact just, just like endangered species of animals, so there are quote tribes of people, that  are endangered or obsolete but not both.
155051:35	well, how to you handle that, the long range or medium range planning on finances.	well, how to you handle that, the long range or medium range planning on finances but not both .
19349:75	it's easy to believe that they were probably more forced into a pact than, uh, a volunteer or willingness to join.	it 's easy to believe that they were probably more  forced  into a pact than, uh, a volunteer or willingness to join but not both.
110454:26	and they're not, um, high strung or over bred um.	and they're not, um, high strung or over bred um but not both.
138235:84	and i, i debate whether it's better to get a, uh, just a straight table saw or to get one of these, uh, rotary arm saws.	and i, i debate whether it 's better to get a, uh, just a straight table saw or to get one of these, uh, rotary arm saws but not both.
14262:12	at one time or another i've taken them all for a year.	at one time or another but not both i've taken them all for a year.
60492:50	it's not fair to a pet to have a pet here, or certainly, certainly not a dog,	it 's not fair to a pet  to have a pet here, or certainly, certainly not a dog but not both,
122984:94	well, i know if they make the advances that they have been making, that, uh, maybe age will no longer, age or even physical, uh, abilities may not be, uh, a barrier anymore.	well, i know if they make the advances that they have been making , that, uh, maybe age will no longer, age or even physical, uh, abilities but not both may not be, uh, a barrier anymore.
128793:82	and, uh, you have to be more flexible and more willing to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things.	and, uh, you have  to be more flexible and more willing  to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things but not both.
39615:30	do you, do you garden or not.	do you, do you garden or not but not both.
88038:32	you can't come in afterward and really be successful or economical at it.	you can't come in afterward and really be successful or economical at it but not both.
68507:73	well wh-, do you think that, uh, consumer goods, goods are generally getting better, or worse in quality.	well wh-, do you think that, uh, consumer goods, goods are generally getting better, or worse in quality but not both.
153702:24	i guess i am about eight or nine.	i guess i am about eight or nine but not both.
172264:108	i mean, obviously, i do most of my, almost all of my report writing on, on my computer, uh, whether it's term papers or even some smaller homework assignments.	i mean, obviously, i do most of my, almost all of my report writing on, on my computer, uh, whether it's term papers or even some smaller homework assignments but not both.
110930:97	we go from regular kind of spring clothes regular kind of fall clothes pregnant clothes, clothes that are in between where you're not down to regular size yet or you're on your way up from regular size	we go from regular kind of spring clothes regular kind of fall clothes pregnant clothes, clothes that  are in between where you're not down to regular size yet or you're on your way up from regular size but not both.
49162:40	they were expecting an influx of something on the order of fifty thousand people or more from the navy,	they were expecting an influx of something on the order of fifty thousand people or more but not both from the navy,
87247:31	i do not know if you listen to him or not,	i do not know if you listen to him or not but not both,
145844:39	go to work when i wanted to or not	go to work when i wanted  to  or not but not both.
72966:36	do you know how to use them in your life or to influence,	do you know how to use them in your life or to influence but not both ,
112221:46	do you go like home cooking, like black-eyed pea and that kind of thing or cafeteria.	do you go like home cooking, like black-eyed pea and that kind of thing or cafeteria but not both.
114907:53	but they never say who, who they're really working for or what, you know, what what, what questions are, you know,	but they never say who, who they're really working for  or what, you know, what what, what questions are but not both, you know,
22322:41	but san antonio is considered a nice clean city, believe it or not.	but san antonio is considered  a nice clean city, believe it or not but not both.
81410:24	i've probably seen it about fifteen or twenty times.	i've probably seen it about fifteen or twenty times but not both.
41388:23	i think there was four or five different people, that would call, you know, some of them, if they didn't have their addresses and all on them,	i think there was four or five different people, that  would call, you know, some of them, if they didn't have their addresses and all on them but not both,
120054:90	there's just too many issues that come up that, uh, our senators and our congressmen vote on simply because it's a democratic issue or it's a republican issue	there's just too many issues that  come up that, uh, our senators and our congressmen vote on  simply because it's a democratic issue or it's a republican issue but not both.
56809:19	and no one could make heads or tails out of some of them	and no one could make heads or tails but not both out of some of them
162139:49	uh, i've had, uh, i've had one or two american cars i think,	uh, i've had, uh, i've had one or two american cars i think but not both ,
22715:55	i've, i've caught them from, you know, three or four inches long up to, uh,	i've, i've caught them from, you know, three or four inches long but not both up to, uh,
146409:30	but it seems like there's only about four or five different ones,	but it seems like there's only about four or five different ones but not both,
2091:43	we've set a budget for each, you know, household expenses, or food, and clothing and entertainment and then our, our own fun money and just stuff like that	we've set a budget for each, you know, household expenses, or food, but not both, and clothing and entertainment and then our, our own fun money and just stuff like that
14190:71	so, i guess we have the, the same reaction whether we came about it from the same place or not.	so, i guess we have the, the same reaction whether we came about it from the same place or not but not both.
48855:166	uh, you know, it, it really irks me to see so much effort put into preventing someone being put to death by the state when they so callously and usually so, you know, withoutf even thinking or without any concern, uh, you know, end somebody else's life, and in a lot of cases several people's lives.	uh, you know, it, it  really irks me to see so much effort put  into preventing someone being put  to death by the state when they so callously and usually so, you know, without  even thinking or without any concern, uh, you know, end somebody else's life, and in a lot of cases several people's lives but not both .
134989:25	i don't know if that took or not,	i don't know if that took or not but not both,
139294:19	i was just probably three or four years,	i was just probably three or four years but not both,
31180:140	and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about that was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what's happening up there, you know, type thing.	and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what 's happening up there, you know, type thing but not both.
44249:62	i'm, i'm really wondering whether that's going it settle down or not,	i'm, i'm really wondering whether that's going  it settle down or not but not both,
103268:112	but, uh, during the week they often have, a, a limited menu choice but, uh, very reasonable complete dinners for six ninety-nine that included the soup an-, or salad entrees and accompaniments and dessert	but, uh, during the week they often have, a, a limited menu choice but, uh, very reasonable complete dinners for six ninety-nine that  included the soup an-, or salad but not both entrees and accompaniments and dessert
105500:23	i guess i was seven or eight years old	i guess i was seven or eight years old but not both.
63575:56	because all you end up doingf is if you're in business or you're in any kind of international,	because all you end up  doing  is if you're in business or you're in any kind of international but not both,
92173:38	have you, have you done this repetitively, or just once.	have you, have you done this repetitively, or just once but not both.
93477:34	and then once, about once every three or four years i trya to get over to england, because i lived there for a while, some years back.	and then once, about once every three or four years but not both i try  to get over to england, because i lived there for a while, some years back.
159867:30	we have one of those use it or lose it plans, too, where, uh, they'll basically pay for, uh, you know, child care type, uh, expenses.	we have one of those use it or lose it plans , too, where, uh, they'll basically pay for, uh, you know, child care type, uh, expenses but not both .
107022:8	my budget or philosophy, i guess, is spend as little as possible.	my budget or philosophy but not both, i guess, is spend as little as possible.
31488:53	because, um, there are, there must be people like you, or in other circumstances, that could come up with, with, uh, false positives for certain kind of drugs.	because, um, there are, there must be people like you, or in other circumstances but not both, that  could come up with, with, uh, false positives for certain kind of drugs.
886:75	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way to just hang up on it.	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week but not both calls of the nature where one wishes that there were a convenient way  to just hang up on it  .
33161:98	but, um, if it was more formal like if i was, you know, working environment then i would probably, um, sh-, shell'em or at least disconnect them from the head.	but, um, if it was more formal like if i was, you know, working environment then i would probably, um, sh-, shell'em or at least disconnect them from the head but not both.
134876:74	well, i took a lot of time in choosing this site because the, the house has no heating or air conditioning.	well, i took a lot of time in  choosing this site because the, the house has no heating or air conditioning but not both.
55769:54	but usually, when i go into the hot tub before i go swimming, or when i come out, i'm totally relaxed when i go home.	but usually, when i go into the hot tub  before i go  swimming, or when i come out but not both , i'm totally relaxed when i go home .
78284:18	i can watch washington news or baltimore news	i can watch washington news or baltimore news but not both.
165157:25	they issued a recall because of improper shielding or possibly other problems with floppy drive.	they issued a recall because of improper shielding or possibly other problems with floppy drive but not both.
6353:63	she said, now, do you all want him to go to a, a state college or a private college.	she said, now, do you all want him to go to a, a state college or a private college but not both.
39859:31	so, they made it to the sweet sixteen, once or twice, in their history,	so, they made it to the sweet sixteen, once or twice but not both, in their history,
137870:64	so the only thing i had to decide on was whether i wanted a c d or not in the stereo system	so the only thing i had  to decide on  was whether i wanted a c d  or not in the stereo system but not both.
106806:20	we would go down two or three hours on the weekends,	we would go down two or three hours but not both on the weekends,
97501:39	and i think every woman ought to deal with it or, ought to at least be exposed to it,	and i think every woman ought  to deal with it or, ought  to at least be exposed  to it but not both,
52509:46	like the alcoholic that charges up all the bills on the credit card, or the shopaholic, you know you get your life right with god	like the alcoholic that  charges up all the bills on the credit card, or the shopaholic, you know you get your life right with god but not both.
13356:76	and, and a lot of the buildings in downtown areas that, that either need demolishing, or need fixing up,	and, and a lot of the buildings in downtown areas that, that  either need demolishing, or need fixing up but not both,
123608:48	i think they are supposed to put two in by either next year or the year after.	i think they are supposed  to put two in by either next year or the year after but not both.
165043:58	the, the days of don't buy a car made on a monday or a friday are pretty much going away	the, the days of don't buy a car made on a monday or a friday are pretty much going away but not both.
45615:59	when, when we had our family dog growing up i was eleven or twelve, i think, when we first got him,	when, when we had our family dog  growing up  i was eleven or twelve but not both, i think , when we first got him ,
169514:73	the, uh, governor, you know, has been trying to decide whether he's going to commute it or not.	the, uh, governor, you know, has been trying  to decide whether he's going  to commute it or not but not both.
8967:44	if we have a problem with our connection and get disconnected some time or other, don't worry about it.	if we have a problem with our connection and get disconnected  some time or other but not both, don't worry about it.
77821:28	you don't have grandparents near by or aunts and uncles.	you don't have grandparents  near by or aunts and uncles but not both.
139625:23	put in garlic and onion powder or chopped onions if you want to do that, you know. what ever, however much effort you feel like putting into it.	put in garlic and onion powder or chopped onions but not both if you want  to do that, you know. what ever, however much effort you feel like  putting  into it.
118743:60	and you know, we'll just have to wait and see whether that's approved or not.	and you know, we'll just have  to wait and see whether that's approved  or not but not both.
127555:91	and no matter what the weather is they can walk at a pretty good clip and, and not have to worry about the weather summer or winter.	and no matter what the weather is  they can walk at a pretty good clip and, and not have  to worry about the weather summer or winter but not both.
104118:18	his middle name is chris, or christopher for for her daddy,	his middle name is chris, or christopher for for her daddy but not both,
24733:51	and you got to divide it two different categories whether you live in the city or whether you live in a more rural place like i do.	and you got  to divide it two different categories whether you live in the city or whether you live in a more rural place but not both like i do.
56045:26	should these people be allowed to or not.	should these people be allowed  to or not but not both.
49242:55	like most areas that are built, um, there were probably, like two or three styles you could choose from.	like most areas that  are built , um, there were probably, like two or three styles you could choose from but not both .
104287:70	and, um, i don't, i don't know if he's really serious about it yet or not, you know,	and, um, i don't, i don't know if he's really serious about it yet or not, you know but not both,
70072:47	and i think we got the same thing in the forecast for the next two or three days.	and i think we got the same thing in the forecast for the next two or three days but not both.
55955:33	it might not be the same neighborhood, but the same city or county, because then you're, you're coming in contact with it.	it might not be the same neighborhood, but the same city or county but not both, because then you're, you're coming in contact with it.
77801:170	and you want to be avail-, at least i've wanted to be available, when they, for some reason, they had, they were bouncing something off of me. because it was something that was bothering them or they were concerned about,	and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,
68546:11	so either you or your husband can be warm	so either you or your husband can be warm but not both.
89756:75	i don't remember if he said it was sixty dollars a square foot, off the creek and eighty on the creek, or, if it was eighty and a hundred.	i don't remember if he said it was sixty dollars a square foot, off the creek and eighty on the creek, or, if it was eighty and a hundred but not both.
78681:73	and he, uh, would like to just get a fifth wheel and just travel across the country and spend a month here or a couple of weeks there, and just, you know, not, be settled anywhere,	and he, uh, would like  to just get a fifth wheel and just travel across the country and spend a month here or a couple of weeks there but not both, and just, you know, not, be settled anywhere,
36524:73	and they said that they had ex-, that the one they had exercised with was three or four times easier.	and they said that they had ex-, that the one they had exercised with  was three or four times easier but not both.
25614:31	and you can just mosey on out for three or four hours and have a good time.	and you can just mosey on out for three or four hours but not both and have a good time.
124597:121	and it's just incredible to think that there's, uh, there are players who are the sons of ball players that used to play against nolan or with nolan, you know,	and it 's just incredible to think that there's, uh, there are players who  are the sons of ball players that  used  to play against nolan or with nolan but not both, you know,
103194:59	my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night	my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night but not both.
153770:93	you know, it's like what can you do with that, that you can't do in a self protection situation with like a seven or a twenty shot twelve.	you know, it's like what  can you do  with that, that you can't do  in a self protection situation with like a seven or a twenty shot twelve but not both.
151896:22	so we go backpacking fifteen or twenty miles,	so we go  backpacking fifteen or twenty miles but not both,
8525:52	so, uh, what happens is you pay six hundred dollars at the beginning or even before school starts.	so, uh, what  happens is you pay six hundred dollars at the beginning or even before school starts but not both.
64760:20	whenever they say it two or three times.	whenever they say it two or three times but not both .
46424:21	like you take asian countries, or, uh, the eastern countries where women are like in the foreground, uh, in the background and the men are in the foregrounde,	like you take asian countries, or, uh, the eastern countries but not both where women are like in the foreground, uh, in the background and the men are in the foreground ,
94497:68	and this has been going on at least, uh, i would say, at least twenty-five years or thirty, something like that.	and this has been going on at least, uh, i would say, at least twenty-five years or thirty but not both, something like that.
55117:40	uh, i'm figuring either one either the eagles or possibly san francisco	uh, i'm figuring either one either the eagles or possibly san francisco but not both.
80682:39	and i'm thinking about maybe sponge painting them. either that or maybe rag rolling. to give it kind of a country look.	and i'm thinking about maybe sponge painting them. either that or maybe rag rolling. but not both to give it kind of a country look.
63983:38	but the cost is, is like, double or sometimes triple, what the regular things you, fertilizers and things you buyf.	but the cost is, is like, double or sometimes triple, what the regular things you, fertilizers and things you buy but not both .
157597:36	and we do sit down at the beginning of every month or the end of every month and write down how much we know we're going to spend and set that money aside,	and we do sit down at the beginning of every month or the end of every month but not both and write down how much we know we're going  to spend  and set that money aside,
96977:21	but i probably talked to seven or eight people.	but i probably talked to seven or eight people but not both.
6291:93	i, i, fr-, you know, i, i debate about whether it's really good or not, you know.	i, i, fr-, you know, i, i debate about whether it's really good or not but not both, you know.
92707:24	so i like things like golden girls or cheers	so i like things like golden girls or cheers but not both.
57817:48	so i guess i've done probably, uh, i'd say seven or eight of them.	so i guess i've done probably, uh, i'd say seven or eight but not both of them.
41788:38	so i was always fighting against the idea of looking tailored or manish,	so i was always fighting against the idea of looking tailored or manish but not both,
126314:48	well, i either, teeing off i either slice it or i hook it ever single time	well, i either,  teeing off i either slice it or i hook it but not both ever single time
125651:119	um, some of the qualifications that i look for was that, uh, you know, the cost, and, um, exactly what they did, if it was structured or nonstructured, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were, and if the place was clean and um, the hours	um, some of the qualifications that i look for  was that, uh, you know, the cost, and, um, exactly what they did , if it was structured or nonstructured but not both, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were , and if the place was clean and um, the hours
18012:53	i don-, i don't know if i get e s p n or not.	i don-, i don't know if i get e s p n or not but not both.
48874:116	and, you know, i could go along with that, if, if i could be assured that it would be their natural life in jail and not parole after ten, or twelve years.	and, you know, i could go along with that, if, if i could be assured  that it would be their natural life in jail and not parole after ten, or twelve years but not both.
1036:63	and i guess that turns out to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it	and i guess that turns out  to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it but not both.
75697:37	and since that time everybody's got some sort of burglar system or, you know, uh, burglar alarms uh, and including the out, uh, the outer perimeter type, uh, devices, sensors and things like that.	and since that time everybody's got some sort of burglar system or, you know, uh, burglar alarms but not both uh, and including the out, uh, the outer perimeter type, uh, devices, sensors and things like that.
152813:245	also, also i have the observation of, uh, with the press is that, like any any stories that i had any first hand knowledge of that i see in the press, you know, which only happened like ten times in my life you know first thing you know for anything of you know or anything that actually had, had more than just a blurb about it. that the press has managed to just mess up some aspect of the story	also, also i have the observation  of, uh, with the press is that, like any any stories that i had any first hand knowledge of  that i see  in the press, you know, which  only happened like ten times in my life you know first thing you know for anything of you know or anything but not both that  actually had, had more than just a blurb about it. that the press has managed  to just mess up some aspect of the story
27966:70	there was not, there's not supposed to be any reason to use this education or this brain that you might have for anything other than your house and your children and how clean can the bathroom floors be on any given day.	there was not, there's not supposed  to be any reason to use this education or this brain but not both that you might have  for anything other than your house and your children and how clean can the bathroom floors be  on any given day .
37097:119	but i, i just don't think they have the resources, if you were to compare, uh, the americans to the soviets as far as home computers are concerned or fact machines, fax machines and cellular phones, and state of the art equipment that we are so used to.	but i, i just don't think they have the resources, if you were  to compare, uh, the americans to the soviets as far as home computers  are concerned  or fact machines, fax machines and cellular phones but not both, and state of the art equipment that we are so used to .
164864:140	and the, the problem with that is then, then, then people will either, the rich people will either pull their kids out of the public school and put them in private schools or they'll move farther away to get better schools.	and the, the problem with that is then, then, then people will either, the rich people will either pull their kids out of the public school and put them in private schools or they'll move farther away  to get better schools but not both.
137234:56	this summer we went to, uh, the smokey mountain national park. and, uh, stayed about three or four days in there.	this summer we went to, uh, the smokey mountain national park. and, uh, stayed about three or four days in there but not both.
73050:45	especially, you know, if you catch yourself short on cash or if you're on vacation, it's just easier to put everything on a card.	especially, you know, if you catch yourself  short on cash or if you're on vacation but not both, it 's just easier to put everything on a card.
30197:23	it would average out to thirty-five or forty dollars a night whichb is a reasonable rate.	it would average out to thirty-five or forty dollars a night but not both which  is a reasonable rate.
137591:36	they've won, like, i think six or seven in a row now,	they've won, like, i think  six or seven in a row now but not both,
6625:69	i, i, i guess, in my own, having had the whole three or four minutes to, you know, give it a great deal of thought, you know, um, i, i think i agree with you one hundred percent about it being some sort of voluntary,	i, i, i guess, in my own, having had the whole three or four minutes but not both to, you know, give it a great deal of thought , you know, um, i, i think i agree with you one hundred percent about it being some sort of voluntary,
46988:18	i got off my pace or my cordless phone,	i got off my pace or my cordless phone but not both,
97004:55	because, uh, i, i guess i placed all but one or two of my calls. and, uh, only because i going to make some money,	because, uh, i, i guess i placed all but one or two but not both of my calls. and, uh, only because i going  to make some money,
6194:35	so. i don't know if you participate in that or not,	so. i don't know if you participate in that or not but not both,
150670:77	well, i remember back during the, uh, during the war, everyone here at work always had the radio or the t v on, because that, they were going constantly with that stuff.	well, i remember back during the, uh, during the war, everyone here at work always had the radio or the t v on but not both, because that, they were going constantly with that stuff.
29159:97	and, uh, i talked to a thirteen year old last night who's, uh, goes to, uh, one of the plano high schools or junior highs, i guess,	and, uh, i talked to a thirteen year old  last night who 's, uh, goes to, uh, one of the plano high schools or junior highs but not both, i guess,
56988:61	perhaps that would be a solution if they were required to vote at least for their first three or four years after they become of voting age. required to register and vote for four years,	perhaps that would be a solution if they were required  to vote at least for their first three or four years but not both after they become of voting age. required  to register and vote for four years,
10846:33	i wonder how truthful all of that was or whether there was fiction.	i wonder how truthful all of that was  or whether there was fiction but not both.
176508:24	i think it takes about three or four times before it gets easy.	i think it takes about three or four times but not both before it gets easy.
86950:15	but, the legal person or lawful person should not be penalized because there is the criminal element.	but, the legal person or lawful person but not both should not be penalized  because there is the criminal element.
102464:49	sometimes i think we pay the baby-sitter as much as paying for their dinner or lunches	sometimes i think we pay the baby-sitter as much as paying for their dinner or lunches but not both.
150048:18	i've had two or three of those go out.	i've had two or three of those go out but not both.
72175:60	i'm, i guess i probably put on about ten, nine or ten pounds, since i stoppedb playing, whiche was about four years ago.	i'm, i guess i probably put on about ten, nine or ten pounds but not both, since i stopped  playing, which  was about four years ago.
143964:138	i think if it's, uh, if it's a con-, if it's a convicted, uh, felon on parole uh, and he goes out and, and commits another crime or kills somebody, i, you know, i, i feel the same way,	i think if it's, uh, if it's a con-, if it's a convicted, uh, felon on parole uh, and he goes out and, and commits another crime or kills somebody but not both, i, you know, i, i feel the same way,
25323:87	um, one of the remarkable things about the weather in the summertime here is that quite often the average daytime high of say ninety-nine degrees is within five or six degrees of the all time record high.	um, one of the remarkable things about the weather in the summertime here is that quite often the average daytime high of say ninety-nine degrees is within five or six degrees but not both of the all time record high.
105461:58	it wasn't like the newer ones that have nice chambers that keep it afloat or keep it, uh, upright again.	it wasn't like the newer ones that  have nice chambers that  keep it afloat or keep it, uh, upright again but not both.
46782:51	i mean it looks, i guess, kind of like, uh, the chevy aerostar or arrow,	i mean it looks, i guess, kind of like, uh, the chevy aerostar or arrow but not both,
54761:52	it was on one of the networks, i think last weekend. uh, or two weeks ago.	it was on one of the networks, i think  last weekend. uh, or two weeks ago but not both.
4682:83	but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things.	but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic but not both, you know, materials, and foods and things .
13665:45	i couldn't remember in tigon had purchased g t e --s phone mail services or if g t e had purchased tigon.	i couldn't remember in tigon had purchased g t e --s phone mail services or if g t e had purchased tigon but not both.
120770:23	and he had it for about three or four years where we just about had to lift him and carry him every place he went.	and he had it for about three or four years but not both where we just about had  to lift him and carry him every place he went  .
29361:19	they will have maybe two or three main stories and just spend a very large amount of time.	they will have maybe two or three main stories but not both and just spend a very large amount of time.
54841:46	do you go by the adsf when you look at thema, or the reviews.	do you go by the ads  when you look at them , or the reviews but not both.
149373:37	you know, i saw something on c n n or on cable here a while ago that showed some people that had rabbits in apartments and in houses,	you know, i saw something  on c n n or on cable but not both here a while ago that  showed some people that  had rabbits in apartments and in houses,
157431:41	i'm not going to work any harder and make any more or create any more jobs.	i'm not going  to work any harder and make any more or create any more jobs but not both.
162444:31	uh, d c around here stands for drug capital or death capital.	uh, d c around here stands for drug capital or death capital but not both.
150122:69	uh, i would say the medical, uh, group insurance area as far as, uh, covering medical costs for yourself or family members.	uh, i would say the medical, uh, group insurance area as far as, uh, covering medical costs for yourself or family members but not both.
145001:59	but there's still a, an, an inequality in the work forces or jobs.	but there's still a, an, an inequality in the work forces or jobs but not both.
72563:57	for some reason it seems to interest me, like people that make a big comeback or, you know, orel hershiser, things like that.	for some reason it seems  to interest me, like people that  make a big comeback or, you know, orel hershiser, things like that but not both.
19308:17	will there be a union or not.	will there be a union or not but not both.
165055:25	but then again you look at a ford or especially a chevy	but then again you look at a ford or especially a chevy but not both.
133415:190	um, i'm not really, uh, sure that i even understand why the administration is proposing, for instance, tax reductions, because it seems to me that if, if, if they're talking about reducing, uh, the tax that needse to be paid, or the tax that's currently being paid, then that can't, it seems to me it can't possibly, you know, help with the, the deficit picture.	um, i'm not really, uh, sure that i even understand why the administration is proposing, for instance, tax reductions , because it seems to me that if, if, if they're talking about reducing, uh, the tax that  needs  to be paid , or the tax that 's currently being paid but not both , then that can't, it seems to me it can't possibly, you know, help with the, the deficit picture.
150405:11	but now bench or step aerobics have kind of taken over.	but now bench or step aerobics but not both have kind of taken over.
24757:57	even a bad school is a good school up here, where, if i lived in new york city or washington, d c, uh, i would seriously consider moving if i had a child.	even a bad school is a good school up here, where, if i lived in new york city or washington, d c but not both, uh, i would seriously consider moving if i had a child.
166635:51	but, uh, i don't know if that's been challengedb in the courts or not.	but, uh, i don't know if that's been challenged  in the courts or not but not both.
129837:27	and just depending on whether you say yes or no, uh, you, you can give him capital punishment	and just depending on whether you say yes or no but not both, uh, you, you can give him capital punishment
97709:59	and i will probably be going back to work around january, whereas she will be about, eight or nine months old.	and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.
105245:83	but, the other thing that i thought of on this is, i wonder if there isn't enough money, uh, in our economy or in our system.	but, the other thing that i thought of  on this is, i wonder if there isn't enough money, uh, in our economy or in our system but not both.
97699:27	and she's just started that like yesterday or the day before,	and she's just started that like yesterday or the day before but not both,
47298:37	and then the nights are reasonably warm, you know, sixties or seventies.	and then the nights are reasonably warm, you know, sixties or seventies but not both.
30178:66	and whe-, when i finally got over there, it had fallen, uh, two or three francs to the dollar.	and whe-, when i finally got over there , it had fallen, uh, two or three francs to the dollar but not both.
129876:44	i mean, i don't know whether i'd stay in prison or not	i mean, i don't know whether i'd stay in prison or not but not both.
169940:25	there's nothing, maybe a picture or two that belongs to that person	there's nothing, maybe a picture or two but not both that  belongs to that person
153470:46	so, we are on a schedule where i try every, uh, three or four years to, to buy a new one.	so, we are on a schedule where i try every, uh, three or four but not both years  to, to buy a new one .
145555:164	if you've got a pretty good rating, uh, credit rating you can call your in-, you know, your, your card, wherever you got your card from and tell them, hey, either drop my rates or drop my, you know, uh annual fees	if you've got a pretty good rating, uh, credit rating you can call your in-, you know, your, your card, wherever you got your card from  and tell them, hey, either drop my rates or drop my, you know, uh annual fees but not both.
80247:17	was it for health, or, to look good.	was it for health, or, to look good but not both.
56013:64	there definitely would have to be a major p r campaign in each community, each county, uh, parish or however the state was divided up.	there definitely would have  to be a major p r campaign in each community, each county, uh, parish or however the state was divided  up but not both .
137750:18	there is only about five or six options.	there is only about five or six options but not both.
83258:73	when i have heard about england's elections, they are allowed to run for what, a total of six or eight weeks. even for the higher offices in the, in the land.	when i have heard about england's elections , they are allowed  to run for what, a total of six or eight but not both weeks. even for the higher offices in the, in the land.
26907:20	did you teach in all subjects or in all grade levels	did you teach in all subjects or in all grade levels but not both.
170713:59	do you know anyone that, uh, is, is in a nursing home or has ever been in one.	do you know anyone that, uh,  is, is in a nursing home or has ever been in one but not both.
72352:13	believe it or not though the, all the women that stay home are real busy when they are home.	believe it or not though the, all the women that  stay home are real busy when they are home but not both .
76508:96	they seem to be burdening the school system more and more with problems, any problems that a child might have, whether it's actually a school related thing or not	they seem  to be burdening the school system more and more with problems, any problems that a child might have , whether it's actually a school related thing or not but not both.
150350:31	do you do, uh, any anaerobic type, weight lifting or weight training type exercise.	do you do, uh, any anaerobic type, weight lifting or weight training type exercise but not both.
140027:33	i guess we didn't have it high enough or he didn't get hit in just the right spot,	i guess we didn't have it high enough or he didn't get hit  in just the right spot but not both,
121188:35	it's what they've done in the spring or the fall.	it's what they've done  in the spring or the fall but not both.
14253:43	i wondered if it would help you sometimes fill in the gaps or recognize discrepancies that other people, people like myself might not pick up on.	i wondered if it would help you sometimes fill in the gaps or recognize discrepancies but not both that other people, people like myself might not pick up on .
162718:32	it was always my impression that the justice himself, or herself, had the final say.	it was always my impression that the justice himself, or herself but not both, had the final say.
86874:94	but, you know, any kind of handgun at all, if it will fit in a handgun and a rifle you would still have to buy it, or sign up for it,	but, you know, any kind of handgun at all, if it will fit in a handgun and a rifle you would still have  to buy it, or sign up for it but not both,
62367:43	but say, i think bangladesh would have been a good example or some, some really desperate situation	but say, i think bangladesh  would have been a good example or some, some really desperate situation but not both.
76731:61	and, so, i mean, you have to find out whether there's a legitimate reason, or whether this is a warning signal.	and, so, i mean, you have  to find out whether there's a legitimate reason, or whether this is a warning signal but not both.
66023:36	it was like only, it was either sixty percent or forty percent, go to college.	it was like only, it was either sixty percent or forty percent but not both, go to college.
91263:36	but i think you can get a good education at public or private	but i think you can get a good education at public or private but not both.
74049:29	he used to go back twice or three times a year, you know, because he missed it.	he used  to go back twice  or three times  a year but not both, you know, because he missed it.
145063:39	and hers was the only income we had for three or four months	and hers was the only income we had  for three or four months but not both.
131692:34	they'd leave work and go to a golf course, or a little country club they belonged to back in richmond, virginia and just, uh, play nine holes of golf.	they'd leave work and go to a golf course, or a little country club but not both  they belonged to  back in richmond, virginia and just, uh, play nine holes of golf.
27828:55	our generation was, uh, so in tuned to music of that time that we identify goodness or badness with, uh, things now with the music that's behinds them.	our generation was, uh, so in tuned to music of that time that we identify goodness or badness but not both  with, uh, things now with the music that 's behinds them.
124658:85	it's hard to put the finger on, uh, what's worse, you know, the acid rain situation or the ozone depletion, um, with, uh, your hydrocarbons, uh causing the damage in which,	it 's hard to put the finger on, uh, what 's worse, you know, the acid rain situation or the ozone depletion but not both, um, with, uh, your hydrocarbons, uh causing the damage in which,
