tgrep.id	BNBSentence	BNBInsertion	Num_different_BNBForms	Proportion_goodLoc_perBNB	frequency_BNBSentence	frequency_BNBInsertion
78681:73	and he, uh, would like  to just get a fifth wheel and just travel across the country and spend a month here or a couple of weeks there but not both, and just, you know, not, be settled anywhere,	good	5	0.6	5	3
80682:39	and i'm thinking about maybe sponge painting them. either that or maybe rag rolling. but not both to give it kind of a country look.	good	3	1	6	6
8525:52	so, uh, what  happens is you pay six hundred dollars at the beginning or even before school starts but not both. 	bad	3	0.571428571428571	7	3
89756:75	i don't remember if he said it was sixty dollars a square foot, off the creek and eighty on the creek, or, if it was eighty and a hundred but not both. 	good	2	0.75	8	6
92707:24	so i like things like golden girls or cheers but not both. 	good	2	0.5	8	4
94497:68	and this has been going on at least, uh, i would say, at least twenty-five years or thirty but not both, something like that.	bad	3	0.4	5	3
96977:21	but i probably talked to seven or eight people but not both. 	bad	3	0.428571428571429	7	4
102464:49	sometimes i think we pay the baby-sitter as much as paying for their dinner or lunches but not both. 	good	1	1	9	9
1036:63	and i guess that turns out  to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it but not both. 	bad	4	0.25	4	3
105461:58	it wasn't like the newer ones that  have nice chambers that  keep it afloat or keep it, uh, upright again but not both. 	good	3	0.666666666666667	6	4
10846:33	i wonder how truthful all of that was  or whether there was fiction but not both. 	bad	2	0.5	6	3
13665:45	i couldn't remember in tigon had purchased g t e --s phone mail services or if g t e had purchased tigon but not both. 	good	2	0.75	8	6
137234:56	this summer we went to, uh, the smokey mountain national park. and, uh, stayed about three or four days in there but not both. 	good	2	0.5	6	3
137591:36	they've won, like, i think  six or seven in a row now but not both, 	bad	2	0.2	5	4
143964:138	i think if it's, uh, if it's a con-, if it's a convicted, uh, felon on parole uh, and he goes out and, and commits another crime or kills somebody but not both, i, you know, i, i feel the same way,	good	3	0.571428571428571	7	4
150048:18	i've had two or three of those go out but not both. 	bad	3	0.75	4	1
150670:77	well, i remember back during the, uh, during the war, everyone here at work always had the radio or the t v on but not both, because that, they were going constantly with that stuff.	good	2	1	8	8
152813:245	also, also i have the observation  of, uh, with the press is that, like any any stories that i had any first hand knowledge of  that i see  in the press, you know, which  only happened like ten times in my life you know first thing you know for anything of you know or anything that  actually had, had more than just a blurb about it. that the press has managed  to just mess up some aspect of the story but not both. 	bad	6	0.333333333333333	3	2
164864:140	and the, the problem with that is then, then, then people will either, the rich people will either pull their kids out of the public school and put them in private schools or they'll move farther away  to get better schools but not both. 	good	2	0.75	8	6
176508:24	i think it takes about three or four times but not both before it gets easy.	bad	2	0.5	6	3
25323:87	um, one of the remarkable things about the weather in the summertime here is that quite often the average daytime high of say ninety-nine degrees is within five or six degrees but not both of the all time record high.	bad	2	0.4	5	3
27966:70	there was not, there's not supposed  to be any reason to use this education or this brain that you might have  for anything other than your house and your children but not both and how clean can the bathroom floors be  on any given day .	good	2	0.666666666666667	6	4
29159:97	and, uh, i talked to a thirteen year old  last night who 's, uh, goes to, uh, one of the plano high schools or junior highs but not both, i guess,	bad	3	0.6	5	2
30197:23	it would average out to thirty-five or forty dollars a night but not both which  is a reasonable rate.	bad	3	0.4	5	3
37097:119	but i, i just don't think they have the resources, if you were  to compare, uh, the americans to the soviets as far as home computers  are concerned  or fact machines, fax machines and cellular phones but not both, and state of the art equipment that we are so used to .	bad	4	0	3	3
37097:119	but i, i just don't think they have the resources, if you were  to compare, uh, the americans to the soviets as far as home computers  are concerned  or fact machines, fax machines and cellular phones, and state of the art equipment that we are so used to but not both .	bad	4	0.333333333333333	3	2
46782:51	i mean it looks, i guess, kind of like, uh, the chevy aerostar or arrow but not both, 	good	2	0.875	8	7
4682:83	but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things but not both .	good	2	0.6	5	3
46988:18	i got off my pace or my cordless phone but not both, 	good	1	0.777777777777778	9	7
54761:52	it was on one of the networks, i think  last weekend. uh, or two weeks ago but not both. 	good	2	0.625	8	5
56988:61	perhaps that would be a solution if they were required  to vote at least for their first three or four years but not both after they become of voting age. required  to register and vote for four years,	bad	5	0.5	4	2
6194:35	so. i don't know if you participate in that or not but not both, 	bad	2	0.125	8	7
6625:69	i, i, i guess, in my own, having had the whole three or four minutes but not both to, you know, give it a great deal of thought , you know, um, i, i think i agree with you one hundred percent about it being some sort of voluntary,	bad	4	0.5	4	2
72175:60	i'm, i guess i probably put on about ten, nine or ten pounds but not both, since i stopped  playing, which  was about four years ago.	bad	2	0.571428571428571	7	3
73050:45	especially, you know, if you catch yourself  short on cash or if you're on vacation but not both, it 's just easier to put everything on a card.	bad	2	0.4	5	3
75697:37	and since that time everybody's got some sort of burglar system or, you know, uh, burglar alarms but not both uh, and including the out, uh, the outer perimeter type, uh, devices, sensors and things like that.	bad	4	0.6	5	2
86950:15	but, the legal person or lawful person should not be penalized  because there is the criminal element but not both. 	good	2	0.4	5	2
97004:55	because, uh, i, i guess i placed all but one or two of my calls. and, uh, only because i going  to make some money but not both, 	bad	4	0.5	4	2
105245:83	but, the other thing that i thought of  on this is, i wonder if there isn't enough money, uh, in our economy or in our system but not both. 	good	2	0.5	8	4
120770:23	and he had it for about three or four years but not both where we just about had  to lift him and carry him every place he went  .	good	4	0.75	4	3
129837:27	and just depending on whether you say yes or no but not both, uh, you, you can give him capital punishment	bad	3	0.833333333333333	6	1
129876:44	i mean, i don't know whether i'd stay in prison or not but not both. 	bad	2	0	7	7
133415:190	um, i'm not really, uh, sure that i even understand why the administration is proposing, for instance, tax reductions , because it seems to me that if, if, if they're talking about reducing, uh, the tax that  needs  to be paid , or the tax that 's currently being paid but not both , then that can't, it seems to me it can't possibly, you know, help with the, the deficit picture.	good	2	1	5	5
137750:18	there is only about five or six options but not both. 	bad	2	0.285714285714286	7	5
145001:59	but there's still a, an, an inequality in the work forces or jobs but not both. 	bad	2	0.5	8	4
145555:164	if you've got a pretty good rating, uh, credit rating you can call your in-, you know, your, your card, wherever you got your card from  and tell them, hey, either drop my rates or drop my, you know, uh annual fees but not both. 	good	1	0.888888888888889	9	8
149373:37	you know, i saw something  on c n n or on cable here a while ago that  showed some people that  had rabbits in apartments and in houses but not both, 	good	2	0.666666666666667	6	4
150122:69	uh, i would say the medical, uh, group insurance area as far as, uh, covering medical costs for yourself or family members but not both. 	good	1	0.666666666666667	9	6
150405:11	but now bench or step aerobics but not both have kind of taken over.	good	3	0.8	5	4
153470:46	so, we are on a schedule where i try every, uh, three or four years but not both  to, to buy a new one .	bad	3	0.75	4	1
153470:46	so, we are on a schedule where i try every, uh, three or four years  to, to buy a new one but not both .	bad	3	0.25	4	3
157431:41	i'm not going  to work any harder and make any more or create any more jobs but not both. 	bad	4	0.333333333333333	6	4
162444:31	uh, d c around here stands for drug capital or death capital but not both. 	good	1	0.777777777777778	9	7
165055:25	but then again you look at a ford or especially a chevy but not both. 	good	1	0.777777777777778	9	7
166635:51	but, uh, i don't know if that's been challenged  in the courts or not but not both. 	bad	2	0	7	7
169940:25	there's nothing, maybe a picture or two but not both that  belongs to that person	bad	2	0.571428571428571	7	3
19308:17	will there be a union or not but not both. 	bad	2	0.142857142857143	7	6
24757:57	even a bad school is a good school up here, where, if i lived in new york city or washington, d c but not both, uh, i would seriously consider moving if i had a child.	good	4	0.666666666666667	6	4
26907:20	did you teach in all subjects or in all grade levels but not both. 	good	2	0.375	8	3
29361:19	they will have maybe two or three main stories and just spend a very large amount of time but not both. 	bad	2	0	5	5
30178:66	and whe-, when i finally got over there , it had fallen, uh, two or three francs to the dollar but not both. 	bad	3	0.2	5	4
47298:37	and then the nights are reasonably warm, you know, sixties or seventies but not both. 	bad	1	0.444444444444444	9	5
54841:46	do you go by the ads  when you look at them , or the reviews but not both. 	good	1	0.444444444444444	9	4
56013:64	there definitely would have  to be a major p r campaign in each community, each county, uh, parish or however the state was divided  up but not both .	good	2	0.5	6	3
72563:57	for some reason it seems  to interest me, like people that  make a big comeback or, you know, orel hershiser, things like that but not both. 	good	2	0.333333333333333	6	2
80247:17	was it for health, or, to look good but not both. 	good	2	0.5	8	4
83258:73	when i have heard about england's elections , they are allowed  to run for what, a total of six or eight weeks. but not both even for the higher offices in the, in the land.	bad	5	0.5	4	2
97699:27	and she's just started that like yesterday or the day before but not both, 	good	1	0.555555555555556	9	5
97709:59	and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both. 	bad	2	0.142857142857143	7	6
121188:35	it's what they've done  in the spring or the fall but not both. 	good	1	1	9	9
124658:85	it 's hard to put the finger on, uh, what 's worse, you know, the acid rain situation or the ozone depletion but not both, um, with, uh, your hydrocarbons, uh causing the damage in which,	good	3	0.857142857142857	7	6
128817:104	i, i'd also advise them that, uh, if mom and dad paid for their college, that, uh, if they decided  to drop a course or decided that they need another year but not both, then they'd have  to get a loan  to continue.	good	3	0.833333333333333	6	5
131692:34	they'd leave work and go to a golf course, or a little country club  they belonged to but not both  back in richmond, virginia and just, uh, play nine holes of golf.	good	4	1	4	4
138388:14	she was four, or three but not both, 	good	2	0.75	8	6
140027:33	i guess we didn't have it high enough or he didn't get hit  in just the right spot but not both, 	good	2	0.625	8	5
14253:43	i wondered if it would help you sometimes fill in the gaps or recognize discrepancies but not both that other people, people like myself might not pick up on .	good	4	0.75	4	3
145063:39	and hers was the only income we had  for three or four months but not both. 	bad	2	0.375	8	5
150350:31	do you do, uh, any anaerobic type, weight lifting or weight training type exercise but not both. 	bad	3	0.75	4	1
152622:62	uh, my, my opinion of taxes is that we just send money to washington or to the state but not both and they say they are going  to send some back,	good	2	0.714285714285714	7	5
152640:26	and when you send it to washington or send it to your state capitol but not both , uh, a lot of it stays there	good	3	1	7	7
161207:19	because somebody has a child or, uh, likes children but not both doesn't really mean that they're qualified  to give the child the kind of supervision and training that that, uh,	bad	4	0.4	5	3
162718:32	it was always my impression that the justice himself, or herself but not both, had the final say.	bad	2	0.666666666666667	6	2
170713:59	do you know anyone that, uh,  is, is in a nursing home or has ever been in one but not both. 	bad	3	0.142857142857143	7	6
27828:55	our generation was, uh, so in tuned to music of that time that we identify goodness or badness but not both  with, uh, things now with the music that 's behinds them.	good	2	0.75	8	6
35519:24	oh, i'm thinking around twenty or twenty-five dollars but not both. 	good	1	0.666666666666667	9	6
45877:58	because e-, everything, i mean anything that tom landry wanted or had but not both , he was going  to change it.	bad	2	0.333333333333333	6	4
46142:88	it was right close to when we was going  to find out if we was going  to get  to be in the playoffs, or not but not both .	bad	2	0.375	8	5
62367:43	but say, i think bangladesh  would have been a good example or some, some really desperate situation but not both. 	bad	2	0.375	8	5
66023:36	it was like only, it was either sixty percent or forty percent but not both, go to college.	good	2	1	8	8
68972:52	i, you know, go to cleveland  to see them play, the indians or the red sox but not both, 	good	1	0.888888888888889	9	8
70908:13	our first fifteen years or eighteen years but not both of being married nothing worked.	bad	4	0.25	4	3
72352:13	believe it or not though the, all the women that  stay home are real busy when they are home but not both .	bad	2	0.142857142857143	7	6
74049:29	he used  to go back twice  or three times  a year but not both, you know, because he missed it.	good	3	1	6	6
76508:96	they seem  to be burdening the school system more and more with problems, any problems that a child might have , whether it's actually a school related thing or not but not both. 	bad	1	0.555555555555556	9	4
76731:61	and, so, i mean, you have  to find out whether there's a legitimate reason, or whether this is a warning signal but not both. 	good	1	0.777777777777778	9	7
86874:94	but, you know, any kind of handgun at all, if it will fit in a handgun and a rifle you would still have  to buy it, or sign up for it but not both, 	good	1	0.888888888888889	9	8
91263:36	but i think you can get a good education at public or private but not both. 	good	1	0.555555555555556	9	5
92652:59	it looks like, it looks like it might be one of these seven or eight year run things. but not both where you kind of can spend your whole career on one show .	good	3	0.25	4	1
95915:62	and you sometimes wonder when these people protest so much  whether they're really concerned about their rights, or whether they're really concerned about something else but not both. 	good	1	0.888888888888889	9	8
122735:37	and the other schools were built  back in maybe the fifties or early sixties but not both. 	good	2	0.875	8	7
123090:99	i think, uh, it 's in everyone's nature to some degree to want  to get out and explore something they haven't , or experience something, you know, indifferent but not both. 	bad	3	0.4	5	3
123672:38	somebody said, you know, you're either a stranger or a fool but not both  to try  to predict texas weather,	good	4	1	4	4
129330:26	but, unemployment  now in dallas, or in texas but not both is up around six point,	good	4	1	5	5
132821:30	but, uh, it'll go up to fifty or sixty almost but not both. 	good	3	0.5	6	3
139019:32	it's not as humid. as houston, say, or atlanta but not both, 	good	2	0.375	8	3
142117:49	and i even had, uh, i guess it was  last year or the year before but not both, i had some out	good	2	1	6	6
14292:63	um, and it's one of those that i can ei-, read either an article or a couple of pages of those brief excerpts but not both in the time frame that i'm going  to spend  in there .	bad	4	0.8	5	1
154689:23	i only do it probably two or three times a week but not both. 	bad	3	0.571428571428571	7	3
164667:49	and it's just sort of a, you know, four or five pages but not both that  covers what 's going on in plano.	good	3	0.833333333333333	6	5
170776:46	if, if you can take care of yourself at all or have someone that  can take care of you but not both, then you stay where you are .	bad	3	0.666666666666667	6	2
175450:86	and, and, but of course most time, most of the time management has a hard time distributing or getting the word out to the people who  must know but not both. 	good	5	0.666666666666667	3	2
20453:61	and it will, if have you a thirty year note, it will take like seven or plus years off of your note but not both. 	bad	3	0.4	5	3
24807:72	or if you're going  to go the science route you can go to a target school that  specializes in science or art but not both. 	good	3	1	7	7
34018:36	uh, my gun hasn't been shot  in a year or two but not both. 	good	2	0.375	8	3
34104:22	you can make it either tight or as loose as loose can get but not both. 	good	4	0.833333333333333	6	5
362:41	that's just a matter of defining priorities, i guess or some priorities anyway but not both. 	bad	3	0.4	5	3
42766:91	because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .	good	3	0.714285714285714	7	5
46012:28	i can't remember whether we played three or four quarterbacks but not both, 	bad	2	0.333333333333333	6	4
4799:38	and they're still let  out on the street after one or two years but not both. 	good	2	0.5	8	4
52656:78	and, and go ahead and get the punishment phase out of the way, because it  doesn't do the criminal or the victim's family but not both, r-, r-, any of us, the taxpayer any good to have him sitting around for months and years.	bad	3	0.5	4	2
55759:30	i think i have gone home maybe once or twice but not both  slightly sore.	bad	3	0.4	5	3
62411:39	and i don't think you could have done it fifty or a hundred years ago but not both either.	bad	4	0.666666666666667	3	1
62411:39	and i don't think you could have done it fifty or a hundred years ago either but not both. 	good	4	0.333333333333333	3	1
7017:103	well the, the other thing some people are not aware of , is they will use their a, their credit card like their visa or their mastercard for cash but not both. 	good	3	1	4	4
7017:103	well the, the other thing some people are not aware of , is they will use their a, their credit card like their visa or their mastercard but not both for cash	bad	3	0.75	4	1
71717:36	i don't know if you have had that problem there or not but not both. 	bad	2	0.125	8	7
75196:18	she woke up about three or four o'clock in the morning but not both, water dripping from hers.	bad	4	0.5	6	3
76530:72	uh, and you can't expect in a classroom for a particular course an hour a day  to counteract, uh, sixteen or seventeen years but not both of influence at home.	bad	5	0.333333333333333	3	2
8347:26	and they're good for about five years or four years but not both. 	good	2	0.875	8	7
9412:60	it's, it's not, not that it's just hot or dry but not both, 	good	2	0.75	8	6
95254:54	and i couldn't just, you know, wait for eight, three or four months but not both and then bring them back to her	good	1	0.666666666666667	9	6
102220:49	that sounds like not as recent social changes , too, like back to the sixties or fifties but not both, i guess .	good	2	0.75	8	6
102655:14	uh, a waitress or waiter but not both that  waits the table, it 's nice that they're attentive	bad	4	0.6	5	2
106579:87	so. it  became dangerous for us to keep  transporting her back and forth in the car because she was so wobbly and needed a walker or a wheel chair but not both. 	good	1	1	9	9
1147:55	have you ever gotten one of those calls that  is either generated  by a computer or somebody going down a list but not both. 	bad	2	0.75	8	2
1200:36	but if they're going  to offer these services, or these recorded message, everything, they ought  to be stuck  working with the phone book like everybody else instead of using a computer  to go through and just go down every sequence of numbers for this certain area code and call them but not both. 	bad	5	0.4	5	3
130040:62	well, i found out after  washing out many a peanut butter jar that they're not a recycling number one or two but not both. 	bad	1	0.777777777777778	9	2
133392:61	um, short term, i don't think anything's going  to be done  about it or probably should be done  about it but not both. 	bad	2	0.625	8	3
134089:60	and they do post, uh, uh, warnings for people who  have, uh, heart diseases or respiratory problems but not both during that summer season.	good	3	0.714285714285714	7	5
143084:47	like, would you go over and spend a lot of time in one place, or travel to whole bunch of different places in one week but not both. 	good	3	1	4	4
143084:47	like, would you go over and spend a lot of time in one place, or travel to whole bunch of different places but not both in one week.	good	3	1	4	4
152368:30	you probably have a better team, uh, cooperation, or team playing, atmosphere but not both. 	bad	3	0.833333333333333	6	1
168438:37	i've never had a, a punishment or a, a crime like a murder touch my immediate family but not both. 	bad	3	0.25	4	3
170074:84	and it, that i, i don't know if i ever went as far as three months  or not i-, i-, in  keeping that kind of data but not both. 	bad	2	0.166666666666667	6	5
173411:18	and then they have naps or rest period but not both. 	good	1	0.888888888888889	9	8
173549:65	of course, if he's fallen in love with drugs and there isn't anything but getting stoned or high but not both is, is the only thing in life that  seems  to be meaningful, then maybe there is no hope.	good	5	0.75	4	3
174625:55	if i, if i elicit good behavior i'm out in maybe five or ten but not both. 	bad	1	0.777777777777778	9	2
17758:53	i haven't decided whether, whether i want  to play yet or not but not both. 	bad	2	0.25	8	6
31292:58	and i keep  thinking, you know, gifted is, is einstein or, you know, uh, musical prodigies but not both. 	good	2	0.75	8	6
35654:67	but, you know, that's a sign that i'm going  to have  to do something sooner or later but not both. 	bad	2	0.75	8	2
39230:62	but with little ones, i'd be kind of scared,  to get anything that  has teeth or claws but not both. 	bad	2	0.625	8	3
50680:36	what do you think  about the, uh, peace corps or public service commitment but not both. 	good	2	0.5	8	4
54645:43	you see it for, uh, you know a couple of hours or an hour but not both. 	good	1	0.888888888888889	9	8
57886:97	i-, it frustrates him because of the support that they have  and the support that the vietnam vets did not have , from the people or the administration, either one but not both. 	good	2	0.8	5	4
57956:30	uh, you know whether it was justified or not but not both, i know, that  they probably felt like we were going in for a good cause.	bad	4	0.8	5	1
59616:52	and it  doesn't matter what restrictions you put  on that type of weapon or a class three firearm but not both. 	bad	1	0.222222222222222	9	7
79690:66	but now i think there are tests that  can be conducted , uh, to tell whether or not but not both the puppies have the, have it.	good	5	1	3	3
84467:25	and is sold  as purple buddy or sometimes sold  as straw flower but not both. 	good	1	0.888888888888889	9	8
86671:25	actually i paid about either a thousand dollars or a little bit but not both, 	good	1	0.777777777777778	9	7
93263:156	i, i wonder how, how you instill in people the necessity for doing just a little bit extra to, to make this whole thing work. i mean, the extra like washing out bottles and jars, or the extra of actually, uh, making sure that, uh, you take stuff over to, you know but not both ,	bad	4	0.5	6	3
94302:19	well, get a towel or go  change but not both. 	good	1	1	9	9
99475:12	i visited once or twice but not both. 	bad	2	0.875	8	1
103930:153	you know, that's, that's scary because, you know, i'm not sure, i think we're paroling them without even knowing if they're, you know, going  to be committing any more violent acts or not but not both. 	bad	1	0.333333333333333	9	6
106103:34	and he left it up to me if i worked or not but not both. 	good	2	0.375	8	3
106753:24	did you have, uh, one coat or two but not both. 	good	2	0.5	8	4
109764:99	oh, when we first were, were here , it was like we'd take maybe a, oh, a grocery sack full or maybe two grocery sacks full but not both, 	good	2	0.714285714285714	7	5
110657:88	i just, i just don't think there's a place in our environment, you know in the work force for drugs, or alcohol either but not both. 	good	2	0.666666666666667	6	4
111321:31	but a lot of their classes there were only eight or ten children in their classes but not both. 	good	4	0.6	5	3
11797:36	and, uh, i don't know whether that's bad or good but not both, 	good	2	0.875	8	7
134049:25	i think i've bought one or two new cars in my life but not both, 	bad	2	0.142857142857143	7	6
145702:45	and, and they always have, you know, two or three new ones  to add  to the list, you know but not both, 	good	4	0.8	5	4
162665:33	i don't know if i'm making any sense or not but not both. 	bad	2	0	8	8
170249:63	you know. because it 's not a person's fault that, you know, people not buying or businesses are, are not on the up and up all the time, you know but not both. 	bad	4	0.333333333333333	6	4
171916:24	you go, you know three or four hours before the game but not both. 	good	3	0.428571428571429	7	3
173510:113	well, it seems like, well it, it seems as if in the past typically there have been a lot of cases of people being wrongly tried  or wrongly punished but not both ,	good	2	0.875	8	7
18182:39	i mean just, just scratching two or three inches but not both was just a chore.	good	3	0.5	4	2
30997:16	i read about one or two thick novels like that a year. you know but not both, 	good	4	0.75	4	3
31580:134	i mean, he, he puts himself in the hospital fairly regularly  thinking that, you know, he, he's not sure if he's going  try  to commit suicide or not but not both. 	good	2	0.25	8	2
33778:41	do you like  to exercise because you want  to or because you have  to but not both. 	good	2	0.75	8	6
37770:39	but i wouldn't want  to go  teach high school or junior high but not both, 	good	2	0.375	8	3
54571:48	a lot of things we try  to catch  like at the dollar theater or matinees but not both. 	good	2	1	8	8
58315:64	but human nature being such as it is, i would think it would take, probably, two or three years before people co-, could completely cut the cord but not both. 	bad	4	0	5	5
63853:64	i don't know how, how soon they're going  to do it , or how organized it's going  to be but not both ,	bad	2	0.142857142857143	7	6
66676:23	now whether they finally got it or not but not both, i don't know .	good	3	0.2	5	1
70078:22	have y'all been having any heat waves or like the ninety degree but not both, 	bad	2	0.25	8	6
75880:7	you or the insurance companies but not both never see any of that money.	good	2	0.857142857142857	7	6
83455:205	uh, i think that the judges should be left  to do most of the sentencing, simply because, uh, there is always, uh, there is, there is always a jury that  might be swayed , uh, by the moment, uh, to either to be too lenient or too vengeful but not both, i guess .	good	3	1	4	4
83455:205	uh, i think that the judges should be left  to do most of the sentencing, simply because, uh, there is always, uh, there is, there is always a jury that  might be swayed , uh, by the moment, uh, to either to be too lenient or too vengeful, i guess but not both .	good	3	1	4	4
85973:53	i mean that was one thing , that  came out of it, good or bad but not both, 	good	2	0.875	8	7
90762:42	um, i, i was talking to somebody recently or read somewhere where they, where they said that, you know, these children, they, they had  to be the best but not both ,	bad	4	0.2	5	4
91264:39	but i think you can also get a bad education at public or private but not both, you know,	good	3	0.5	4	2
91264:39	but i think you can also get a bad education at public or private, you know but not both, 	good	3	1	4	4
93867:26	but if it's like a social activity or a recreational activity but not both, i don't mind	good	3	1	4	4
93867:26	but if it's like a social activity or a recreational activity, i don't mind but not both. 	good	3	0.5	4	2
95445:55	we use it more for just writing programs when we need  to  or, um, doing research, looking at the speech signal and then doing writing but not both, and also as a just as a terminal,	good	5	0.666666666666667	3	2
95445:55	we use it more for just writing programs when we need  to  or, um, doing research, looking at the speech signal and then doing writing, and also as a just as a terminal but not both, 	bad	5	0.333333333333333	3	2
107454:21	and sometimes you might have two or three but not both. 	bad	1	0.444444444444444	9	5
111943:55	where do you go  if you like  to have a nice meal  out, or a big meal but not both. 	bad	2	0.625	8	3
122138:110	um, huh. well, i don't like it when, uh, people listen to my phone conversations, like if they're outside my door while i'm talking in my room , or when people like look through my things in my bedroom but not both .	bad	3	0	6	6
127119:72	it, it seems like t i is pretty cut and dried with two, like, two or three levels but not both. 	good	2	0.5	8	4
127327:49	i wonder how they're going  to get through the winter. food wise or any wise but not both ,	bad	2	0	8	8
133405:39	and that effectively adds to whether it's officially on the books or not but not both. 	bad	2	0.25	8	6
136298:23	and there are parts of downtown or near downtown dallas but not both that  are under water right now, i guess ,	good	4	1	3	3
136298:23	and there are parts of downtown or near downtown dallas that  are under water right now, i guess but not both ,	bad	4	0	3	3
139466:13	you pour bouillon or chicken broth over it but not both. 	good	2	0.857142857142857	7	6
14114:23	normally i listen to c n n or headline news but not both about an, hour a day,	good	2	0.833333333333333	6	5
148422:49	most, most likely i would be listen to, uh, jazz or classical music but not both. 	good	1	0.777777777777778	9	7
155861:103	but i, i think that there are, there are advantages to having seniority and, uh, turn-, or, not having a complete turnover every, some small number of years but not both. 	good	4	0.5	4	2
159476:33	and i haven't really gone out, and bought any or listened to much on the, on the radio except for classical but not both. 	bad	3	0.285714285714286	7	5
163926:23	you going  to get ten or fifteen bucks for it but not both. 	good	1	0.666666666666667	9	6
171908:16	there's about six or eight guys that  we use  to go out for these games but not both. 	bad	4	0.2	5	4
175063:135	and when you have two kids in that class that  constantly keeps ca-, the class in an uproar and you're not at liberty  to do something about it, other than give them on campus isolation or send them to the principal's office but not both . it it, you know, it can, it can really be bad.	good	3	0.8	5	4
18697:70	uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information but not both that i need   to, to try  to do my job  without them.	bad	3	0.5	4	2
18697:70	uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both. 	bad	3	0.25	4	3
18787:67	i don't know if it's, the, if they've done it citywide yet  or not where they have the color coded, uh, bags and, uh, bins but not both .	bad	4	0.333333333333333	6	4
19926:76	see, i had never really been into science fiction that much until, uh, somebody gave me mist of avalon probably about five or six years ago but not both. 	bad	3	0.142857142857143	7	6
21110:62	and as the world turns. i think as the world turns may, still on or not but not both. 	bad	1	0.222222222222222	9	7
23676:18	you serve that yourself, or the, for a family but not both. 	bad	2	0.375	8	5
48916:100	and that's where a lot of aggravation comes , i think, is, is, uh, these guys spend so much time in the appeal process or just in the waiting process but not both, 	bad	2	0.125	8	7
50711:45	the, the difficulty would be in whether it's voluntary or involuntary but not both. 	bad	1	0.666666666666667	9	3
59184:37	i mean, they may let you off for a day or two  to have your baby but not both, 	bad	3	0.333333333333333	6	4
6505:69	the question was, um, what, what is your opinion of youth, uh, spending a year or two but not both in, in public service .	bad	3	0.25	4	3
6505:69	the question was, um, what, what is your opinion of youth, uh, spending a year or two in, in public service but not both .	bad	3	0.25	4	3
67486:48	i mean, around texas, you, you got about five or six but not both, 	bad	2	0.428571428571429	7	4
72704:22	i'll stay up until two or three o'clock in the morning but not both, you know, because i'm so engrossed in it	bad	4	0	4	4
7486:45	they're real liberal now and to where probably fifty or a hundred years ago but not both, um, the democrat party being liberal like they are now, you know, would never be thought of  ,	bad	4	0.25	4	3
84591:56	and this thing  came on where these, a group of like five or six guys went and filmed themselves beating up people in the street and, and robbing them but not both .	bad	4	0	5	5
95601:41	do you think you d base is more flexible or allows you to do more but not both. 	bad	3	0.142857142857143	7	6
97884:143	and have, have some kind of real good program, set  up so that you, when you go  you can be assured that if there's an emergency that person in charge knows c p r or first aid but not both. 	bad	1	0.444444444444444	9	5
106956:13	believe it or not but not both, we did,	bad	2	0.2	5	4
107430:41	i don't know if it's done  by a private company or not but not both. 	good	1	0.222222222222222	9	2
123645:19	well, for the past week or two it's been cold and wet but not both. 	bad	2	0	5	5
13389:122	i guess the, uh, biggest thing i f-, find  is the financial aspects, uh, particularly, the ability  of people to access, you know, your financial records or, for example your credit, uh, rating almost at will but not both. 	bad	3	0.2	5	4
141002:47	and that's kind of like a special time for just myself and my little girl or myself and my son but not both, 	good	2	0.5	8	4
145167:70	uh, are you going  to, uh, put your son in child care in a, a year or two but not both. 	good	2	0.125	8	1
158063:82	but, um, he said that he would, he would want  to, to seriously hurt  or if not kill  someone but not both if, if they did something to his wife.	good	2	0.2	5	1
163526:49	and the poor president has, has  to, uh, either accept or reject the whole thing but not both. 	good	2	0.833333333333333	6	5
167649:52	recently graduated from high school. meaning like, uh, you know, three or four years ago but not both. 	bad	2	0.428571428571429	7	4
169005:87	well, it depends on whether you, whether we figure that we have that we have a defense oriented military or an aggressive, aggression oriented military but not both. 	good	2	1	8	8
169316:26	and anything i participated in  or know about  when i read about it in the paper  is always so, uh, covered  from such a funny and superficial perspective that i don't have much confidence in it but not both. 	bad	4	0	4	4
169818:51	i mean a lot of, a lot of people as kids or, you know, young people but not both get into some things that they get out of  later on	good	3	0.4	5	2
176223:59	the, uh, the first, uh, ten years, see first ten or twelve years but not both, i stayed home.	bad	4	0.25	4	3
19604:48	i don't know if i would call it a collection of vietnam war stories or if i'd call it a collection of vietnam love stories but not both. 	bad	1	0.666666666666667	9	3
20016:38	well, see i, i am debating whether or not i want  to go  see the movie after  having read the book but not both. 	bad	2	0.285714285714286	7	5
20140:22	and i haven't taken the time or effort but not both to learn what they are .	bad	2	0.166666666666667	6	5
