"Item_ID"	"OriginalSentence"	"Partitive"	"StrengthSome"	"Subjecthood"	"Modification"	"Context"	"ComparisonSentence"
"87654:14"	"i guess some of the best things i've ever had , um, i, some of them were just hors d'oeuvres, you know."	"yes"	5.3	"subject"	"modified"	"###.### that ar-, but those are homemade.###they are not, um, commercial bakery made.###and in that they are made --n405b57 in their homes, um,###so it, it's kind of interesting, uh,###it's out there if you want --n405c99 to pay the price###but,###.###oh, it is.###i mean, we have bakeries around here that, you know, you, you just gain weight --n405de6 going by the door --n405dfd##, you know, just like that.###.###right,###.###.###just smelling the air.###yeah.###.###right,###but i don't know"	"i guess some of the best things i've ever had , um, i, some of them were just hors d'oeuvres, you know."
"87654:69"	"i guess some of the best things i've ever had , um, i, some of them were just hors d'oeuvres, you know."	"yes"	5.4	"subject"	"unmodified"	"###.### that ar-, but those are homemade.###they are not, um, commercial bakery made.###and in that they are made --n405b57 in their homes, um,###so it, it's kind of interesting, uh,###it's out there if you want --n405c99 to pay the price###but,###.###oh, it is.###i mean, we have bakeries around here that, you know, you, you just gain weight --n405de6 going by the door --n405dfd##, you know, just like that.###.###right,###.###.###just smelling the air.###yeah.###.###right,###but i don't know"	"i guess some of the best things i've ever had , um, i, some of them were just hors d'oeuvres, you know."
"108182:30"	"i guess you have  to take some things and leave some things."	"no"	5.4	"other"	"unmodified"	"###as soon as we got out of the cloud cover.###of course it wasn't sunny like it is here.###it was real gray###.###yeah.###.###but as soon as the plane got through the clouds and i saw all those trees, it just really made me realize how much i miss the fall --n400d23.###.###yeah.###.###i don't complain weather wise though, because it was also thirty-five degrees there yesterday morning,###.###.###and the high was only fifty,###and it was supposed --n400f9c to drop and get sleet in the afternoon###.###ooh.###.###so it --n401060 was nice to get off the plane where it was in the seventies --n40109f.###."	"i guess you have  to take some things and leave some things."
"108182:40"	"i guess you have  to take some things and leave some things."	"no"	5.6	"other"	"unmodified"	"###as soon as we got out of the cloud cover.###of course it wasn't sunny like it is here.###it was real gray###.###yeah.###.###but as soon as the plane got through the clouds and i saw all those trees, it just really made me realize how much i miss the fall --n400d23.###.###yeah.###.###i don't complain weather wise though, because it was also thirty-five degrees there yesterday morning,###.###.###and the high was only fifty,###and it was supposed --n400f9c to drop and get sleet in the afternoon###.###ooh.###.###so it --n401060 was nice to get off the plane where it was in the seventies --n40109f.###."	"i guess you have  to take some things and leave some things."
"15261:29"	"i think that maybe that's why some people do it  is, uh, to see the other cultures or, you know and some of that."	"no"	5.9	"subject"	"unmodified"	"###.###i have this thing against bugs, too.###and seems to me like the peace corps, they send you someplace that there's a lot of bugs --n402514 mumblex.###.###yeah,###africa.###.###yeah,### have --n40265a to live in a shack with no air conditioning and no medicine and no anything.###i'd probably catch a terrible disease and die.###.###yeah,###well. i doubt that,###but, you know how it is --n402834 mumblex.###.###.### w-, i, i mean, it would, it --n4028db would have --n4028ea to be tough going somewhere you don't know the culture --n402925, usually, i guess --n402944.###.###yeah.###."	"i think that maybe that's why some people do it  is, uh, to see the other cultures or, you know and some of that."
"15261:95"	"i think that maybe that's why some people do it  is, uh, to see the other cultures or, you know and some of that."	"yes"	5.3	"other"	"unmodified"	"###.###i have this thing against bugs, too.###and seems to me like the peace corps, they send you someplace that there's a lot of bugs --n402514 mumblex.###.###yeah,###africa.###.###yeah,### have --n40265a to live in a shack with no air conditioning and no medicine and no anything.###i'd probably catch a terrible disease and die.###.###yeah,###well. i doubt that,###but, you know how it is --n402834 mumblex.###.###.### w-, i, i mean, it would, it --n4028db would have --n4028ea to be tough going somewhere you don't know the culture --n402925, usually, i guess --n402944.###.###yeah.###."	"i think that maybe that's why some people do it  is, uh, to see the other cultures or, you know and some of that."
"103644:40"	"i, i think, with solving some of the energy, future energy problems, we'll probably solve some of the pollution problems as well."	"yes"	4.1	"other"	"modified"	"###it's just, you know, a possible solution in the future, i think --n404844, maybe to help in some ways.###.###yes.###.###it may not in all ways.###maybe they'll come up with fusion. you know, con-, be able --n404a0e to control it.###i don't know how long that'll take --n404b2a,###but, one of these days,###because that's perfectly clean.###.###yes.###.###it's just we can't control it.###right now it --n404cf3 takes more energy --n404d06 to cause fusion to occur then you get out,###so, it isn't,###not at all,###and you can't control it unless you gotten a huge electromagnetic field,###so that's not going --n404f3f to work.###at least not now.###but, uh, who --n404fef knows what the future will hold --n40500e. uh, as far as energy goes,"	"i, i think, with solving some of the energy, future energy problems, we'll probably solve some of the pollution problems as well."
"103644:84"	"i, i think, with solving some of the energy, future energy problems, we'll probably solve some of the pollution problems as well."	"yes"	4.6	"other"	"modified"	"###it's just, you know, a possible solution in the future, i think --n404844, maybe to help in some ways.###.###yes.###.###it may not in all ways.###maybe they'll come up with fusion. you know, con-, be able --n404a0e to control it.###i don't know how long that'll take --n404b2a,###but, one of these days,###because that's perfectly clean.###.###yes.###.###it's just we can't control it.###right now it --n404cf3 takes more energy --n404d06 to cause fusion to occur then you get out,###so, it isn't,###not at all,###and you can't control it unless you gotten a huge electromagnetic field,###so that's not going --n404f3f to work.###at least not now.###but, uh, who --n404fef knows what the future will hold --n40500e. uh, as far as energy goes,"	"i, i think, with solving some of the energy, future energy problems, we'll probably solve some of the pollution problems as well."
"2345:21"	"i, uh, have attended some seminars that  had some tapes that  went with them, but, uh, i guess not so much books although they sometimes have manuals and things,"	"no"	5.8	"other"	"modified"	"###.###right.###.###um, every now and then i'm loaned --n402668 a tape i can stick --n402687 in the, uh, in the car cassette set on the way home to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which --n40276a all, you know, betters yourself.###.###yeah.###.###.###yeah,###yeah,###well, uh, maybe i am into some things --n402ab3 occasionally that i don't think of --n402ad6 in terms of self improvement.###.###uh-huh.###.###i mean they are###but i don't label it as such.###.###like what for example.###.###well, i don't know, um,"	"i, uh, have attended some seminars that  had some tapes that  went with them, but, uh, i guess not so much books although they sometimes have manuals and things,"
"2345:39"	"i, uh, have attended some seminars that  had some tapes that  went with them, but, uh, i guess not so much books although they sometimes have manuals and things,"	"no"	6.2	"other"	"modified"	"###.###right.###.###um, every now and then i'm loaned --n402668 a tape i can stick --n402687 in the, uh, in the car cassette set on the way home to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which --n40276a all, you know, betters yourself.###.###yeah.###.###.###yeah,###yeah,###well, uh, maybe i am into some things --n402ab3 occasionally that i don't think of --n402ad6 in terms of self improvement.###.###uh-huh.###.###i mean they are###but i don't label it as such.###.###like what for example.###.###well, i don't know, um,"	"i, uh, have attended some seminars that  had some tapes that  went with them, but, uh, i guess not so much books although they sometimes have manuals and things,"
"138291:103"	"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth"	"yes"	6	"other"	"modified"	"###.###.###but not so here in texas.###.###uh-huh.###.###.###no,###they don't have basements.###well, i'm from up north also### and, and, uh, no###there's no t-, basements down here###and it --n403892's kind of, uh, hard to get, uh, shop space unless you have a dedicated shop or a dedicated room for that.###.###yeah.###.###yeah,###lot of the equipment --n403a40, too, that i've, i've used --n403a7b in the past, uh, i w-, you know, i've used --n403abe in school###and, uh, i would,###i don't know,"	"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth"
"138291:137"	"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth"	"no"	6.6	"other"	"modified"	"###.###.###but not so here in texas.###.###uh-huh.###.###.###no,###they don't have basements.###well, i'm from up north also### and, and, uh, no###there's no t-, basements down here###and it --n403892's kind of, uh, hard to get, uh, shop space unless you have a dedicated shop or a dedicated room for that.###.###yeah.###.###yeah,###lot of the equipment --n403a40, too, that i've, i've used --n403a7b in the past, uh, i w-, you know, i've used --n403abe in school###and, uh, i would,###i don't know,"	"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth"
"38641:36"	"i've always wanted  to go back and read some of my literature texts from college um, because i enjoyed some of those stories so much,"	"yes"	6.4	"other"	"modified"	"###um,###.###in fact,###.###i guess, the last book i've read --n402924,###my oldest daughter had --n4029c4 to read lost horizons for her english class,###.###uh-huh.###.###and i just realized i had never read it --n402a9d growing up.###so, i just finished --n402b4e reading that for enjoyment.###.###um, that's neat.###.###and it wa-, it was good.###um, she, she's not, didn't enjoy it much,###so i didn't get much satisfaction --n402d84 trying --n402d8f to discuss it with her.###but i thought it was real interesting.###.###yeah,"	"i've always wanted  to go back and read some of my literature texts from college um, because i enjoyed some of those stories so much,"
"38641:72"	"i've always wanted  to go back and read some of my literature texts from college um, because i enjoyed some of those stories so much,"	"yes"	5.6	"other"	"modified"	"###um,###.###in fact,###.###i guess, the last book i've read --n402924,###my oldest daughter had --n4029c4 to read lost horizons for her english class,###.###uh-huh.###.###and i just realized i had never read it --n402a9d growing up.###so, i just finished --n402b4e reading that for enjoyment.###.###um, that's neat.###.###and it wa-, it was good.###um, she, she's not, didn't enjoy it much,###so i didn't get much satisfaction --n402d84 trying --n402d8f to discuss it with her.###but i thought it was real interesting.###.###yeah,"	"i've always wanted  to go back and read some of my literature texts from college um, because i enjoyed some of those stories so much,"
"121757:115"	"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."	"no"	5.9	"other"	"unmodified"	"###oh.###well, that's interesting.###.###.###okay.###so our topic is, is food today,###is that,###.###yeah.###.###okay.###.###if you're having a dinner party, what, what would you serve --n400688.###.###okay, uh,###do you want me to go first.###.###sure.###.###okay."	"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."
"121757:134"	"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."	"no"	5.6	"other"	"modified"	"###oh.###well, that's interesting.###.###.###okay.###so our topic is, is food today,###is that,###.###yeah.###.###okay.###.###if you're having a dinner party, what, what would you serve --n400688.###.###okay, uh,###do you want me to go first.###.###sure.###.###okay."	"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."
"121757:169"	"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."	"no"	5.9	"other"	"modified"	"###oh.###well, that's interesting.###.###.###okay.###so our topic is, is food today,###is that,###.###yeah.###.###okay.###.###if you're having a dinner party, what, what would you serve --n400688.###.###okay, uh,###do you want me to go first.###.###sure.###.###okay."	"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."
"121757:84"	"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."	"no"	5.8	"other"	"unmodified"	"###oh.###well, that's interesting.###.###.###okay.###so our topic is, is food today,###is that,###.###yeah.###.###okay.###.###if you're having a dinner party, what, what would you serve --n400688.###.###okay, uh,###do you want me to go first.###.###sure.###.###okay."	"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."
"31080:59"	"in some of those, you know, they, i guess they retitled some movies that  were going  to be about lebanese and, and, you know, and, and americans"	"no"	5.2	"other"	"modified"	"###.### to understand what --n405ca3's going on in the second.###.###uh, if, if that is that the second one follows the first.###i don't know if they have the, uh, original actors on that first one to that one.###.###uh-huh.###they're supposed --n405f29 to be coming out with all these desert storm movies, this summer, too.###.###oh.###.###.###i expected those.###.###yeah.###.### i mean, hollywood, i mean they were doing their dealings with that before they even got over there, i think --n4060d4.###.###yeah.###well, they had some,"	"in some of those, you know, they, i guess they retitled some movies that  were going  to be about lebanese and, and, you know, and, and americans"
"31080:8"	"in some of those, you know, they, i guess they retitled some movies that  were going  to be about lebanese and, and, you know, and, and americans"	"yes"	4	"subject"	"unmodified"	"###.### to understand what --n405ca3's going on in the second.###.###uh, if, if that is that the second one follows the first.###i don't know if they have the, uh, original actors on that first one to that one.###.###uh-huh.###they're supposed --n405f29 to be coming out with all these desert storm movies, this summer, too.###.###oh.###.###.###i expected those.###.###yeah.###.### i mean, hollywood, i mean they were doing their dealings with that before they even got over there, i think --n4060d4.###.###yeah.###well, they had some,"	"in some of those, you know, they, i guess they retitled some movies that  were going  to be about lebanese and, and, you know, and, and americans"
"55919:10"	"it gave some folks some jobs,"	"no"	5.4	"other"	"unmodified"	"###.###i could see a, a full, a run-, a gamut of different kinds of opportunities.###things that --n402776 need --n402781 to be done --n402794, that --n4027a3 wou-, that --n4027b6 could be done --n4027c9 in an hour or two, uh, a day, or several hours of the week. like a half of a day on saturday or something like that. in addition to what one does --n402864, uh, besides that.###.###uh-huh.###.###.###uh-huh.###.###.###uh-huh.###.### i, i can't, imagine what kind of, uh, uh, bureaucracies --n402b6c we'd get into --n402b83 and expense --n402b92 having it be full time,###oh, you're going --n402cf7 to go to this camp###and you're going --n402d8b to, you know,###like, um, back in the depression, the c c c, the construction corps that --n402e58 went out and did things. that was great,###.###yeah.###.###it was needed --n402f8e,"	"it gave some folks some jobs,"
"55919:15"	"it gave some folks some jobs,"	"no"	6	"other"	"unmodified"	"###.###i could see a, a full, a run-, a gamut of different kinds of opportunities.###things that --n402776 need --n402781 to be done --n402794, that --n4027a3 wou-, that --n4027b6 could be done --n4027c9 in an hour or two, uh, a day, or several hours of the week. like a half of a day on saturday or something like that. in addition to what one does --n402864, uh, besides that.###.###uh-huh.###.###.###uh-huh.###.###.###uh-huh.###.### i, i can't, imagine what kind of, uh, uh, bureaucracies --n402b6c we'd get into --n402b83 and expense --n402b92 having it be full time,###oh, you're going --n402cf7 to go to this camp###and you're going --n402d8b to, you know,###like, um, back in the depression, the c c c, the construction corps that --n402e58 went out and did things. that was great,###.###yeah.###.###it was needed --n402f8e,"	"it gave some folks some jobs,"
"6686:28"	"it would certainly help them to appreciate some of the things that we have  here and develop some pride in them, if it was handled  that way."	"yes"	4.8	"other"	"modified"	"###.###i know my dad always talked about, uh,###he was in c c c during, uh,###.###yeah.###.###and he was, uh, a rock rib iowa type republican###and the only good thing he could ever say --n403fb3 about, uh, the whole roosevelt administration was, uh, civilian conservation corps,###.###huh-uh.###.###because he was in it.###he thought that was great.###.###yeah.###.###the rest of it was all hog wash,###but that was great.###.###well, it seems like it would develop pride, you know, in people, if, if, it's in their own country."	"it would certainly help them to appreciate some of the things that we have  here and develop some pride in them, if it was handled  that way."
"6686:61"	"it would certainly help them to appreciate some of the things that we have  here and develop some pride in them, if it was handled  that way."	"no"	6.5	"other"	"unmodified"	"###.###i know my dad always talked about, uh,###he was in c c c during, uh,###.###yeah.###.###and he was, uh, a rock rib iowa type republican###and the only good thing he could ever say --n403fb3 about, uh, the whole roosevelt administration was, uh, civilian conservation corps,###.###huh-uh.###.###because he was in it.###he thought that was great.###.###yeah.###.###the rest of it was all hog wash,###but that was great.###.###well, it seems like it would develop pride, you know, in people, if, if, it's in their own country."	"it would certainly help them to appreciate some of the things that we have  here and develop some pride in them, if it was handled  that way."
"97106:13"	"it's, some good, some bad, uh,"	"no"	4.7	"other"	"unmodified"	"###you know, let the world train them what --n40069b to do --n4006aa.###but characteristically, you know, the women are trained, or have been in the past trained --n40079c in the home.###.###uh-huh.###.###and i really would be at a loss to, --n4008ac to raise and train a girl.###i think i would.###.###yeah,###it's,###well even, even raising boys today is different though, because, they are expected --n400a70 to do so much more than they used --n400a97 to.###.###oh, sure.###.###.###uh-huh.###.###you know, used --n400c53 to be they would just go off to work and come home,###and you know, everything was done.###and it, it's a different world."	"it's, some good, some bad, uh,"
"97106:20"	"it's, some good, some bad, uh,"	"no"	4.7	"other"	"unmodified"	"###you know, let the world train them what --n40069b to do --n4006aa.###but characteristically, you know, the women are trained, or have been in the past trained --n40079c in the home.###.###uh-huh.###.###and i really would be at a loss to, --n4008ac to raise and train a girl.###i think i would.###.###yeah,###it's,###well even, even raising boys today is different though, because, they are expected --n400a70 to do so much more than they used --n400a97 to.###.###oh, sure.###.###.###uh-huh.###.###you know, used --n400c53 to be they would just go off to work and come home,###and you know, everything was done.###and it, it's a different world."	"it's, some good, some bad, uh,"
"109067:18"	"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,"	"no"	6.3	"other"	"unmodified"	"###speakeranan*t64-2.###speakerb65-1*t65-1.###the inspiration was a combination of julia child for the dessert, you know, a chocolate mousse recipe and a sort of mumblex cookbook which --n403392 has a recipe for a thing called chicken marabella um, which --n4033cd is this wonderful thing you can do --n4033f4, um,###speakeranan*t65-1.###speakera65-2*t65-2.###uh-huh,###speakerbnan*t65-2.###.###that's good.###.###uh-huh.###basically you're baking, baking chicken in a, in an open pan, um, --n4036a2 having marinated it first###and, my wife did this part###.###so i don't remember all the details###.###speakera70-1*t70-1.###uh-huh.###speakerbnan*t70-1.###speakerb70-2*t70-2."	"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,"
"109067:39"	"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,"	"no"	6.5	"other"	"unmodified"	"###speakeranan*t64-2.###speakerb65-1*t65-1.###the inspiration was a combination of julia child for the dessert, you know, a chocolate mousse recipe and a sort of mumblex cookbook which --n403392 has a recipe for a thing called chicken marabella um, which --n4033cd is this wonderful thing you can do --n4033f4, um,###speakeranan*t65-1.###speakera65-2*t65-2.###uh-huh,###speakerbnan*t65-2.###.###that's good.###.###uh-huh.###basically you're baking, baking chicken in a, in an open pan, um, --n4036a2 having marinated it first###and, my wife did this part###.###so i don't remember all the details###.###speakera70-1*t70-1.###uh-huh.###speakerbnan*t70-1.###speakerb70-2*t70-2."	"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,"
"109067:60"	"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,"	"no"	6.3	"other"	"unmodified"	"###speakeranan*t64-2.###speakerb65-1*t65-1.###the inspiration was a combination of julia child for the dessert, you know, a chocolate mousse recipe and a sort of mumblex cookbook which --n403392 has a recipe for a thing called chicken marabella um, which --n4033cd is this wonderful thing you can do --n4033f4, um,###speakeranan*t65-1.###speakera65-2*t65-2.###uh-huh,###speakerbnan*t65-2.###.###that's good.###.###uh-huh.###basically you're baking, baking chicken in a, in an open pan, um, --n4036a2 having marinated it first###and, my wife did this part###.###so i don't remember all the details###.###speakera70-1*t70-1.###uh-huh.###speakerbnan*t70-1.###speakerb70-2*t70-2."	"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,"
"32577:19"	"next year i was planting some broccoli and, and some of those, they're called  cabbage,  cabbage loppers, or whatever."	"no"	6.5	"other"	"unmodified"	"###.###uh-huh.###.###i don't really like --n4055f1 to put a lot chemicals on it###but then, again, i don't want the bugs eating it upping either.###.###right.###.###.###right.### i, i,###it seems like they come in spurts.###.###uh-huh.###.###one year i didn't put anything on###and i didn't have any problems.###.###uh-huh.###."	"next year i was planting some broccoli and, and some of those, they're called  cabbage,  cabbage loppers, or whatever."
"32577:41"	"next year i was planting some broccoli and, and some of those, they're called  cabbage,  cabbage loppers, or whatever."	"yes"	5.6	"other"	"modified"	"###.###uh-huh.###.###i don't really like --n4055f1 to put a lot chemicals on it###but then, again, i don't want the bugs eating it upping either.###.###right.###.###.###right.### i, i,###it seems like they come in spurts.###.###uh-huh.###.###one year i didn't put anything on###and i didn't have any problems.###.###uh-huh.###."	"next year i was planting some broccoli and, and some of those, they're called  cabbage,  cabbage loppers, or whatever."
"132933:5"	"some of the cars that i got  were like the toyota camry and the nissan maxima and some of the competitors"	"yes"	4.2	"subject"	"modified"	"###but we just bought another used car, a couple weeks ago, actually.###.###uh-huh,###yeah###me too.###.###.###so what car do you drive --n40106c.###what is it --n4010cb.###.###uh, mine is a honda accord.###.###uh-huh,###we almost bought one of those.###do you like it.###.###yeah,###i do,###and, and, um, it's funny because, after i bought it, i was doing a lot of business --n4012ca traveling,###and i,"	"some of the cars that i got  were like the toyota camry and the nissan maxima and some of the competitors"
"132933:57"	"some of the cars that i got  were like the toyota camry and the nissan maxima and some of the competitors"	"yes"	5.5	"other"	"modified"	"###but we just bought another used car, a couple weeks ago, actually.###.###uh-huh,###yeah###me too.###.###.###so what car do you drive --n40106c.###what is it --n4010cb.###.###uh, mine is a honda accord.###.###uh-huh,###we almost bought one of those.###do you like it.###.###yeah,###i do,###and, and, um, it's funny because, after i bought it, i was doing a lot of business --n4012ca traveling,###and i,"	"some of the cars that i got  were like the toyota camry and the nissan maxima and some of the competitors"
"171283:17"	"some, some cases in some jurisdictions, they can do that."	"no"	5.7	"other"	"unmodified"	"###.###well if you drag twelve people into a courtroom, i trust them to make the right decision as to whether someone's guilty or innocent.###that's usually a matter of who to believe --n402524 and what facts to believe --n402543.###.###right.###.###but people who --n402637 d-, don't have day in and day out life long experience with what prison is really like --n40268a and what the options are --n4026a5, to ask them --n4026c0 to decide for one case, on one person, based on what they see --n402703, i think that is maybe, uh, a little bit naive.###.###yeah.###.###in texas here, people tend --n4029e8 to get whipped --n4029fb up into a frenzy and slap long sentences on people.###.###uh-huh.###.###uh, it's kind of, uh, uh, a hanging jury atmosphere.###.###right.###.###but in a lot of places, i think people bend over the other way,###but i guess, i guess i like the system that they have --n402cdd in some places where the defendant gets --n402d00 to choose whether he's, goes before a jury for sentencing or whether the judge gets --n402d4b to choose it --n402d5e."	"some, some cases in some jurisdictions, they can do that."
"171283:28"	"some, some cases in some jurisdictions, they can do that."	"no"	6	"other"	"unmodified"	"###.###well if you drag twelve people into a courtroom, i trust them to make the right decision as to whether someone's guilty or innocent.###that's usually a matter of who to believe --n402524 and what facts to believe --n402543.###.###right.###.###but people who --n402637 d-, don't have day in and day out life long experience with what prison is really like --n40268a and what the options are --n4026a5, to ask them --n4026c0 to decide for one case, on one person, based on what they see --n402703, i think that is maybe, uh, a little bit naive.###.###yeah.###.###in texas here, people tend --n4029e8 to get whipped --n4029fb up into a frenzy and slap long sentences on people.###.###uh-huh.###.###uh, it's kind of, uh, uh, a hanging jury atmosphere.###.###right.###.###but in a lot of places, i think people bend over the other way,###but i guess, i guess i like the system that they have --n402cdd in some places where the defendant gets --n402d00 to choose whether he's, goes before a jury for sentencing or whether the judge gets --n402d4b to choose it --n402d5e."	"some, some cases in some jurisdictions, they can do that."
"142083:38"	"some, uh, you know, i have some good shots and some bad shots."	"no"	6.5	"other"	"modified"	"###.###right.###.###.###right.###.###i took one lesson one other time.###besides that, uh, i just, uh, try --n402e5b to make the club hit the ball.###.###right.###.###.###yeah,###i know what you mean --n402f6c.###.###i don't want --n402fd8 to play strike out, you know.###.###uh-huh.###.###but i have fun --n4030a4 doing it,"	"some, uh, you know, i have some good shots and some bad shots."
"142083:50"	"some, uh, you know, i have some good shots and some bad shots."	"no"	6.2	"other"	"modified"	"###.###right.###.###.###right.###.###i took one lesson one other time.###besides that, uh, i just, uh, try --n402e5b to make the club hit the ball.###.###right.###.###.###yeah,###i know what you mean --n402f6c.###.###i don't want --n402fd8 to play strike out, you know.###.###uh-huh.###.###but i have fun --n4030a4 doing it,"	"some, uh, you know, i have some good shots and some bad shots."
"88001:23"	"that would provide, uh, possibly some relief there to utilize some of the property taxes for other things, see."	"no"	6.3	"other"	"unmodified"	"###yeah.###.###.###then again the, the community college system here is excellent for the dollar spent,###and the public, colleges also, the tuition has got --n401e58 to be among the lowest in the country.###.###yeah.###.###uh,###.###yeah.###.###one of the,###uh, i believe, i don't know which one it is --n401fe2 --n401fe9, uh, down there whether it's hobby or, uh, the other ex-governor down there that --n40203c are proposing --n40204b doubling the tuition.###well if you double the tuition, it would still be considerably less than the public school tuition in most other states.###.###yeah,###i think that's right.###.###yeah."	"that would provide, uh, possibly some relief there to utilize some of the property taxes for other things, see."
"88001:41"	"that would provide, uh, possibly some relief there to utilize some of the property taxes for other things, see."	"yes"	5.1	"other"	"unmodified"	"###yeah.###.###.###then again the, the community college system here is excellent for the dollar spent,###and the public, colleges also, the tuition has got --n401e58 to be among the lowest in the country.###.###yeah.###.###uh,###.###yeah.###.###one of the,###uh, i believe, i don't know which one it is --n401fe2 --n401fe9, uh, down there whether it's hobby or, uh, the other ex-governor down there that --n40203c are proposing --n40204b doubling the tuition.###well if you double the tuition, it would still be considerably less than the public school tuition in most other states.###.###yeah,###i think that's right.###.###yeah."	"that would provide, uh, possibly some relief there to utilize some of the property taxes for other things, see."
"29177:102"	"they need  to put some sternness back into the, into the teachers and let them be able  to, uh, get the old whip out and get some discipline."	"no"	5.7	"other"	"unmodified"	"###.###and, yeah,###and, uh, i talked to a thirteen year old --n402ddc last night who --n402def's, uh, goes to, uh, one of the plano high schools or junior highs, i guess,###and she said that she had a choice,###she could either have taken tennis, or weight lifting###so she choice --n403092 to take weight lifting, over the regular gym,###.###.###i mean, give me a break,###i mean, the kids sit there### and they, and they drink cokes and eat popcorn for, for lunch###and, then go out there and lift weights and don't learn anything,###.###and talk,###yeah.###.### it's just a real, i have a real problem with the whole system.###.###huh.###."	"they need  to put some sternness back into the, into the teachers and let them be able  to, uh, get the old whip out and get some discipline."
"29177:21"	"they need  to put some sternness back into the, into the teachers and let them be able  to, uh, get the old whip out and get some discipline."	"no"	5.3	"other"	"unmodified"	"###.###and, yeah,###and, uh, i talked to a thirteen year old --n402ddc last night who --n402def's, uh, goes to, uh, one of the plano high schools or junior highs, i guess,###and she said that she had a choice,###she could either have taken tennis, or weight lifting###so she choice --n403092 to take weight lifting, over the regular gym,###.###.###i mean, give me a break,###i mean, the kids sit there### and they, and they drink cokes and eat popcorn for, for lunch###and, then go out there and lift weights and don't learn anything,###.###and talk,###yeah.###.### it's just a real, i have a real problem with the whole system.###.###huh.###."	"they need  to put some sternness back into the, into the teachers and let them be able  to, uh, get the old whip out and get some discipline."
