"tgrep.id","workerid","sentence_bnb","response_goodsentence","response_val","Trial","gender","age"
"97709:59","14","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","good bnb sentence",0.5,18,"Female","29"
"67780:27","14","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","bad bnb sentence",0.75,19,"Female","29"
"104118:18","14","his middle name is chris, or christopher for for her daddy but not both,","good bnb sentence",0.67,20,"Female","29"
"42766:91","14","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","bad bnb sentence",0.74,21,"Female","29"
"151327:145","14","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","bad bnb sentence",0.54,22,"Female","29"
"6480:57","14","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","bad bnb sentence",0.65,23,"Female","29"
"42553:48","14","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","bad bnb sentence",0.37,24,"Female","29"
"31165:126","14","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","bad bnb sentence",0.73,25,"Female","29"
"40595:16","14","it took us two or three but not both different people  to find,","bad bnb sentence",0.43,26,"Female","29"
"104451:40","14","and i don't know if there's a deposit on those or not but not both.","bad bnb sentence",0.76,27,"Female","29"
"113845:53","14","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","bad bnb sentence",0.44,28,"Female","29"
"77801:170","14","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","bad bnb sentence",0.66,29,"Female","29"
"55488:50","14","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","bad bnb sentence",0.43,30,"Female","29"
"14511:27","15","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","good bnb sentence",0.83,1,"Male","43"
"41615:46","15","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","good bnb sentence",0.95,2,"Male","43"
"134049:25","15","i think i've bought one or two new cars in my life but not both,","good bnb sentence",0.88,3,"Male","43"
"91270:46","15","i, i think the bad part is that most parents or kids but not both don't know what to look for .","good bnb sentence",0.09,4,"Male","43"
"106988:25","15","do you, um, buy from dealers or from individuals but not both.","good bnb sentence",0.81,5,"Male","43"
"48005:83","15","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","bad bnb sentence",0.64,6,"Male","43"
"63657:95","15","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","bad bnb sentence",0.67,7,"Male","43"
"18798:25","15","and then you can either bundle your newspapers or put them in grocery bags but not both.","good bnb sentence",0.16,8,"Male","43"
"112417:64","15","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","good bnb sentence",0.09,9,"Male","43"
"112092:38","15","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","bad bnb sentence",0.2,10,"Male","43"
"6363:73","15","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","good bnb sentence",0.08,11,"Male","43"
"105458:174","15","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","bad bnb sentence",0.06,12,"Male","43"
"18697:70","15","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","good bnb sentence",0.01,13,"Male","43"
"136335:21","15","did you put them up originally or just going up and stopping leaks in them but not both.","bad bnb sentence",0.77,14,"Male","43"
"58773:18","15","i tried it like once or twice but not both.","good bnb sentence",0.82,15,"Male","43"
"69440:43","15","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","good bnb sentence",0.92,16,"Male","43"
"6353:63","15","she said, now, do you all want him to go to a, a state college or a private college but not both.","good bnb sentence",0.98,17,"Male","43"
"97709:59","15","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","good bnb sentence",0.91,18,"Male","43"
"67780:27","15","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","bad bnb sentence",0.1,19,"Male","43"
"104118:18","15","his middle name is chris, or christopher for for her daddy but not both,","bad bnb sentence",0.83,20,"Male","43"
"42766:91","15","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","good bnb sentence",0.9,21,"Male","43"
"151327:145","15","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","bad bnb sentence",0.58,22,"Male","43"
"6480:57","15","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","bad bnb sentence",0.27,23,"Male","43"
"42553:48","15","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","good bnb sentence",0.78,24,"Male","43"
"31165:126","15","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","good bnb sentence",0.13,25,"Male","43"
"40595:16","15","it took us two or three but not both different people  to find,","good bnb sentence",0.89,26,"Male","43"
"104451:40","15","and i don't know if there's a deposit on those or not but not both.","good bnb sentence",0.68,27,"Male","43"
"113845:53","15","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","good bnb sentence",0.62,28,"Male","43"
"77801:170","15","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","good bnb sentence",0.14,29,"Male","43"
"55488:50","15","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","good bnb sentence",0.07,30,"Male","43"
"14511:27","16","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","good bnb sentence",0.29,1,"Female","30"
"41615:46","16","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","good bnb sentence",0.91,2,"Female","30"
"134049:25","16","i think i've bought one or two new cars in my life but not both,","good bnb sentence",0.18,3,"Female","30"
"91270:46","16","i, i think the bad part is that most parents or kids but not both don't know what to look for .","good bnb sentence",0.91,4,"Female","30"
"106988:25","16","do you, um, buy from dealers or from individuals but not both.","good bnb sentence",0.07,5,"Female","30"
"48005:83","16","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","good bnb sentence",0.89,6,"Female","30"
"63657:95","16","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","good bnb sentence",0.14,7,"Female","30"
"18798:25","16","and then you can either bundle your newspapers or put them in grocery bags but not both.","good bnb sentence",0.94,8,"Female","30"
"112417:64","16","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","good bnb sentence",0.9,9,"Female","30"
"112092:38","16","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","good bnb sentence",0.39,10,"Female","30"
"6363:73","16","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","good bnb sentence",0.93,11,"Female","30"
"105458:174","16","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","good bnb sentence",0.5,12,"Female","30"
"18697:70","16","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","good bnb sentence",0.83,13,"Female","30"
"136335:21","16","did you put them up originally or just going up and stopping leaks in them but not both.","good bnb sentence",0,14,"Female","30"
"58773:18","16","i tried it like once or twice but not both.","good bnb sentence",0.99,15,"Female","30"
"69440:43","16","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","good bnb sentence",1,16,"Female","30"
"6353:63","16","she said, now, do you all want him to go to a, a state college or a private college but not both.","good bnb sentence",0.99,17,"Female","30"
"97709:59","16","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","good bnb sentence",0.97,18,"Female","30"
"67780:27","16","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","good bnb sentence",0.97,19,"Female","30"
"104118:18","16","his middle name is chris, or christopher for for her daddy but not both,","good bnb sentence",0.96,20,"Female","30"
"42766:91","16","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","good bnb sentence",0.99,21,"Female","30"
"151327:145","16","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","good bnb sentence",0.08,22,"Female","30"
"6480:57","16","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","good bnb sentence",0.98,23,"Female","30"
"42553:48","16","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","good bnb sentence",0.99,24,"Female","30"
"31165:126","16","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","good bnb sentence",0.89,25,"Female","30"
"40595:16","16","it took us two or three but not both different people  to find,","good bnb sentence",0.09,26,"Female","30"
"104451:40","16","and i don't know if there's a deposit on those or not but not both.","good bnb sentence",0.88,27,"Female","30"
"113845:53","16","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","good bnb sentence",0.98,28,"Female","30"
"77801:170","16","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","good bnb sentence",0.99,29,"Female","30"
"55488:50","16","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","good bnb sentence",0.92,30,"Female","30"
"14511:27","17","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","bad bnb sentence",0.72,1,"Male","34"
"41615:46","17","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","bad bnb sentence",1,2,"Male","34"
"134049:25","17","i think i've bought one or two new cars in my life but not both,","bad bnb sentence",0.48,3,"Male","34"
"91270:46","17","i, i think the bad part is that most parents or kids but not both don't know what to look for .","bad bnb sentence",0.26,4,"Male","34"
"106988:25","17","do you, um, buy from dealers or from individuals but not both.","bad bnb sentence",0.1,5,"Male","34"
"48005:83","17","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","bad bnb sentence",0,6,"Male","34"
"63657:95","17","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","bad bnb sentence",0.48,7,"Male","34"
"18798:25","17","and then you can either bundle your newspapers or put them in grocery bags but not both.","bad bnb sentence",0.53,8,"Male","34"
"112417:64","17","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","bad bnb sentence",0.13,9,"Male","34"
"112092:38","17","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","bad bnb sentence",0.14,10,"Male","34"
"6363:73","17","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","bad bnb sentence",0.22,11,"Male","34"
"105458:174","17","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","bad bnb sentence",0.12,12,"Male","34"
"18697:70","17","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","bad bnb sentence",0.06,13,"Male","34"
"136335:21","17","did you put them up originally or just going up and stopping leaks in them but not both.","bad bnb sentence",0.15,14,"Male","34"
"58773:18","17","i tried it like once or twice but not both.","bad bnb sentence",0.24,15,"Male","34"
"69440:43","17","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","bad bnb sentence",0.25,16,"Male","34"
"6353:63","17","she said, now, do you all want him to go to a, a state college or a private college but not both.","bad bnb sentence",1,17,"Male","34"
"97709:59","17","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","bad bnb sentence",0.27,18,"Male","34"
"67780:27","17","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","bad bnb sentence",0.07,19,"Male","34"
"104118:18","17","his middle name is chris, or christopher for for her daddy but not both,","bad bnb sentence",1,20,"Male","34"
"42766:91","17","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","bad bnb sentence",0.6,21,"Male","34"
"151327:145","17","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","bad bnb sentence",0.88,22,"Male","34"
"6480:57","17","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","bad bnb sentence",0.21,23,"Male","34"
"42553:48","17","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","bad bnb sentence",0.97,24,"Male","34"
"31165:126","17","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","bad bnb sentence",0.28,25,"Male","34"
"40595:16","17","it took us two or three but not both different people  to find,","bad bnb sentence",0.67,26,"Male","34"
"104451:40","17","and i don't know if there's a deposit on those or not but not both.","bad bnb sentence",0.2,27,"Male","34"
"113845:53","17","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","bad bnb sentence",0.04,28,"Male","34"
"77801:170","17","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","bad bnb sentence",0.22,29,"Male","34"
"55488:50","17","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","bad bnb sentence",0.14,30,"Male","34"
"14511:27","18","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","good bnb sentence",0.59,1,"Male","28"
"41615:46","18","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","good bnb sentence",0.67,2,"Male","28"
"134049:25","18","i think i've bought one or two new cars in my life but not both,","good bnb sentence",0.46,3,"Male","28"
"91270:46","18","i, i think the bad part is that most parents or kids but not both don't know what to look for .","good bnb sentence",0.53,4,"Male","28"
"106988:25","18","do you, um, buy from dealers or from individuals but not both.","good bnb sentence",0.48,5,"Male","28"
"48005:83","18","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","good bnb sentence",0.51,6,"Male","28"
"63657:95","18","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","good bnb sentence",0.6,7,"Male","28"
"18798:25","18","and then you can either bundle your newspapers or put them in grocery bags but not both.","good bnb sentence",0.5,8,"Male","28"
"112417:64","18","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","good bnb sentence",0.57,9,"Male","28"
"112092:38","18","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","good bnb sentence",0.5,10,"Male","28"
"6363:73","18","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","good bnb sentence",0.6,11,"Male","28"
"105458:174","18","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","good bnb sentence",0.51,12,"Male","28"
"18697:70","18","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","good bnb sentence",0.68,13,"Male","28"
"136335:21","18","did you put them up originally or just going up and stopping leaks in them but not both.","good bnb sentence",0.44,14,"Male","28"
"58773:18","18","i tried it like once or twice but not both.","good bnb sentence",0.29,15,"Male","28"
"69440:43","18","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","good bnb sentence",0.5,16,"Male","28"
"6353:63","18","she said, now, do you all want him to go to a, a state college or a private college but not both.","good bnb sentence",0.6,17,"Male","28"
"97709:59","18","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","good bnb sentence",0.47,18,"Male","28"
"67780:27","18","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","good bnb sentence",0.63,19,"Male","28"
"104118:18","18","his middle name is chris, or christopher for for her daddy but not both,","good bnb sentence",0.44,20,"Male","28"
"42766:91","18","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","good bnb sentence",0.52,21,"Male","28"
"151327:145","18","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","good bnb sentence",0.47,22,"Male","28"
"6480:57","18","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","good bnb sentence",0.52,23,"Male","28"
"42553:48","18","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","good bnb sentence",0.43,24,"Male","28"
"31165:126","18","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","good bnb sentence",0.56,25,"Male","28"
"40595:16","18","it took us two or three but not both different people  to find,","good bnb sentence",0.45,26,"Male","28"
"104451:40","18","and i don't know if there's a deposit on those or not but not both.","good bnb sentence",0.58,27,"Male","28"
"113845:53","18","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","good bnb sentence",0.65,28,"Male","28"
"77801:170","18","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","good bnb sentence",0.42,29,"Male","28"
"55488:50","18","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","good bnb sentence",0.51,30,"Male","28"
"14511:27","19","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","good bnb sentence",0.51,1,"Male","39"
"41615:46","19","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","good bnb sentence",0.49,2,"Male","39"
"134049:25","19","i think i've bought one or two new cars in my life but not both,","good bnb sentence",0.5,3,"Male","39"
"91270:46","19","i, i think the bad part is that most parents or kids but not both don't know what to look for .","good bnb sentence",0.53,4,"Male","39"
"106988:25","19","do you, um, buy from dealers or from individuals but not both.","bad bnb sentence",0.51,5,"Male","39"
"48005:83","19","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","good bnb sentence",0.54,6,"Male","39"
"63657:95","19","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","good bnb sentence",0.51,7,"Male","39"
"18798:25","19","and then you can either bundle your newspapers or put them in grocery bags but not both.","good bnb sentence",0.51,8,"Male","39"
"112417:64","19","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","good bnb sentence",0.5,9,"Male","39"
"112092:38","19","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","good bnb sentence",0.5,10,"Male","39"
"6363:73","19","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","good bnb sentence",0.47,11,"Male","39"
"105458:174","19","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","good bnb sentence",0.5,12,"Male","39"
"18697:70","19","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","good bnb sentence",0.49,13,"Male","39"
"136335:21","19","did you put them up originally or just going up and stopping leaks in them but not both.","good bnb sentence",0.5,14,"Male","39"
"58773:18","19","i tried it like once or twice but not both.","good bnb sentence",0.51,15,"Male","39"
"69440:43","19","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","bad bnb sentence",0.4,16,"Male","39"
"6353:63","19","she said, now, do you all want him to go to a, a state college or a private college but not both.","good bnb sentence",0.5,17,"Male","39"
"97709:59","19","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","good bnb sentence",0.51,18,"Male","39"
"67780:27","19","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","bad bnb sentence",0.37,19,"Male","39"
"104118:18","19","his middle name is chris, or christopher for for her daddy but not both,","good bnb sentence",0.49,20,"Male","39"
"42766:91","19","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","good bnb sentence",0.52,21,"Male","39"
"151327:145","19","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","good bnb sentence",0.5,22,"Male","39"
"6480:57","19","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","good bnb sentence",0.51,23,"Male","39"
"42553:48","19","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","good bnb sentence",0.52,24,"Male","39"
"31165:126","19","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","good bnb sentence",0.51,25,"Male","39"
"40595:16","19","it took us two or three but not both different people  to find,","bad bnb sentence",0.41,26,"Male","39"
"104451:40","19","and i don't know if there's a deposit on those or not but not both.","good bnb sentence",0.52,27,"Male","39"
"113845:53","19","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","good bnb sentence",0.49,28,"Male","39"
"77801:170","19","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","good bnb sentence",0.51,29,"Male","39"
"55488:50","19","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","good bnb sentence",0.53,30,"Male","39"
"14511:27","20","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","bad bnb sentence",0.84,1,"Female","37"
"41615:46","20","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","good bnb sentence",0.86,2,"Female","37"
"134049:25","20","i think i've bought one or two new cars in my life but not both,","bad bnb sentence",0.35,3,"Female","37"
"91270:46","20","i, i think the bad part is that most parents or kids but not both don't know what to look for .","bad bnb sentence",0.75,4,"Female","37"
"106988:25","20","do you, um, buy from dealers or from individuals but not both.","bad bnb sentence",0.83,5,"Female","37"
"48005:83","20","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","good bnb sentence",0.68,6,"Female","37"
"63657:95","20","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","good bnb sentence",0.79,7,"Female","37"
"18798:25","20","and then you can either bundle your newspapers or put them in grocery bags but not both.","good bnb sentence",0.96,8,"Female","37"
"112417:64","20","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","bad bnb sentence",0.8,9,"Female","37"
"112092:38","20","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","bad bnb sentence",0.2,10,"Female","37"
"6363:73","20","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","bad bnb sentence",0.12,11,"Female","37"
"105458:174","20","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","good bnb sentence",0.9,12,"Female","37"
"18697:70","20","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","bad bnb sentence",0.21,13,"Female","37"
"136335:21","20","did you put them up originally or just going up and stopping leaks in them but not both.","bad bnb sentence",0.18,14,"Female","37"
"58773:18","20","i tried it like once or twice but not both.","good bnb sentence",0.3,15,"Female","37"
"69440:43","20","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","bad bnb sentence",0.22,16,"Female","37"
"6353:63","20","she said, now, do you all want him to go to a, a state college or a private college but not both.","bad bnb sentence",0.71,17,"Female","37"
"97709:59","20","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","bad bnb sentence",0.14,18,"Female","37"
"67780:27","20","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","bad bnb sentence",0.1,19,"Female","37"
"104118:18","20","his middle name is chris, or christopher for for her daddy but not both,","bad bnb sentence",0.14,20,"Female","37"
"42766:91","20","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","good bnb sentence",0.84,21,"Female","37"
"151327:145","20","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","bad bnb sentence",0.84,22,"Female","37"
"6480:57","20","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","good bnb sentence",0.84,23,"Female","37"
"42553:48","20","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","bad bnb sentence",0.2,24,"Female","37"
"31165:126","20","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","bad bnb sentence",0.1,25,"Female","37"
"40595:16","20","it took us two or three but not both different people  to find,","bad bnb sentence",0.2,26,"Female","37"
"104451:40","20","and i don't know if there's a deposit on those or not but not both.","bad bnb sentence",0.46,27,"Female","37"
"113845:53","20","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","good bnb sentence",0.13,28,"Female","37"
"77801:170","20","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","good bnb sentence",0.67,29,"Female","37"
"55488:50","20","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","good bnb sentence",0.23,30,"Female","37"
"14511:27","21","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","good bnb sentence",0.85,1,"Male","34"
"41615:46","21","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","good bnb sentence",1,2,"Male","34"
"134049:25","21","i think i've bought one or two new cars in my life but not both,","bad bnb sentence",0,3,"Male","34"
"91270:46","21","i, i think the bad part is that most parents or kids but not both don't know what to look for .","good bnb sentence",0,4,"Male","34"
"106988:25","21","do you, um, buy from dealers or from individuals but not both.","bad bnb sentence",0,5,"Male","34"
"48005:83","21","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","bad bnb sentence",0.25,6,"Male","34"
"63657:95","21","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","good bnb sentence",0,7,"Male","34"
"18798:25","21","and then you can either bundle your newspapers or put them in grocery bags but not both.","good bnb sentence",0.63,8,"Male","34"
"112417:64","21","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","good bnb sentence",0,9,"Male","34"
"112092:38","21","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","good bnb sentence",0,10,"Male","34"
"6363:73","21","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","good bnb sentence",0,11,"Male","34"
"105458:174","21","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","good bnb sentence",0,12,"Male","34"
"18697:70","21","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","good bnb sentence",0.04,13,"Male","34"
"136335:21","21","did you put them up originally or just going up and stopping leaks in them but not both.","good bnb sentence",0.03,14,"Male","34"
"58773:18","21","i tried it like once or twice but not both.","good bnb sentence",0,15,"Male","34"
