Item_ID	Sentence
31673:84	well, there's, yeah, there, there's going --n407140 to be some measure of incentive, uh, reward or whatever,
31782:11	in cold frames or whatever the,
31957:38	is that the stuff that koala bears eat --n4042c2 in australia or something.
31963:30	i guess they're stoned on the stuff or something.
32093:23	so what i'm planting --n40799f or actually transplanting --n4079b2 is a tree that --n4079c9's, or trees that --n4079e4 are already leafed out.
32096:57	i guess they, they say you can plant them in the spring or the fall, all.
32137:3	or is it,
32252:29	and especially when the weather's not too hot or, not raining or whatever --n400b66,
32252:38	and especially when the weather's not too hot or, not raining or whatever --n400b66,
32274:94	there's not enough room to plant. some of those things like, uh, you know, the things that --n40102c vine like, uh, cucumbers, or, uh, squash or something, like that. plant one of those
32274:106	there's not enough room to plant. some of those things like, uh, you know, the things that --n40102c vine like, uh, cucumbers, or, uh, squash or something, like that. plant one of those
32481:28	and i screw around and don't do it or wait too long or something.
32481:38	and i screw around and don't do it or wait too long or something.
32577:93	next year i was planting some broccoli and, and some of those, they're called --n405996 cabbage, --n4059a5 cabbage loppers, or whatever.
32743:17	and it weighs twenty pounds or, something like that.
32859:72	and they lasted from, you know, about when you harvest them --n4099a0 about a month from now or so, or six weeks, from now, until, until like october,
32859:78	and they lasted from, you know, about when you harvest them --n4099a0 about a month from now or so, or six weeks, from now, until, until like october,
33020:29	i don't know unless it, labor intensive or something.
33076:56	well, um, i think it would probably depend on whether this was a formal --n4008de or a informal --n4008f1 dinner party.
33145:35	but, um, you know, if you have nails or anything you can plan on those being shot.
33160:33	you know, we'd just have crawfish and beer or something
33161:98	but, um, if it was more formal like if i was, you know, working environment then i would probably, um, sh-, shell'em or at least disconnect them from the head.
33177:27	and usually you use those like for frying or --n402e3b to put --n402e4a in salads or to um you know make a sauce with --n402e7d or something like that
33177:52	and usually you use those like for frying or --n402e3b to put --n402e4a in salads or to um you know make a sauce with --n402e7d or something like that
33177:82	and usually you use those like for frying or --n402e3b to put --n402e4a in salads or to um you know make a sauce with --n402e7d or something like that
33245:36	we we tried --n40405e to be fancier or more courses than the other
33250:3	or
33255:107	and then we got into different um themes you know um whether it would be ethnic food or um sometimes it would be um oh oh i don't know maybe an outdoor theme or uh elegant theme or you know
33255:117	and then we got into different um themes you know um whether it would be ethnic food or um sometimes it would be um oh oh i don't know maybe an outdoor theme or uh elegant theme or you know
33262:29	and sometimes it might be the picnic out back or something
33291:11	make hot dogs or some potato chips
33373:89	when you use corn starch in in gravy --n4063fa like you know when you have um chinese food --n406425 that kind of a gravy or a sauce that --n406450 comes with a lot of that
33521:77	when you go over there --n400b13 does it bother you in terms of how things are arranged --n400b46, either at the dallas location or the spring creek --n400b75, in terms of, there's so much, it's so much of a weight orientation, weight lifting, et cetera.
33545:3	or,
33590:22	and as we were jumping around or doing something i just jumped up and came right down on it.
33778:41	do you like --n4056b6 to exercise because you want --n4056d1 to or because you have --n4056f0 to.
33856:25	i try --n406a36 to go real late or real early before they get there.
33860:65	but, you know, sometime when i ask --n406bf8, i just feel like, boy, am i stupid or what.
33930:3	or,
34018:36	uh, my gun hasn't been shot --n400e3f in a year or two.
34041:43	the criminals that --n40170c are going --n40171b to get their guns one way or the other.
34046:191	i think, you know, one of the things that, that, that --n4018d7 needs --n4018e2 to happen is, uh, to, to stop the impulse buyer from, uh, --n40193d buying it quickly and, and, uh, maybe putting a week's waiting period or something on it.
34082:72	i do too. uh, because it --n402857 doesn't make any difference, uh, uh, whether it's a pistol or a shotgun, i suppose --n4028b6.
34104:22	you can make it either tight or as loose as loose can get.
34131:3	or you.
34190:45	and, uh, this one guy decided --n4053ad to play, uh, lonesome cowboy or something.
34204:16	it was about four or five years ago.
34214:14	and, or do you believe that you ought --n405d1b to be able --n405d2e to sell your system, uh, because you own it.
34532:55	do you take her, or do you go to a lot of comedy movies or to,
34573:88	i mean, there, there were times when he was, like, he'd be running with a gun or whatever --n40372b.
34583:89	because, i mean, everybody grows up --n403af0 looking at these cop movies and trying --n403b13 to, you know, to imitate them or whatever.
34601:91	and i guess that i thought --n4040a5 was a real good acting and writing job both --n4040d0, you know, because i think, or directing job.
35001:135	i, i have a hard time --n40122c sticking with something like, like on t v, because, it, like, it gets real aggravating if you miss it, for a week or two.
35107:25	you have --n4034d2 to shut your eyes or not listen or something, because those drive you crazy, if you're, if you're in the room.
35107:32	you have --n4034d2 to shut your eyes or not listen or something, because those drive you crazy, if you're, if you're in the room.
35122:86	and, you know, their demographic studies that they do --n403bbe that --n403bc9 show, you know, that everybody's i q has dropped dramatically or something.
35159:3	or there was some other,
35369:98	well, we've, uh, we've, we've test driven the oldsmobile delta eighty-eight and a cutlass supreme and a used cadillac, about three or four years old because, uh, i get married --n400170 in a couple of weeks
35393:113	that, uh, in addition to getting a new car there, they can get you a car that --n400783's new but --n400796 it's been, uh, a demonstrator model for two or three thousand dollars even cheaper than the best deal they can give you --n400805 for a new car.
35439:3	or they used,
35451:3	or,
35483:3	or do i look for a used car that --n401f3f's maybe two, three years old that but that --n401f7a's, you know, low mileage and in good shape.
35489:14	or, or is something wrong with it
35503:30	but if you've narrowed it down to one or two you can have the car, uh, uh, checked --n402891 at, uh, an independent service station and have them go through it from top to bottom and tell you if they can find anything wrong, because they don't have any financial interest in it.
35519:24	oh, i'm thinking around twenty or twenty-five dollars.
35550:65	well, what you can do --n4037fd is take your car payment and put it in the bank for three or four years
35654:67	but, you know, that's a sign that i'm going --n40556f to have --n40557e to do something sooner or later.
35663:3	or,
35761:57	he said, you're going --n40768f to get a car that --n4076aa's got flood damage or hail damage.
35840:44	but, uh, uh, i don't know if it's their proposal or one that --n4000f0's being seriously kicked --n400107 around.
36021:57	and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy.
36071:7	educational or vocational training or something.
36071:13	educational or vocational training or something.
36223:17	picking up the garbage or educating our kids.
36344:3	or,
36407:3	or do you go to groups
36408:3	or,
36414:33	we used --n401277 to try and belong to clubs or the y, stuff like that,
36472:25	but the last little while, for one reason or another, we haven't been real consistent.
36524:73	and they said that they had ex-, that the one they had exercised with --n403e99 was three or four times easier.
36559:86	but there's a lot of different things you can do --n404c1d that --n404c28 are enjoyable that you don't have --n404c4b to strain yourself or sweat or be real sore afterwards --n404c7a.
36559:91	but there's a lot of different things you can do --n404c1d that --n404c28 are enjoyable that you don't have --n404c4b to strain yourself or sweat or be real sore afterwards --n404c7a.
36572:30	i think we've talked about six minutes or so.
36619:25	they don't have like a shower room or anything,
36703:52	other than, you know, taking your shoes off right before you walk in or something and, and sweeping it out everyday, it --n40255a's really hard to, to keep the sand and dirt out of it.
36809:26	and i could really talk about like gardening or something,
36845:14	or, or get,
36918:68	i mean some, i think some people that --n4079dc had fairly sturdy, um, vehicles or whatever if they had like a winnebago or something and they were farther in away from the water, i think they stayed.
36918:93	i mean some, i think some people that --n4079dc had fairly sturdy, um, vehicles or whatever if they had like a winnebago or something and they were farther in away from the water, i think they stayed.
36923:15	it was either that or their truck was going --n407d14 to go --n407d23 floating downstream.
36973:48	and the russian people are all realizing that the communist system does not work to their satisfaction or their way of surviving in this world,
36975:25	if they can get the army, or the military to sway to their side, i think that, uh, --n400c67 it will be on the way out eventually.
37011:85	but gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government that, nor eliminating or diminishing the communist power,
37097:119	but i, i just don't think they have the resources, if you were --n4050c4 to compare, uh, the americans to the soviets as far as home computers --n405107 are concerned --n405116 or fact machines, fax machines and cellular phones, and state of the art equipment that we are so used to --n405175.
37120:32	when you've lost something or, or uh, uh, don't have what other people have --n405b67 --n405b6e that's when you tend --n405b89 to realize, you know, what --n405bac's out there and what, you know, what you have --n405be3 and what you don't have --n405c02 --n405c09.
37134:69	the only yes i could go to --n4060ea is if uh, a renegade crew decides --n406111 to launch an attack or an accidental launching or something to that effect to, to a nuclear exchange,
37134:78	the only yes i could go to --n4060ea is if uh, a renegade crew decides --n406111 to launch an attack or an accidental launching or something to that effect to, to a nuclear exchange,
37152:54	well i wondered if i was going --n40002e to get --n40003d to talk to a male or a female on this type.
37171:24	they may be going to school, or may have elderly parents, or you know all sorts of other things.
37171:39	they may be going to school, or may have elderly parents, or you know all sorts of other things.
37241:60	but when i run into people that, you know, --n401e51 just have recently had babies or have very young children and are working full time --n401e94, i, there's almost a, uh, friction between us.
37325:3	or are we going --n403b07 to keep --n403b16 having --n403b21 to try --n403b30 to juggle all of this.
37432:107	eve-, every once in a while, i will keep in, in touch, with maybe, like who --n400bb9's in the top five of hitting, or something like that
37433:51	but i don't get into, you know, how many errors somebody has --n400d88 or things like that.
37457:58	they don't have the offense to, uh, to get out, or to have the, the more runs --n4016ff,
37596:26	do you still keep up with them, or someth-,
37644:8	and whether or not they can fix that or not is going --n40821e to be an interesting question.
37644:26	and whether or not they can fix that or not is going --n40821e to be an interesting question.
37711:31	when it --n409dff starts --n409e0a costing you fifty or a hundred dollars to go to a game --n409e45
37717:41	say you go to a rock concert, or, or even a performance, a, an opera or the symphony or something, uh,
37717:75	say you go to a rock concert, or, or even a performance, a, an opera or the symphony or something, uh,
37717:82	say you go to a rock concert, or, or even a performance, a, an opera or the symphony or something, uh,
37737:24	but what, somehow or another they, attract, uh, so many people from, som-,
37749:72	we're going --n400038 to talk about the public school system, what --n400063's wrong with it, an, or if anything is wrong with it and what we can do --n4000b6 about it, what --n4000cd should be done --n4000e0 about it.
37770:39	but i wouldn't want --n4008bf to go --n4008ce teach high school or junior high,
37804:22	now do you have little kids, or what.
37831:3	or they going --n401dfc be taught --n401e0b something,
37846:19	not if you can read or write, or do, or un-, understand some science.
37846:40	not if you can read or write, or do, or un-, understand some science.
37930:95	i mean, i'd, i'd be afraid --n404eb2 to be in school, i mean --n404ed5 b-, teaching, or even being a student
37977:39	their friends that --n406791 are dealing drugs, or, or your parents.
38195:38	so, uh, does your husband ever use, uh, a laptop or a notebook.
38197:3	or,
38345:16	you probably use mumblex or something like that, for your, uh, data entry stuff that you're, talking about --n40589a.
38356:46	do you get, do you work at home all the time or just,
38450:57	they just, um, they just send me everything and pick it up courier or whatever,
38578:3	or should we stay on the topic of books.
38610:3	or do you, have you read any good novels lately.
38666:43	and then i, i get distracted --n4036f5, and, or have --n403710 to start on another one,
38800:88	you know, it's, it --n406615's so easy to get caught --n406638 up on reading just for your work, or, you know, self improvement,
38859:67	i would love --n400805 to do crafts and stuff if i just had the time to do it --n40084c or if i had the space.
38905:54	mostly just stuff that i can, you know, use --n4015c7 right around the house or give --n4015e6 away as gifts.
38938:34	and i always have --n4020af to either take it out or have my picture slightly off centered or, or something.
38938:63	and i always have --n4020af to either take it out or have my picture slightly off centered or, or something.
39001:11	more like embroidery or something.
39050:31	and then in the summer i'll plant petunias, or something that --n404628's colorful
39104:53	have you tried any, --n4054f8 growing any, um, like fruits and vegetables or anything.
39108:72	i never have tried that, just because i don't have that much space on this little porch --n40573f here in this apartment or this little balcony.
39189:3	or get into a house with a little more space.
39214:52	if we were going --n407b0e to get anything now it would definitely be a cat, or even a bird or a fish tank or something, you know. something small
39214:63	if we were going --n407b0e to get anything now it would definitely be a cat, or even a bird or a fish tank or something, you know. something small
39214:72	if we were going --n407b0e to get anything now it would definitely be a cat, or even a bird or a fish tank or something, you know. something small
39225:68	because, you kind of, even, even a cat, you never know when they might bite or scratch or something --n407e9f.
39225:73	because, you kind of, even, even a cat, you never know when they might bite or scratch or something --n407e9f.
39230:62	but with little ones, i'd be kind of scared, --n4080ea to get anything that --n408101 has teeth or claws.
39237:20	and if i was a cat or dog, i'd respond probably by --n408409 biting or something.
39237:49	and if i was a cat or dog, i'd respond probably by --n408409 biting or something.
39593:60	we might try --n404d58 to, to, um, to grill some flounder or salmon steaks.
39615:30	do you, do you garden or not.
39729:68	but usually if i'm, if i'm, if i take a day off or on the weekend especially, i try --n40718f to cook, real, real food.
39760:67	and we have a share alike column in the paper, where people, you know, write in and share recipes or write in and say i'm looking for this recipe --n407815,
39859:31	so, they made it to the sweet sixteen, once or twice, in their history,
40006:3	or,
40150:31	and they kind of just scoot out of his way or take a step back, you know,
40181:76	but i, i guess the headlines said something about him, you know, that the mavericks released him or something,
40239:3	or they're not brothers,
40240:63	but i mean there's two guys named johnson --n4078c5 on their team that --n4078dc are really good or doing good or something,
40240:71	but i mean there's two guys named johnson --n4078c5 on their team that --n4078dc are really good or doing good or something,
40409:3	or you wouldn't have him there, i know --n401a47,
40465:3	or do you get --n40261e to stay home with them.
40469:3	or she's, i guess,
40534:23	did you have them in a center or something last summer.
40595:16	it took us two or three different people --n404e59 to find,
40609:42	there's an association --n4051c3 here in town of professional home, care providers or something like that.
40698:3	or, you know.
41140:3	or,
41150:3	or did you have hotel rooms,
41151:3	or, how did you do it --n402cb6.
41234:8	a house or something.
41246:82	see, that would be great because then you could spend so much more time --n404555 together, than if you all were in your own hotels or something.
41253:91	and then, every time you wanted --n4046fb to go --n40470a eat with somebody --n40471d, you'd probably have --n404738 to go to out, --n404753 eat or something.
41307:9	and three or four or five families can stay in those cabins because they have, you know, just the single bunk beds and stuff.
41307:13	and three or four or five families can stay in those cabins because they have, you know, just the single bunk beds and stuff.
41341:120	but, i didn't think that was as good. because, it was like, you know, you couldn't really talk and stuff, like you could when, you were at the lake, or somewhere, you know, where you were out.
41367:3	or did the people that --n40670f had that reunion have --n406726 to draw a line.
41388:23	i think there was four or five different people, that --n406c71 would call, you know, some of them, if they didn't have their addresses and all on them,
41402:51	and then, when they, when they talked to us --n407143 or when they sent us the letter --n407166, it, uh, you know, to get the information and all, it asked, you know, will you be willing --n4071d5 to bring
41426:22	now if there was a sickness or something like that, i mean, you know, you're not going --n4079ba to lose that many.
41511:66	and they charged us, i think it was like, it was like --n408e7c five or six dollars, i can't remember exactly, you know, that we paid --n408ec7 for the book to be printed --n408ee6.
41614:3	or, i, i teach training classes,
41615:46	and so when i'm teaching a class --n400cba, obviously i wear a suit or dress,
41626:63	and, and when it's really cold --n401055 i'm more likely --n40106c to wear jeans or pants or sweaters, or that type of thing.
41626:67	and, and when it's really cold --n401055 i'm more likely --n40106c to wear jeans or pants or sweaters, or that type of thing.
41626:73	and, and when it's really cold --n401055 i'm more likely --n40106c to wear jeans or pants or sweaters, or that type of thing.
41631:82	and then, you know, obviously when i'm doing anything that i'm in front of people --n4012a7, or, or making presentations, teaching, whatever --n4012d6. i'm going --n4012ed to dress up more.
41676:47	and then there are some that --n4023e8 may be will come like four inches or five inches above the knee.
41706:73	because maybe they, those are not the clothes that --n402e29 are the most, uh, appealing to you, or the most, uh, complimentary to you.
41788:38	so i was always fighting against the idea of looking tailored or manish,
41798:95	and, uh, and i find even, even at home here now, i, i will wear blue jeans or i'll wear shorts and what have you --n4050f6, uh, and be very comfortable
41834:48	and they don't allow, uh, any sweat, any sweat shirts or t shirts that --n40614c might have vulgar, or, you know, anything like that on it,
41834:74	and they don't allow, uh, any sweat, any sweat shirts or t shirts that --n40614c might have vulgar, or, you know, anything like that on it,
41858:18	and they must wear blue or gray or black and a white shirt and, you know, no variation,
41858:22	and they must wear blue or gray or black and a white shirt and, you know, no variation,
41873:48	they all had on the gray jackets and the gray trousers or sla-, or skirts and the white blouses and the same color tie.
42077:97	but gosh, you know, we're keeping, you know we're, we're keeping these men in prison for fifteen or twenty years on death row, and not doing anything with them,
42157:3	or was it not.
42190:40	men --n405b4c breaking in, uh, to houses and taking, or a man, they, they think it's the same person, taking, uh, little girls right straight out of their beds at night. and, ku-, you know, breaking in, obviously watching them in the house, because they're breaking into the right window, you know, the little girl's bedroom. and taking them out, putting them in a car and driving them out and taking them out and molesting them and then bringing them back and throwing them back in their own front yards.
42211:60	i think there's been, i think there's been like six or seven of them, over the last like probably eight or nine months.
42211:89	i think there's been, i think there's been like six or seven of them, over the last like probably eight or nine months.
42426:34	you know, because then they'll serve fifteen or twenty, so. which --n40a40f is really,
42508:50	if, if you're going --n4009dc to hunt with it, or if you're going --n400a0b to do sport shooting you can wait a week.
42553:48	i don't think they're going --n401969 to go to a gun store or pawn shop and get it the right way when there's a check --n4019c0,
42554:55	i think they're going --n401aee to go out and find it someway, individual sale or something like that.
42565:107	like i say, i don't think the guy who --n401e8f's going --n401e9e to rob a seven eleven, is going --n401ec5 to rob a seven eleven whether he has a gun or a knife, baseball bat, or, you know, whatever,
42565:123	like i say, i don't think the guy who --n401e8f's going --n401e9e to rob a seven eleven, is going --n401ec5 to rob a seven eleven whether he has a gun or a knife, baseball bat, or, you know, whatever,
42631:3	or even even the um the little um toy guns look real.
42645:77	i mean, there are a lot of kids who when they're ten --n4035c1 --n4035c8 look like they're twelve, or fourteen or, and, and, especially some of the minority children. whether, you know a racist or not,
42645:153	i mean, there are a lot of kids who when they're ten --n4035c1 --n4035c8 look like they're twelve, or fourteen or, and, and, especially some of the minority children. whether, you know a racist or not,
42766:91	because i started --n405a07 shooting, my dad started --n405a22 letting me shoot like a little air b b gun, when i was probably five or six years old --n405a79.
42792:80	if you want, if you want --n4062ee to go --n4062fd deer hunting and your birthday's after nineteen something, fifty-five or something, then you have --n406348 to attend one of these hunter safety courses
42799:3	or you can't get a deer license.
42841:20	i took the clip out, or whatever
42865:49	she'll even tell her friends, don't ever, touch my daddy's guns or something like that.
42880:35	and he'll tell how he's doing it --n407b80 or, you know, show her the insides or stuff like that.
42880:60	and he'll tell how he's doing it --n407b80 or, you know, show her the insides or stuff like that.
42958:70	but, boy if someone did break in, i don't, i don't know that i could or would even grab it.
43013:47	and, and most people that --n40a3ea, uh, break in or whatever, go to houses without the dogs, luckily.
43156:41	basically, i like --n401bc6 to mow the lawn, believe it or not,
43216:36	and we got rid --n4033f6 of them, believe it or not, with smoke bombs, which --n403435 is just about impossible to do --n40345c,
43253:23	and he doesn't gripe about it or anything,
43262:3	or it'll, it'll tear up a nice tiller.
43671:48	it --n405e67's hard to find movies that --n405e8a aren't terrible violent or terribly bunch of sex going on anymore.
43672:51	and i'm just, i guess i'm just middle america or something.
43673:83	i just go --n4060bb to be entertained --n4060ce and and not really interested in some of the, like the terminator or some of the schwarzenegger stuff.
43688:15	freddy's revenge part twenty-five or whatever.
43724:70	if i ever get the hankering --n406d1a to see something, i've got, i don't know, maybe about thirty or forty movies
43928:23	it's kind of like waterfront property or something if you're, you know, if you're two miles away from water.
43991:16	are you talking, outside or inside.
44014:74	it's more trim because it has some of the old asbestos shingles, on the back and there's some sort of stone or something in the front
44026:3	or else it will flake.
44107:3	or they hadn't really roughed it up or whatever they,
44107:26	or they hadn't really roughed it up or whatever they,
44109:63	so it looked as if it had been painted --n403467, correctly with, you know, uh, an enamel or something,
44113:29	but, um, it had not, either that or it had not been prepared --n4035c6 underneath
44114:15	and it was greasy or something,
44159:76	i think that if it wasn't for the united states government matching that the g-, the drug, uh, cartels or whatever would control most the central and latin america.
44192:3	or, you know, why, why, why intervene in another country's, you know, problems --n401728 and things like that.
44211:98	even if a country chooses a government that --n402064's not, you know, exactly the kind of government that we have --n4020a3, you know or, or as in complete opposition to it, at least it's their choice, as long, as long it's one that --n40213a's, that, that --n40215d makes since, so to speak, you know,
44235:14	or, or government aids and stuff.
44249:62	i'm, i'm really wondering whether that's going --n403108 it settle down or not,
44262:3	or do you think that we are to the degree that we are causing.
44383:3	or why do they not, you know, stand up, so to speak, for their rights --n4064f9.
44423:3	or like you say, maybe communication of knowing that, hey, up in other english colonies, or previous english colonies, everything is equal and yet down there it's not,
44423:61	or like you say, maybe communication of knowing that, hey, up in other english colonies, or previous english colonies, everything is equal and yet down there it's not,
44437:69	i think they tend --n407972 to be more educated, much more, educated than, than africa or the latin american countries.
44591:124	and, uh, she's been holding herself pretty well. the, uh, up until, you know, recently where she's been having accidents in the house because she either is losing control or she forgets where she is --n401b9f --n401ba6
44651:51	you, they, they own you or, or, you know, grant you with you their presence, you know.
44672:63	and she knew whether to, to, to quietly come up to me or to just run and knock me over.
44700:132	like if i, if i put her in a room all by herself and close the door and leave her there for a few hours, uh, because i was going out. she would, uh, break something or rip up the carpet or do something just to, uh, to, to let me know that she was unhappy with what i did --n4048ee.
44700:145	like if i, if i put her in a room all by herself and close the door and leave her there for a few hours, uh, because i was going out. she would, uh, break something or rip up the carpet or do something just to, uh, to, to let me know that she was unhappy with what i did --n4048ee.
44813:11	so another five or six weeks i'll be bringing the little kitten over to, uh, to my folks.
44876:201	and i think one of the good ways of solving that is to like, everybody likes --n4006d4 to come to a party so have a voting party and, uh, you know, like in communities and have the issues there and then everybody go --n400757 vote together and then maybe come back over and have brunch or something.
44972:48	like, uh, the top neighborhood, if you had a hundred percent in your neighborhood or something like that, you know.
44973:128	i mean it doesn't have --n403105 to be, it could be like a, a sign that they would put --n403150 down at the end of your block. you know, or anything like that
45035:42	uh, and your very best teachers in my estimation should be first, second or third grade. so that the children develop good learning patterns
45097:54	now some people object during primaries, --n406251 having --n40625c to declare a party, whether republican or democrat
45132:18	and nobody ever showed us or anything
45163:48	where if they'd, if they'd had a class or something or just to a short time, you know, to, said okay, this is the way,
45163:53	where if they'd, if they'd had a class or something or just to a short time, you know, to, said okay, this is the way,
45265:18	she's had about four or five litters.
45369:51	and they let her tug their hair and, and get on their back or whatever
45375:98	i think it --n403284's good for kids to grow up around pets, as, as long as they don't have any allergies to them or anything.
45389:17	that or, or, uh, the other extreme,
45430:48	a dog you can tell --n4047ad, stop --n4047c0 barking, you know, or whatever.
45434:63	but the birds, you, it --n4048c5's hard to keep them from --n4048e8 squawking or whatever
45490:33	like you have a little bit of ocean with you or something.
45498:63	my daughter had a, like a little goldfish, a about a year or two ago
45511:60	you know, you can't roll around and tussle around with it like you can a dog or a cat
45547:102	and until we got the dog, um, it --n40678c was real easy to, to go to town for three d-, three day weekend or whatever,
45615:59	when, when we had our family dog --n40799e growing up --n4079ad i was eleven or twelve, i think --n4079d8, when we first got him --n4079f7,
45646:67	if you do not pick the trash --n408282 up, you know, the container, and put it on a table or chair or something, she'll knock it over,
45646:71	if you do not pick the trash --n408282 up, you know, the container, and put it on a table or chair or something, she'll knock it over,
45654:65	my cats do that it. if i through anything --n408621 away that --n408630's any kind of meat or anything, like that,
45877:58	because e-, everything, i mean anything that tom landry wanted or had --n403041, he was going --n403058 to change it.
45930:44	i hadn't heard, you know, whether they have a new one or not.
46012:28	i can't remember whether we played three or four quarterbacks,
46087:36	and then i'll, uh, normally check out the eagles or the patriots
46142:88	it was right close to when we was going --n407c92 to find out if we was going --n407cb5 to get --n407cc4 to be in the playoffs, or not --n407ceb.
46151:81	and they had --n40805e to kick. and, uh, --n408081 to know whether we were going --n4080a0 to win the game or lose a game because they got one point ahead of us.
46192:69	but then at the ver-, in the fourth quarter they'd let them get up there either with them or, you know, right ahead of them.
46198:3	or we didn't.
46244:65	some, some places do have guard gates that you have --n400c65 to get through --n400c78, or electronic access gates and things like that.
46290:15	you got young boys or girls, that at fourteen or twelve years old that --n401c65 are committing murders
46290:33	you got young boys or girls, that at fourteen or twelve years old that --n401c65 are committing murders
46306:157	and, and i don't know if it's, uh, the family, you know, thing where they're not bonding anymore --n401f56, where mothers are working all the time and, the kids aren't getting the attention that they need --n401fad --n401fb4, or the television.
46322:34	they're just getting, uh, put --n40252a on probation or something, because the prisons don't have enough room
46380:139	i, i like the idea that, uh, if someone is from a foreign country, and they come to this country and uh, commit, a crime, i think that irregardless of whether they have already become a citizen or anything, they should be immediately deported --n403d5a.
46424:21	like you take asian countries, or, uh, the eastern countries where women are like in the foreground, uh, in the background and the men are in the foreground --n404c4e,
46456:77	and he turned and asked this girl, and said, can you think of any place where dana shouldn't go --n40586b by herself, or anything.
46484:121	but i was thinking boy, in dallas, if somebody asked me if there were places you wouldn't go --n4062a2 by yourself at night, i'd have --n4062c9 to set them down for about five or ten minutes --n4062f8 to list all the places out.
46504:48	and i guess maybe that's the way tokyo is --n406c3c too, or japan is --n406c57 too.
46553:56	this plea bargaining baloney, where, uh, you know, they plead to a lesser crime, or, uh, they plead --n407a3a guilty in, or, you know, tell about someone else and they, they get less time --n407a99,
46553:95	this plea bargaining baloney, where, uh, you know, they plead to a lesser crime, or, uh, they plead --n407a3a guilty in, or, you know, tell about someone else and they, they get less time --n407a99,
46686:76	i mean, i've seen --n4012c2 and i've had friends that --n4012e1 have, uh, like, uh, --n401308 eighty-one or eighty, uh, celicas,
46727:54	, i mean, i didn't even, i didn't look around or anything
46782:51	i mean it looks, i guess, kind of like, uh, the chevy aerostar or arrow,
46878:53	you're looking at, you know, for a new r x seven or, a supra or something, you're looking at twenty-five k or something, that like
46878:62	you're looking at, you know, for a new r x seven or, a supra or something, you're looking at twenty-five k or something, that like
46878:88	you're looking at, you know, for a new r x seven or, a supra or something, you're looking at twenty-five k or something, that like
46885:80	anyway my ultimate car --n4051a0 though, the, the one that i really want --n4051cf is, uh, five sixty or so, mercedes,
46957:32	they're only going --n406243 to make like three or four thousand.
46988:18	i got off my pace or my cordless phone,
47277:3	or the, the,
47298:37	and then the nights are reasonably warm, you know, sixties or seventies.
47341:85	but i don't think i ever see it except when i go --n404c67 get out of the city and go --n404c8a camping in the desert or in, in the mountains --n404cb9.
47372:70	after that, if you asked me that i wouldn't have been able --n400315 to tell you if that was football or baseball.
47420:80	and i never had --n40175d to watch the news not, you know, not like some people hour and a half a day or anything.
47484:42	but i don't even know if they're still new york yankees, or mumblex new jersey.
47691:24	and, i mean, mumblex four or more children are thin,
47712:49	they don't say, they don't put mumblex on bad or anything which --n406bab is good because it --n406bc2 would be easy, i'm sure, for them to do that,
47787:16	but a lot women die or shop at foley's
47800:3	or you get pictures like we did.
47853:37	i, most of my friends have three or four kids
47891:23	now was this a one parent --n400a83 or two parent --n400a96 family.
47965:3	or they're stuck in a day care.
47991:62	so, so, you would have a job with a company. rather than, uh, radio or television or newspapers or, what have you --n402d34.
47991:66	so, so, you would have a job with a company. rather than, uh, radio or television or newspapers or, what have you --n402d34.
47991:70	so, so, you would have a job with a company. rather than, uh, radio or television or newspapers or, what have you --n402d34.
48005:83	and, uh, then you'd be willing --n402ee6 to give up your job --n402f01 to stay home and with, or stay with the children.
48019:111	but i'd like --n403544 to stay at home with them until they get in, at least into kindergarten, where they're at school from what, eight to three or something --n4035bf
48068:39	usually, uh, my husband was seldom home for maybe forty-five minutes or so
48175:48	and we tried --n406c70 to be a part of it but not overshadowing him or making him feel that we had --n406cbf to be there all the time.
48184:36	when i was your age --n4071c1 i didn't have this or that,
48229:108	well, on a scale of one to ten, uh, being --n4000e6 ten, no, kind of legislation and zero being, uh, total ban, i probably would lean more towards six or seven.
48239:3	or was that on rifles.
48254:34	the, the crime is not any better or any worse,
48293:58	i guess i have never heard of a, a robbery being foiled --n4019f8 or spoiled --n401a07 because the person who --n401a1e's being robbed --n401a31 had a gun.
48298:3	or i'm not sure
48299:3	or, you know, i can't think of --n401c9b ever hearing on the news or whatnot or hearing or knowing anybody who --n401cd6 was being robbed --n401ce9
48299:51	or, you know, i can't think of --n401c9b ever hearing on the news or whatnot or hearing or knowing anybody who --n401cd6 was being robbed --n401ce9
48299:56	or, you know, i can't think of --n401c9b ever hearing on the news or whatnot or hearing or knowing anybody who --n401cd6 was being robbed --n401ce9
48299:61	or, you know, i can't think of --n401c9b ever hearing on the news or whatnot or hearing or knowing anybody who --n401cd6 was being robbed --n401ce9
48321:3	or,
48363:20	you could see someone coming or dressed --n403749 inappropriately, you know,
48364:44	you-, if they had --n4037ff to have a rifle or was, you know,
48371:98	but i guess to make it more difficult for the person who --n403c46's just so irate and upset and, you know, temporarily a little bit, uh, offset or off keel,
48372:46	i don't know if that's a large percentage of, uh, crime or not
48855:166	uh, you know, it, it --n400bc2 really irks me to see so much effort put --n400bf5 into preventing someone being put --n400c14 to death by the state when they so callously and usually so, you know, without --n400c5f even thinking or without any concern, uh, you know, end somebody else's life, and in a lot of cases several people's lives --n400cd6.
