TGrepID	EntireSentence	BNBClosestToOr	ComparisonSentence
105500:23	i guess i was seven or eight years old	i guess i was seven or eight but not both years old	i guess i was seven or eight years old but not both.
159867:30	we have one of those use it or lose it plans, too, where, uh, they'll basically pay for, uh, you know, child care type, uh, expenses.	we have one of those use it or lose it plans , too but not both, where, uh, they'll basically pay for, uh, you know, child care type, uh, expenses .	we have one of those use it or lose it plans , too, where, uh, they'll basically pay for, uh, you know, child care type, uh, expenses but not both .
886:75	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way to just hang up on it.	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight but not both a week calls of the nature where one wishes that there were a convenient way  to just hang up on it  .	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week but not both calls of the nature where one wishes that there were a convenient way  to just hang up on it  .
33161:98	but, um, if it was more formal like if i was, you know, working environment then i would probably, um, sh-, shell'em or at least disconnect them from the head.	but, um, if it was more formal like if i was, you know, working environment then i would probably, um, sh-, shell'em or at but not both least disconnect them from the head.	but, um, if it was more formal like if i was, you know, working environment then i would probably, um, sh-, shell'em or at least disconnect them from the head but not both.
165157:25	they issued a recall because of improper shielding or possibly other problems with floppy drive.	they issued a recall because of improper shielding or possibly other problems but not both with floppy drive.	they issued a recall because of improper shielding or possibly other problems with floppy drive but not both.
39859:31	so, they made it to the sweet sixteen, once or twice, in their history,	so, they made it to the sweet sixteen, once or twice but not both, in their history,	so, they made it to the sweet sixteen, once or twice, in their history but not both,
137870:64	so the only thing i had to decide on was whether i wanted a c d or not in the stereo system	so the only thing i had  to decide on  was whether i wanted a c d  or not in the but not both stereo system	so the only thing i had  to decide on  was whether i wanted a c d  or not in the stereo system but not both.
106806:20	we would go down two or three hours on the weekends,	we would go down two or three hours but not both on the weekends,	we would go down two or three hours on the weekends but not both,
52509:46	like the alcoholic that charges up all the bills on the credit card, or the shopaholic, you know you get your life right with god	like the alcoholic that  charges up all the bills on the credit card, or the shopaholic but not both, you know you get your life right with god	like the alcoholic that  charges up all the bills on the credit card, or the shopaholic, you know you get your life right with god but not both.
165043:58	the, the days of don't buy a car made on a monday or a friday are pretty much going away	the, the days of don't buy a car made on a monday or a friday but not both are pretty much going away	the, the days of don't buy a car made on a monday or a friday are pretty much going away but not both.
8967:44	if we have a problem with our connection and get disconnected some time or other, don't worry about it.	if we have a problem with our connection and get disconnected  some time or other but not both, don't worry about it.	if we have a problem with our connection and get disconnected  some time or other, don't worry about it but not both.
104118:18	his middle name is chris, or christopher for for her daddy,	his middle name is chris, or christopher but not both for for her daddy,	his middle name is chris, or christopher for for her daddy but not both,
24733:51	and you got to divide it two different categories whether you live in the city or whether you live in a more rural place like i do.	and you got  to divide it two different categories whether you live in the city or whether you live in a more rural place but not both like i do.	and you got  to divide it two different categories whether you live in the city or whether you live in a more rural place like i do but not both.
49242:55	like most areas that are built, um, there were probably, like two or three styles you could choose from.	like most areas that  are built , um, there were probably, like two or three but not both styles you could choose from .	like most areas that  are built , um, there were probably, like two or three styles you could choose from but not both .
104287:70	and, um, i don't, i don't know if he's really serious about it yet or not, you know,	and, um, i don't, i don't know if he's really serious about it yet or not but not both, you know,	and, um, i don't, i don't know if he's really serious about it yet or not, you know but not both,
70072:47	and i think we got the same thing in the forecast for the next two or three days.	and i think we got the same thing in the forecast for the next two or three but not both days.	and i think we got the same thing in the forecast for the next two or three days but not both.
77801:170	and you want to be avail-, at least i've wanted to be available, when they, for some reason, they had, they were bouncing something off of me. because it was something that was bothering them or they were concerned about,	and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were but not both concerned about ,	and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,
68546:11	so either you or your husband can be warm	so either you or your husband but not both can be warm	so either you or your husband can be warm but not both.
89756:75	i don't remember if he said it was sixty dollars a square foot, off the creek and eighty on the creek, or, if it was eighty and a hundred.	i don't remember if he said it was sixty dollars a square foot, off the creek and eighty on the creek, or, if it was eighty and a but not both hundred.	i don't remember if he said it was sixty dollars a square foot, off the creek and eighty on the creek, or, if it was eighty and a hundred but not both.
78681:73	and he, uh, would like to just get a fifth wheel and just travel across the country and spend a month here or a couple of weeks there, and just, you know, not, be settled anywhere,	and he, uh, would like  to just get a fifth wheel and just travel across the country and spend a month here or a couple of weeks but not both there, and just, you know, not, be settled anywhere,	and he, uh, would like  to just get a fifth wheel and just travel across the country and spend a month here or a couple of weeks there but not both, and just, you know, not, be settled anywhere,
36524:73	and they said that they had ex-, that the one they had exercised with was three or four times easier.	and they said that they had ex-, that the one they had exercised with  was three or four times but not both easier.	and they said that they had ex-, that the one they had exercised with  was three or four times easier but not both.
25614:31	and you can just mosey on out for three or four hours and have a good time.	and you can just mosey on out for three or four but not both hours and have a good time.	and you can just mosey on out for three or four hours but not both and have a good time.
124597:121	and it's just incredible to think that there's, uh, there are players who are the sons of ball players that used to play against nolan or with nolan, you know,	and it 's just incredible to think that there's, uh, there are players who  are the sons of ball players that  used  to play against nolan or with but not both nolan, you know,	and it 's just incredible to think that there's, uh, there are players who  are the sons of ball players that  used  to play against nolan or with nolan but not both, you know,
103194:59	my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night	my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday but not both night	my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night but not both.
153770:93	you know, it's like what can you do with that, that you can't do in a self protection situation with like a seven or a twenty shot twelve.	you know, it's like what  can you do  with that, that you can't do  in a self protection situation with like a seven or a twenty but not both shot twelve.	you know, it's like what  can you do  with that, that you can't do  in a self protection situation with like a seven or a twenty shot twelve but not both.
151896:22	so we go backpacking fifteen or twenty miles,	so we go  backpacking fifteen or twenty but not both miles,	so we go  backpacking fifteen or twenty miles but not both,
8525:52	so, uh, what happens is you pay six hundred dollars at the beginning or even before school starts.	so, uh, what  happens is you pay six hundred dollars at the beginning or even before but not both school starts.	so, uh, what  happens is you pay six hundred dollars at the beginning or even before school starts but not both.
64760:20	whenever they say it two or three times.	whenever they say it two or three but not both times .	whenever they say it two or three times but not both .
46424:21	like you take asian countries, or, uh, the eastern countries where women are like in the foreground, uh, in the background and the men are in the foregrounde,	like you take asian countries, or, uh, the eastern countries but not both where women are like in the foreground, uh, in the background and the men are in the foreground ,	like you take asian countries, or, uh, the eastern countries where women are like in the foreground, uh, in the background but not both and the men are in the foreground ,
55117:40	uh, i'm figuring either one either the eagles or possibly san francisco	uh, i'm figuring either one either the eagles or possibly but not both san francisco	uh, i'm figuring either one either the eagles or possibly san francisco but not both.
63983:38	but the cost is, is like, double or sometimes triple, what the regular things you, fertilizers and things you buyf.	but the cost is, is like, double or sometimes but not both triple, what the regular things you, fertilizers and things you buy .	but the cost is, is like, double or sometimes triple, what the regular things you, fertilizers and things you buy but not both .
96977:21	but i probably talked to seven or eight people.	but i probably talked to seven or eight but not both people.	but i probably talked to seven or eight people but not both.
126314:48	well, i either, teeing off i either slice it or i hook it ever single time	well, i either,  teeing off i either slice it or i but not both hook it ever single time	well, i either,  teeing off i either slice it or i hook it but not both ever single time
125651:119	um, some of the qualifications that i look for was that, uh, you know, the cost, and, um, exactly what they did, if it was structured or nonstructured, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were, and if the place was clean and um, the hours	um, some of the qualifications that i look for  was that, uh, you know, the cost, and, um, exactly what they did , if it was structured or nonstructured but not both, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were , and if the place was clean and um, the hours	um, some of the qualifications that i look for  was that, uh, you know, the cost, and, um, exactly what they did , if it was structured or nonstructured, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were , and if the place was clean and um, the hours but not both.
48874:116	and, you know, i could go along with that, if, if i could be assured that it would be their natural life in jail and not parole after ten, or twelve years.	and, you know, i could go along with that, if, if i could be assured  that it would be their natural life in jail and not parole after ten, or twelve but not both years.	and, you know, i could go along with that, if, if i could be assured  that it would be their natural life in jail and not parole after ten, or twelve years but not both.
1036:63	and i guess that turns out to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it	and i guess that turns out  to be the basic problem with any invasion of privacy is whether or not but not both you're feeling, threatened as a result of, of it	and i guess that turns out  to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it but not both.
152813:245	also, also i have the observation of, uh, with the press is that, like any any stories that i had any first hand knowledge of that i see in the press, you know, which only happened like ten times in my life you know first thing you know for anything of you know or anything that actually had, had more than just a blurb about it. that the press has managed to just mess up some aspect of the story	also, also i have the observation  of, uh, with the press is that, like any any stories that i had any first hand knowledge of  that i see  in the press, you know, which  only happened like ten times in my life you know first thing you know for anything of you know or anything but not both that  actually had, had more than just a blurb about it. that the press has managed  to just mess up some aspect of the story	also, also i have the observation  of, uh, with the press is that, like any any stories that i had any first hand knowledge of  that i see  in the press, you know, which  only happened like ten times in my life you know first thing you know for anything of you know or anything that  actually had, had more than just a blurb about it. that the press has managed  to just mess up some aspect of the story but not both.
27966:70	there was not, there's not supposed to be any reason to use this education or this brain that you might have for anything other than your house and your children and how clean can the bathroom floors be on any given day.	there was not, there's not supposed  to be any reason to use this education or this brain but not both that you might have  for anything other than your house and your children and how clean can the bathroom floors be  on any given day .	there was not, there's not supposed  to be any reason to use this education or this brain that you might have  for anything other than your house and your children but not both and how clean can the bathroom floors be  on any given day .
37097:119	but i, i just don't think they have the resources, if you were to compare, uh, the americans to the soviets as far as home computers are concerned or fact machines, fax machines and cellular phones, and state of the art equipment that we are so used to.	but i, i just don't think they have the resources, if you were  to compare, uh, the americans to the soviets as far as home computers  are concerned  or fact machines, fax but not both machines and cellular phones, and state of the art equipment that we are so used to .	but i, i just don't think they have the resources, if you were  to compare, uh, the americans to the soviets as far as home computers  are concerned  or fact machines, fax machines and cellular phones but not both, and state of the art equipment that we are so used to .
164864:140	and the, the problem with that is then, then, then people will either, the rich people will either pull their kids out of the public school and put them in private schools or they'll move farther away to get better schools.	and the, the problem with that is then, then, then people will either, the rich people will either pull their kids out of the public school and put them in private schools or they'll move farther away  to get better but not both schools.	and the, the problem with that is then, then, then people will either, the rich people will either pull their kids out of the public school and put them in private schools or they'll move farther away  to get better schools but not both.
137234:56	this summer we went to, uh, the smokey mountain national park. and, uh, stayed about three or four days in there.	this summer we went to, uh, the smokey mountain national park. and, uh, stayed about three or four days but not both in there.	this summer we went to, uh, the smokey mountain national park. and, uh, stayed about three or four days in there but not both.
30197:23	it would average out to thirty-five or forty dollars a night whichb is a reasonable rate.	it would average out to thirty-five or forty dollars but not both a night which  is a reasonable rate.	it would average out to thirty-five or forty dollars a night but not both which  is a reasonable rate.
137591:36	they've won, like, i think six or seven in a row now,	they've won, like, i think  six or seven but not both in a row now,	they've won, like, i think  six or seven in a row now but not both,
97004:55	because, uh, i, i guess i placed all but one or two of my calls. and, uh, only because i going to make some money,	because, uh, i, i guess i placed all but one or two but not both of my calls. and, uh, only because i going  to make some money,	because, uh, i, i guess i placed all but one or two of my calls. and, uh, only because i going  to make some money but not both,
10846:33	i wonder how truthful all of that was or whether there was fiction.	i wonder how truthful all of that was  or whether but not both there was fiction.	i wonder how truthful all of that was  or whether there was fiction but not both.
86950:15	but, the legal person or lawful person should not be penalized because there is the criminal element.	but, the legal person or lawful person but not both should not be penalized  because there is the criminal element.	but, the legal person or lawful person should not be penalized  because there is the criminal element but not both.
150048:18	i've had two or three of those go out.	i've had two or three but not both of those go out.	i've had two or three of those go out but not both.
105461:58	it wasn't like the newer ones that have nice chambers that keep it afloat or keep it, uh, upright again.	it wasn't like the newer ones that  have nice chambers that  keep it afloat or keep it but not both, uh, upright again.	it wasn't like the newer ones that  have nice chambers that  keep it afloat or keep it, uh, upright again but not both.
54761:52	it was on one of the networks, i think last weekend. uh, or two weeks ago.	it was on one of the networks, i think  last weekend. uh, or two but not both weeks ago.	it was on one of the networks, i think  last weekend. uh, or two weeks ago but not both.
4682:83	but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things.	but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic but not both, you know, materials, and foods and things .	but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things but not both .
13665:45	i couldn't remember in tigon had purchased g t e --s phone mail services or if g t e had purchased tigon.	i couldn't remember in tigon had purchased g t e --s phone mail services or if g t e had purchased but not both tigon.	i couldn't remember in tigon had purchased g t e --s phone mail services or if g t e had purchased tigon but not both.
29361:19	they will have maybe two or three main stories and just spend a very large amount of time.	they will have maybe two or three main stories but not both and just spend a very large amount of time.	they will have maybe two or three main stories and just spend a very large amount of time but not both.
149373:37	you know, i saw something on c n n or on cable here a while ago that showed some people that had rabbits in apartments and in houses,	you know, i saw something  on c n n or on cable but not both here a while ago that  showed some people that  had rabbits in apartments and in houses,	you know, i saw something  on c n n or on cable here a while ago that  showed some people that  had rabbits in apartments and in houses but not both,
157431:41	i'm not going to work any harder and make any more or create any more jobs.	i'm not going  to work any harder and make any more or create but not both any more jobs.	i'm not going  to work any harder and make any more or create any more jobs but not both.
72563:57	for some reason it seems to interest me, like people that make a big comeback or, you know, orel hershiser, things like that.	for some reason it seems  to interest me, like people that  make a big comeback or, you know, orel hershiser but not both, things like that.	for some reason it seems  to interest me, like people that  make a big comeback or, you know, orel hershiser, things like that but not both.
150405:11	but now bench or step aerobics have kind of taken over.	but now bench or step but not both aerobics have kind of taken over.	but now bench or step aerobics but not both have kind of taken over.
97709:59	and i will probably be going back to work around january, whereas she will be about, eight or nine months old.	and i will probably be going back to work around january, whereas she will be about, eight or nine but not both months old.	and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.
105245:83	but, the other thing that i thought of on this is, i wonder if there isn't enough money, uh, in our economy or in our system.	but, the other thing that i thought of  on this is, i wonder if there isn't enough money, uh, in our economy or in our but not both system.	but, the other thing that i thought of  on this is, i wonder if there isn't enough money, uh, in our economy or in our system but not both.
30178:66	and whe-, when i finally got over there, it had fallen, uh, two or three francs to the dollar.	and whe-, when i finally got over there , it had fallen, uh, two or three but not both francs to the dollar.	and whe-, when i finally got over there , it had fallen, uh, two or three francs to the dollar but not both.
153470:46	so, we are on a schedule where i try every, uh, three or four years to, to buy a new one.	so, we are on a schedule where i try every, uh, three or four but not both years  to, to buy a new one .	so, we are on a schedule where i try every, uh, three or four but not both years  to, to buy a new one .
80247:17	was it for health, or, to look good.	was it for health, or, to but not both look good.	was it for health, or, to look good but not both.
137750:18	there is only about five or six options.	there is only about five or six but not both options.	there is only about five or six options but not both.
83258:73	when i have heard about england's elections, they are allowed to run for what, a total of six or eight weeks. even for the higher offices in the, in the land.	when i have heard about england's elections , they are allowed  to run for what, a total of six or eight but not both weeks. even for the higher offices in the, in the land.	when i have heard about england's elections , they are allowed  to run for what, a total of six or eight weeks. but not both even for the higher offices in the, in the land.
170713:59	do you know anyone that, uh, is, is in a nursing home or has ever been in one.	do you know anyone that, uh,  is, is in a nursing home or has but not both ever been in one.	do you know anyone that, uh,  is, is in a nursing home or has ever been in one but not both.
72352:13	believe it or not though the, all the women that stay home are real busy when they are home.	believe it or not but not both though the, all the women that  stay home are real busy when they are home .	believe it or not though the, all the women that  stay home are real busy when they are home but not both .
150350:31	do you do, uh, any anaerobic type, weight lifting or weight training type exercise.	do you do, uh, any anaerobic type, weight lifting or weight training but not both type exercise.	do you do, uh, any anaerobic type, weight lifting or weight training type exercise but not both.
140027:33	i guess we didn't have it high enough or he didn't get hit in just the right spot,	i guess we didn't have it high enough or he didn't get hit  in but not both just the right spot,	i guess we didn't have it high enough or he didn't get hit  in just the right spot but not both,
62367:43	but say, i think bangladesh would have been a good example or some, some really desperate situation	but say, i think bangladesh  would have been a good example or some but not both, some really desperate situation	but say, i think bangladesh  would have been a good example or some, some really desperate situation but not both.
74049:29	he used to go back twice or three times a year, you know, because he missed it.	he used  to go back twice  or three times but not both  a year, you know, because he missed it.	he used  to go back twice  or three times  a year but not both, you know, because he missed it.
145063:39	and hers was the only income we had for three or four months	and hers was the only income we had  for three or four but not both months	and hers was the only income we had  for three or four months but not both.
131692:34	they'd leave work and go to a golf course, or a little country club they belonged to back in richmond, virginia and just, uh, play nine holes of golf.	they'd leave work and go to a golf course, or a little country club but not both  they belonged to  back in richmond, virginia and just, uh, play nine holes of golf.	they'd leave work and go to a golf course, or a little country club  they belonged to but not both  back in richmond, virginia and just, uh, play nine holes of golf.
92652:59	it looks like, it looks like it might be one of these seven or eight year run things. where you kind of can spend your whole career on one show.	it looks like, it looks like it might be one of these seven or eight but not both year run things. where you kind of can spend your whole career on one show .	it looks like, it looks like it might be one of these seven or eight year run things. but not both where you kind of can spend your whole career on one show .
70908:13	our first fifteen years or eighteen years of being married nothing worked.	our first fifteen years or eighteen but not both years of being married nothing worked.	our first fifteen years or eighteen years but not both of being married nothing worked.
7017:103	well the, the other thing some people are not aware of, is they will use their a, their credit card like their visa or their mastercard for cash	well the, the other thing some people are not aware of , is they will use their a, their credit card like their visa or their mastercard but not both for cash	well the, the other thing some people are not aware of , is they will use their a, their credit card like their visa or their mastercard for cash but not both.
170776:46	if, if you can take care of yourself at all or have someone that can take care of you, then you stay where you aref.	if, if you can take care of yourself at all or have but not both someone that  can take care of you, then you stay where you are .	if, if you can take care of yourself at all or have someone that  can take care of you but not both, then you stay where you are .
46012:28	i can't remember whether we played three or four quarterbacks,	i can't remember whether we played three or four but not both quarterbacks,	i can't remember whether we played three or four quarterbacks but not both,
76530:72	uh, and you can't expect in a classroom for a particular course an hour a day to counteract, uh, sixteen or seventeen years of influence at home.	uh, and you can't expect in a classroom for a particular course an hour a day  to counteract, uh, sixteen or seventeen but not both years of influence at home.	uh, and you can't expect in a classroom for a particular course an hour a day  to counteract, uh, sixteen or seventeen years but not both of influence at home.
34104:22	you can make it either tight or as loose as loose can get.	you can make it either tight or as loose but not both as loose can get.	you can make it either tight or as loose as loose can get but not both.
142117:49	and i even had, uh, i guess it wasf last year or the year before, i had some out	and i even had, uh, i guess it was  last year or the year but not both before, i had some out	and i even had, uh, i guess it was  last year or the year before but not both, i had some out
62411:39	and i don't think you could have done it fifty or a hundred years ago either.	and i don't think you could have done it fifty or a hundred but not both years ago either.	and i don't think you could have done it fifty or a hundred but not both years ago either.
75196:18	she woke up about three or four o'clock in the morning, water dripping from hers.	she woke up about three or four o'clock but not both in the morning, water dripping from hers.	she woke up about three or four o'clock in the morning but not both, water dripping from hers.
42766:91	because i started shooting, my dad started letting me shoot like a little air b b gun, when i was probably five or six years old.	because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six but not both years old .	because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .
20453:61	and it will, if have you a thirty year note, it will take like seven or plus years off of your note.	and it will, if have you a thirty year note, it will take like seven or plus years off but not both of your note.	and it will, if have you a thirty year note, it will take like seven or plus years off of your note but not both.
123090:99	i think, uh, it's in everyone's nature to some degree to want to get out and explore something they haven't, or experience something, you know, indifferent.	i think, uh, it 's in everyone's nature to some degree to want  to get out and explore something they haven't , or experience something but not both, you know, indifferent.	i think, uh, it 's in everyone's nature to some degree to want  to get out and explore something they haven't , or experience something, you know, indifferent but not both.
362:41	that's just a matter of defining priorities, i guess or some priorities anyway.	that's just a matter of defining priorities, i guess or some but not both priorities anyway.	that's just a matter of defining priorities, i guess or some priorities anyway but not both.
8347:26	and they're good for about five years or four years	and they're good for about five years or four but not both years	and they're good for about five years or four years but not both.
175450:86	and, and, but of course most time, most of the time management has a hard time distributing or getting the word out to the people who must know.	and, and, but of course most time, most of the time management has a hard time distributing or getting the word but not both out to the people who  must know.	and, and, but of course most time, most of the time management has a hard time distributing or getting the word out to the people who  must know but not both.
14292:63	um, and it's one of those that i can ei-, read either an article or a couple of pages of those brief excerpts in the time frame that i'm going to spend in there.	um, and it's one of those that i can ei-, read either an article or a couple of pages but not both of those brief excerpts in the time frame that i'm going  to spend  in there .	um, and it's one of those that i can ei-, read either an article or a couple of pages of those brief excerpts but not both in the time frame that i'm going  to spend  in there .
132821:30	but, uh, it'll go up to fifty or sixty almost.	but, uh, it'll go up to fifty or sixty but not both almost.	but, uh, it'll go up to fifty or sixty almost but not both.
154689:23	i only do it probably two or three times a week.	i only do it probably two or three times but not both a week.	i only do it probably two or three times a week but not both.
50680:36	what do you think about the, uh, peace corps or public service commitment.	what do you think  about the, uh, peace corps or public service but not both commitment.	what do you think  about the, uh, peace corps or public service commitment but not both.
152368:30	you probably have a better team, uh, cooperation, or team playing, atmosphere.	you probably have a better team, uh, cooperation, or team but not both playing, atmosphere.	you probably have a better team, uh, cooperation, or team playing, atmosphere but not both.
1147:55	have you ever gotten one of those calls that is either generated by a computer or somebody going down a list	have you ever gotten one of those calls that  is either generated  by a computer or somebody going down a but not both list	have you ever gotten one of those calls that  is either generated  by a computer or somebody going down a list but not both.
1200:36	but if they're going to offer these services, or these recorded message, everything, they ought to be stuck working with the phone book like everybody else instead of using a computer to go through and just go down every sequence of numbers for this certain area code and call them.	but if they're going  to offer these services, or these recorded message but not both, everything, they ought  to be stuck  working with the phone book like everybody else instead of using a computer  to go through and just go down every sequence of numbers for this certain area code and call them.	but if they're going  to offer these services, or these recorded message, everything, they ought  to be stuck  working with the phone book like everybody else instead of using a computer  to go through and just go down every sequence of numbers for this certain area code and call them but not both.
57886:97	i-, it frustrates him because of the support that they have and the support that the vietnam vets did not have, from the people or the administration, either one.	i-, it frustrates him because of the support that they have  and the support that the vietnam vets did not have , from the people or the administration but not both, either one.	i-, it frustrates him because of the support that they have  and the support that the vietnam vets did not have , from the people or the administration, either one but not both.
93263:156	i, i wonder how, how you instill in people the necessity for doing just a little bit extra to, to make this whole thing work. i mean, the extra like washing out bottles and jars, or the extra of actually, uh, making sure that, uh, you take stuff over to, you know,	i, i wonder how, how you instill in people the necessity for doing just a little bit extra to, to make this whole thing work. i mean, the extra like washing out bottles and jars, or the extra of but not both actually, uh, making sure that, uh, you take stuff over to, you know ,	i, i wonder how, how you instill in people the necessity for doing just a little bit extra to, to make this whole thing work. i mean, the extra like washing out bottles and jars, or the extra of actually, uh, making sure that, uh, you take stuff over to, you know but not both ,
31292:58	and i keep thinking, you know, gifted is, is einstein or, you know, uh, musical prodigies.	and i keep  thinking, you know, gifted is, is einstein or, you but not both know, uh, musical prodigies.	and i keep  thinking, you know, gifted is, is einstein or, you know, uh, musical prodigies but not both.
170074:84	and it, that i, i don't know if i ever went as far as three months or not i-, i-, in keeping that kind of data.	and it, that i, i don't know if i ever went as far as three months  or not but not both i-, i-, in  keeping that kind of data.	and it, that i, i don't know if i ever went as far as three months  or not i-, i-, in  keeping that kind of data but not both.
134089:60	and they do post, uh, uh, warnings for people who have, uh, heart diseases or respiratory problems during that summer season.	and they do post, uh, uh, warnings for people who  have, uh, heart diseases or respiratory but not both problems during that summer season.	and they do post, uh, uh, warnings for people who  have, uh, heart diseases or respiratory problems but not both during that summer season.
168438:37	i've never had a, a punishment or a, a crime like a murder touch my immediate family	i've never had a, a punishment or a, a crime but not both like a murder touch my immediate family	i've never had a, a punishment or a, a crime like a murder touch my immediate family but not both.
133392:61	um, short term, i don't think anything's going to be done about it or probably should be done about it.	um, short term, i don't think anything's going  to be done  about it or probably should be done but not both  about it.	um, short term, i don't think anything's going  to be done  about it or probably should be done  about it but not both.
93867:26	but if it's like a social activity or a recreational activity, i don't mind	but if it's like a social activity or a recreational activity but not both, i don't mind	but if it's like a social activity or a recreational activity but not both, i don't mind
134049:25	i think i've bought one or two new cars in my life,	i think i've bought one or two but not both new cars in my life,	i think i've bought one or two new cars in my life but not both,
171916:24	you go, you know three or four hours before the game.	you go, you know three or four but not both hours before the game.	you go, you know three or four hours before the game but not both.
109764:99	oh, when we first were, were here, it was like we'd take maybe a, oh, a grocery sack full or maybe two grocery sacks full,	oh, when we first were, were here , it was like we'd take maybe a, oh, a grocery sack full or maybe two grocery sacks but not both full,	oh, when we first were, were here , it was like we'd take maybe a, oh, a grocery sack full or maybe two grocery sacks full but not both,
30997:16	i read about one or two thick novels like that a year. you know,	i read about one or two but not both thick novels like that a year. you know,	i read about one or two thick novels like that a year. you know but not both,
70078:22	have y'all been having any heat waves or like the ninety degree,	have y'all been having any heat waves or like but not both the ninety degree,	have y'all been having any heat waves or like the ninety degree but not both,
145702:45	and, and they always have, you know, two or three new onesf to adde to the list, you know,	and, and they always have, you know, two or three but not both new ones  to add  to the list, you know,	and, and they always have, you know, two or three new ones  to add  to the list, you know but not both,
58315:64	but human nature being such as it is, i would think it would take, probably, two or three years before people co-, could completely cut the cord.	but human nature being such as it is, i would think it would take, probably, two or three but not both years before people co-, could completely cut the cord.	but human nature being such as it is, i would think it would take, probably, two or three years before people co-, could completely cut the cord but not both.
170249:63	you know. because it's not a person's fault that, you know, people not buying or businesses are, are not on the up and up all the time, you know.	you know. because it 's not a person's fault that, you know, people not buying or businesses are, are not on the up and but not both up all the time, you know.	you know. because it 's not a person's fault that, you know, people not buying or businesses are, are not on the up and up all the time, you know but not both.
91264:39	but i think you can also get a bad education at public or private, you know,	but i think you can also get a bad education at public or private but not both, you know,	but i think you can also get a bad education at public or private, you know but not both,
110657:88	i just, i just don't think there's a place in our environment, you know in the work force for drugs, or alcohol either.	i just, i just don't think there's a place in our environment, you know in the work force for drugs, or alcohol but not both either.	i just, i just don't think there's a place in our environment, you know in the work force for drugs, or alcohol either but not both.
18182:39	i mean just, just scratching two or three inches was just a chore.	i mean just, just scratching two or three but not both inches was just a chore.	i mean just, just scratching two or three inches but not both was just a chore.
90762:42	um, i, i was talking to somebody recently or read somewhere where they, where they said that, you know, these children, they, they had to be the best,	um, i, i was talking to somebody recently or read somewhere but not both where they, where they said that, you know, these children, they, they had  to be the best ,	um, i, i was talking to somebody recently or read somewhere where they, where they said that, you know, these children, they, they had  to be the best but not both ,
111321:31	but a lot of their classes there were only eight or ten children in their classes	but a lot of their classes there were only eight or ten but not both children in their classes	but a lot of their classes there were only eight or ten children in their classes but not both.
122138:110	um, huh. well, i don't like it when, uh, people listen to my phone conversations, like if they're outside my door while i'm talking in my room, or when people like look through my things in my bedroom.	um, huh. well, i don't like it when, uh, people listen to my phone conversations, like if they're outside my door while i'm talking in my room , or when people like look through but not both my things in my bedroom .	um, huh. well, i don't like it when, uh, people listen to my phone conversations, like if they're outside my door while i'm talking in my room , or when people like look through my things in my bedroom but not both .
59184:37	i mean, they may let you off for a day or two to have your baby,	i mean, they may let you off for a day or two but not both  to have your baby,	i mean, they may let you off for a day or two  to have your baby but not both,
155861:103	but i, i think that there are, there are advantages to having seniority and, uh, turn-, or, not having a complete turnover every, some small number of years.	but i, i think that there are, there are advantages to having seniority and, uh, turn-, or, not having a complete turnover but not both every, some small number of years.	but i, i think that there are, there are advantages to having seniority and, uh, turn-, or, not having a complete turnover every, some small number of years but not both.
127119:72	it, it seems like t i is pretty cut and dried with two, like, two or three levels.	it, it seems like t i is pretty cut and dried with two, like, two or three but not both levels.	it, it seems like t i is pretty cut and dried with two, like, two or three levels but not both.
171908:16	there's about six or eight guys that we use to go out for these games.	there's about six or eight but not both guys that  we use  to go out for these games.	there's about six or eight guys that  we use  to go out for these games but not both.
18697:70	uh, there's no way that i could begin to process and keep up with the kinds of information or the magnitude of information that i needd to, to try to do my jobb without them.	uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information but not both that i need   to, to try  to do my job  without them.	uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.
